#ORTHOLOGY_ASSIGNMENTS_FROM_EFFIE_7_2022				
name_dc3000_new	name_p25c2_new	name_p25c2	name_dc3000	name_p7
WP_005762491.1	DAKCFMEO_03754	BJEIHDPM_04417	PSPTO_RS14310	
WP_005762514.1	DAKCFMEO_03740	BJEIHDPM_04403	PSPTO_RS14260	
WP_005762525.1	DAKCFMEO_03735	BJEIHDPM_04398	PSPTO_RS14240	
WP_005762534.1	DAKCFMEO_03730	BJEIHDPM_04393	PSPTO_RS14210	PDOHHFKI_01802
WP_005762543.1	DAKCFMEO_03726	BJEIHDPM_04389	PSPTO_RS14190	PDOHHFKI_01768
WP_005762545.1	DAKCFMEO_03725	BJEIHDPM_04388	PSPTO_RS14185	PDOHHFKI_01772
WP_005762555.1	DAKCFMEO_03722	BJEIHDPM_04385	PSPTO_RS14155	PDOHHFKI_01774
WP_005762569.1	DAKCFMEO_03712	BJEIHDPM_04375	PSPTO_RS14120	
WP_005762572.1	DAKCFMEO_03709	BJEIHDPM_04372	PSPTO_RS14110	PDOHHFKI_01907
WP_005762574.1	DAKCFMEO_01193	BJEIHDPM_04371	PSPTO_RS14105	PDOHHFKI_04045
WP_005762577.1	DAKCFMEO_01192	BJEIHDPM_04370	PSPTO_RS14095	PDOHHFKI_04046
WP_005762579.1	DAKCFMEO_01190	BJEIHDPM_04368	PSPTO_RS14085	PDOHHFKI_04048
WP_005762581.1	DAKCFMEO_01189	BJEIHDPM_04367	PSPTO_RS14080	PDOHHFKI_04049
WP_005762586.1	DAKCFMEO_01186	BJEIHDPM_04364	PSPTO_RS14065	PDOHHFKI_01888
WP_005762602.1	DAKCFMEO_01177	BJEIHDPM_04355	PSPTO_RS14020	
WP_005762604.1	DAKCFMEO_01176	BJEIHDPM_04354	PSPTO_RS14015	PDOHHFKI_01369
WP_005762606.1	DAKCFMEO_01172	BJEIHDPM_04350	PSPTO_RS14010	
WP_005762608.1	DAKCFMEO_01171	BJEIHDPM_04349	PSPTO_RS14005	PDOHHFKI_01226
WP_005762615.1	DAKCFMEO_01166	BJEIHDPM_04344	PSPTO_RS13985	PDOHHFKI_01221
WP_005762617.1	DAKCFMEO_01165	BJEIHDPM_04343	PSPTO_RS13975	PDOHHFKI_01220
WP_005762619.1	DAKCFMEO_01164	BJEIHDPM_04342	PSPTO_RS13970	PDOHHFKI_01219
WP_005762621.1	DAKCFMEO_01163	BJEIHDPM_04341	PSPTO_RS13965	
WP_005762626.1	DAKCFMEO_00630	BJEIHDPM_03808	PSPTO_RS11340	
WP_005762626.1	DAKCFMEO_01161	BJEIHDPM_04339	PSPTO_RS13950	
WP_005762628.1	DAKCFMEO_01159	BJEIHDPM_04337	PSPTO_RS13945	
WP_005762629.1	DAKCFMEO_04398	BJEIHDPM_00081	PSPTO_RS13940	
WP_005762644.1	DAKCFMEO_01125	BJEIHDPM_04303	PSPTO_RS13890	PDOHHFKI_01953
WP_005762646.1	DAKCFMEO_01124	BJEIHDPM_04302	PSPTO_RS13885	PDOHHFKI_03103
WP_005762667.1	DAKCFMEO_01114	BJEIHDPM_04292	PSPTO_RS13830	
WP_005762680.1	DAKCFMEO_01109	BJEIHDPM_04287	PSPTO_RS13805	
WP_005762682.1	DAKCFMEO_01107	BJEIHDPM_04285	PSPTO_RS13800	
WP_005762684.1	DAKCFMEO_01105	BJEIHDPM_04283	PSPTO_RS13790	
WP_005762690.1	DAKCFMEO_01102	BJEIHDPM_04280	PSPTO_RS13775	
WP_005762697.1	DAKCFMEO_01099	BJEIHDPM_04277	PSPTO_RS13760	
WP_005762699.1	DAKCFMEO_01098	BJEIHDPM_04276	PSPTO_RS13755	
WP_005762701.1	DAKCFMEO_01096	BJEIHDPM_04274	PSPTO_RS13750	PDOHHFKI_04301
WP_005762703.1	DAKCFMEO_01095	BJEIHDPM_04273	PSPTO_RS13745	
WP_005762709.1	DAKCFMEO_01092	BJEIHDPM_04270	PSPTO_RS13730	PDOHHFKI_04692
WP_005762712.1	DAKCFMEO_01091	BJEIHDPM_04269	PSPTO_RS13725	PDOHHFKI_04693
WP_005762776.1	DAKCFMEO_01041	BJEIHDPM_04219	PSPTO_RS13570	
WP_005762782.1	DAKCFMEO_01036	BJEIHDPM_04214	PSPTO_RS13555	
WP_005762784.1	DAKCFMEO_01035	BJEIHDPM_04213	PSPTO_RS13550	PDOHHFKI_00289
WP_005762801.1	DAKCFMEO_01108	BJEIHDPM_04286	PSPTO_RS13510	
WP_005762812.1	DAKCFMEO_01623	BJEIHDPM_04800	PSPTO_RS13500	
WP_005762856.1	DAKCFMEO_00885	BJEIHDPM_04063	PSPTO_RS13390	
WP_005762859.1	DAKCFMEO_00883	BJEIHDPM_04061	PSPTO_RS13385	
WP_005762863.1	DAKCFMEO_00880	BJEIHDPM_04058	PSPTO_RS13375	
WP_005762866.1	DAKCFMEO_00879	BJEIHDPM_04057	PSPTO_RS13370	
WP_005762867.1	DAKCFMEO_00878	BJEIHDPM_04056	PSPTO_RS13365	
WP_005762869.1	DAKCFMEO_00876	BJEIHDPM_04054	PSPTO_RS13360	
WP_005762877.1	DAKCFMEO_01380	BJEIHDPM_04886	PSPTO_RS13335	
WP_005762883.1	DAKCFMEO_01383	BJEIHDPM_04889	PSPTO_RS13320	
WP_005762885.1	DAKCFMEO_01384	BJEIHDPM_04890	PSPTO_RS13315	
WP_005762887.1	DAKCFMEO_01385	BJEIHDPM_04891	PSPTO_RS13310	
WP_005762889.1	DAKCFMEO_01386	BJEIHDPM_04892	PSPTO_RS13305	
WP_005762891.1	DAKCFMEO_01388	BJEIHDPM_04894	PSPTO_RS13295	
WP_005762940.1	DAKCFMEO_04987	BJEIHDPM_01361	PSPTO_RS25940	PDOHHFKI_04318
WP_005762942.1	DAKCFMEO_04559	BJEIHDPM_05261	PSPTO_RS18615	PDOHHFKI_00204
WP_005762942.1	DAKCFMEO_04986	BJEIHDPM_01360	PSPTO_RS25935	
WP_005762944.1	DAKCFMEO_04985	BJEIHDPM_01359	PSPTO_RS25930	
WP_005762949.1	DAKCFMEO_04983	BJEIHDPM_01357	PSPTO_RS25920	PDOHHFKI_00763
WP_005762952.1	DAKCFMEO_04981	BJEIHDPM_01355	PSPTO_RS25910	
WP_005762954.1	DAKCFMEO_04979	BJEIHDPM_01353	PSPTO_RS25900	PDOHHFKI_02014
WP_005762956.1	DAKCFMEO_04978	BJEIHDPM_01352	PSPTO_RS25890	PDOHHFKI_02017
WP_005762959.1	DAKCFMEO_04955	BJEIHDPM_01329	PSPTO_RS25875	PDOHHFKI_00812
WP_005762965.1	DAKCFMEO_04949	BJEIHDPM_01323	PSPTO_RS25845	
WP_005762970.1	DAKCFMEO_04943	BJEIHDPM_01317	PSPTO_RS25805	PDOHHFKI_01327
WP_005762973.1	DAKCFMEO_04940	BJEIHDPM_01314	PSPTO_RS25790	
WP_005762975.1	DAKCFMEO_04938	BJEIHDPM_01312	PSPTO_RS25780	
WP_005762979.1	DAKCFMEO_04932	BJEIHDPM_01306	PSPTO_RS25750	PDOHHFKI_00005
WP_005762981.1	DAKCFMEO_04929	BJEIHDPM_01303	PSPTO_RS25745	PDOHHFKI_01303
WP_005762992.1	DAKCFMEO_04911	BJEIHDPM_01285	PSPTO_RS25650	PDOHHFKI_01314
WP_005763001.1	DAKCFMEO_04903	BJEIHDPM_01277	PSPTO_RS25610	PDOHHFKI_04434
WP_005763003.1	DAKCFMEO_04902	BJEIHDPM_01276	PSPTO_RS25605	PDOHHFKI_04433
WP_005763005.1	DAKCFMEO_04901	BJEIHDPM_01275	PSPTO_RS25600	PDOHHFKI_04432
WP_005763007.1	DAKCFMEO_04900	BJEIHDPM_01274	PSPTO_RS25595	PDOHHFKI_04431
WP_005763025.1	DAKCFMEO_04889	BJEIHDPM_01263	PSPTO_RS25540	PDOHHFKI_04421
WP_005763027.1	DAKCFMEO_04888	BJEIHDPM_01262	PSPTO_RS25535	PDOHHFKI_04420
WP_005763035.1	DAKCFMEO_04876	BJEIHDPM_01250	PSPTO_RS25475	PDOHHFKI_04404
WP_005763045.1	DAKCFMEO_04871	BJEIHDPM_01246	PSPTO_RS25450	PDOHHFKI_04395
WP_005763051.1	DAKCFMEO_04869	BJEIHDPM_01244	PSPTO_RS25435	
WP_005763054.1	DAKCFMEO_04865	BJEIHDPM_01240	PSPTO_RS25415	PDOHHFKI_04388
WP_005763057.1	DAKCFMEO_04862	BJEIHDPM_01237	PSPTO_RS25400	
WP_005763059.1	DAKCFMEO_04861	BJEIHDPM_01236	PSPTO_RS25395	
WP_005763065.1	DAKCFMEO_04857	BJEIHDPM_01232	PSPTO_RS25380	PDOHHFKI_02215
WP_005763069.1	DAKCFMEO_04855	BJEIHDPM_01230	PSPTO_RS25370	PDOHHFKI_04380
WP_005763077.1	DAKCFMEO_04851	BJEIHDPM_01226	PSPTO_RS25350	PDOHHFKI_04838
WP_005763080.1	DAKCFMEO_04849	BJEIHDPM_01224	PSPTO_RS25340	
WP_005763092.1	DAKCFMEO_04844	BJEIHDPM_01219	PSPTO_RS25315	PDOHHFKI_02228
WP_005763096.1	DAKCFMEO_04841	BJEIHDPM_01216	PSPTO_RS25305	PDOHHFKI_03568
WP_005763098.1	DAKCFMEO_04840	BJEIHDPM_01215	PSPTO_RS25300	PDOHHFKI_01559
WP_005763104.1	DAKCFMEO_04837	BJEIHDPM_01212	PSPTO_RS25285	PDOHHFKI_03565
WP_005763106.1	DAKCFMEO_04836	BJEIHDPM_01211	PSPTO_RS25280	PDOHHFKI_03564
WP_005763108.1	DAKCFMEO_04835	BJEIHDPM_01210	PSPTO_RS25275	PDOHHFKI_02255
WP_005763115.1	DAKCFMEO_04832	BJEIHDPM_01207	PSPTO_RS25260	PDOHHFKI_02258
WP_005763119.1	DAKCFMEO_04828	BJEIHDPM_01202	PSPTO_RS25245	PDOHHFKI_02158
WP_005763123.1	DAKCFMEO_04826	BJEIHDPM_01200	PSPTO_RS25235	PDOHHFKI_02157
WP_005763127.1	DAKCFMEO_03616	BJEIHDPM_02604	PSPTO_RS25230	PDOHHFKI_01043
WP_005763130.1	DAKCFMEO_03618	BJEIHDPM_02606	PSPTO_RS25215	PDOHHFKI_01045
WP_005763134.1	DAKCFMEO_03620	BJEIHDPM_02608	PSPTO_RS25205	PDOHHFKI_01047
WP_005763136.1	DAKCFMEO_03621	BJEIHDPM_02609	PSPTO_RS25200	PDOHHFKI_01048
WP_005763150.1	DAKCFMEO_03626	BJEIHDPM_02614	PSPTO_RS25170	PDOHHFKI_04843
WP_005763161.1	DAKCFMEO_03631	BJEIHDPM_02619	PSPTO_RS25145	PDOHHFKI_04848
WP_005763178.1	DAKCFMEO_03640	BJEIHDPM_02628	PSPTO_RS25100	
WP_005763182.1	DAKCFMEO_03642	BJEIHDPM_02630	PSPTO_RS25090	
WP_005763186.1	DAKCFMEO_03644	BJEIHDPM_02632	PSPTO_RS25080	
WP_005763193.1	DAKCFMEO_03647	BJEIHDPM_02635	PSPTO_RS25065	
WP_005763203.1	DAKCFMEO_03655	BJEIHDPM_02643	PSPTO_RS25030	PDOHHFKI_04861
WP_005763213.1	DAKCFMEO_03660	BJEIHDPM_02648	PSPTO_RS25005	
WP_005763215.1	DAKCFMEO_03661	BJEIHDPM_02649	PSPTO_RS25000	
WP_005763217.1	DAKCFMEO_03662	BJEIHDPM_02650	PSPTO_RS24995	
WP_005763225.1	DAKCFMEO_03600	BJEIHDPM_02588	PSPTO_RS24975	PDOHHFKI_00848
WP_005763231.1	DAKCFMEO_03603	BJEIHDPM_02591	PSPTO_RS24960	PDOHHFKI_00853
WP_005763243.1	DAKCFMEO_03611	BJEIHDPM_02599	PSPTO_RS24920	PDOHHFKI_00860
WP_005763246.1	DAKCFMEO_03613	BJEIHDPM_02601	PSPTO_RS24910	PDOHHFKI_00862
WP_005763248.1	DAKCFMEO_03614	BJEIHDPM_02602	PSPTO_RS24905	PDOHHFKI_00863
WP_005763254.1	DAKCFMEO_04822	BJEIHDPM_01196	PSPTO_RS24885	
WP_005763270.1	DAKCFMEO_04815	BJEIHDPM_01189	PSPTO_RS24850	PDOHHFKI_00873
WP_005763279.1	DAKCFMEO_04808	BJEIHDPM_01182	PSPTO_RS24825	PDOHHFKI_02412
WP_005763284.1	DAKCFMEO_04806	BJEIHDPM_01180	PSPTO_RS24815	
WP_005763294.1	DAKCFMEO_04800	BJEIHDPM_01174	PSPTO_RS24780	PDOHHFKI_01492
WP_005763322.1	DAKCFMEO_02052	BJEIHDPM_02172	PSPTO_RS24710	
WP_005763415.1	DAKCFMEO_05165	BJEIHDPM_01538	PSPTO_RS01615	PDOHHFKI_00143
WP_005763424.1	DAKCFMEO_05160	BJEIHDPM_01533	PSPTO_RS01640	PDOHHFKI_00162
WP_005763440.1	DAKCFMEO_01980	BJEIHDPM_02100	PSPTO_RS01675	PDOHHFKI_02130
WP_005763446.1	DAKCFMEO_01983	BJEIHDPM_02103	PSPTO_RS01690	PDOHHFKI_02136
WP_005763448.1	DAKCFMEO_01984	BJEIHDPM_02104	PSPTO_RS01695	PDOHHFKI_01280
WP_005763452.1	DAKCFMEO_01986	BJEIHDPM_02106	PSPTO_RS01720	PDOHHFKI_02137
WP_005763453.1	DAKCFMEO_01987	BJEIHDPM_02107	PSPTO_RS01725	PDOHHFKI_02138
WP_005763455.1	DAKCFMEO_01988	BJEIHDPM_02108	PSPTO_RS01730	PDOHHFKI_02139
WP_005763456.1	DAKCFMEO_01989	BJEIHDPM_02109	PSPTO_RS01735	PDOHHFKI_02141
WP_005763459.1	DAKCFMEO_01990	BJEIHDPM_02110	PSPTO_RS01740	
WP_005763462.1	DAKCFMEO_01991	BJEIHDPM_02111	PSPTO_RS01745	PDOHHFKI_02143
WP_005763465.1	DAKCFMEO_01993	BJEIHDPM_02113	PSPTO_RS01755	PDOHHFKI_02145
WP_005763472.1	DAKCFMEO_01814	BJEIHDPM_01932	PSPTO_RS01775	
WP_005763490.1	DAKCFMEO_02185	BJEIHDPM_01925	PSPTO_RS01815	PDOHHFKI_01105
WP_005763493.1	DAKCFMEO_02188	BJEIHDPM_01922	PSPTO_RS01825	PDOHHFKI_01109
WP_005763495.1	DAKCFMEO_02190	BJEIHDPM_01920	PSPTO_RS01835	PDOHHFKI_01111
WP_005763515.1	DAKCFMEO_05114	BJEIHDPM_01487	PSPTO_RS01895	PDOHHFKI_04594
WP_005763521.1	DAKCFMEO_01170	BJEIHDPM_04348	PSPTO_RS14000	PDOHHFKI_01225
WP_005763521.1	DAKCFMEO_02141	BJEIHDPM_02262	PSPTO_RS01920	PDOHHFKI_01225
WP_005763524.1	DAKCFMEO_02143	BJEIHDPM_02264	PSPTO_RS01930	
WP_005763528.1	DAKCFMEO_02146	BJEIHDPM_02267	PSPTO_RS17020	
WP_005763543.1	DAKCFMEO_02148	BJEIHDPM_02269	PSPTO_RS01980	
WP_005763550.1	DAKCFMEO_02153	BJEIHDPM_02274	PSPTO_RS02005	PDOHHFKI_00019
WP_005763555.1	DAKCFMEO_02158	BJEIHDPM_02279	PSPTO_RS02020	PDOHHFKI_00196
WP_005763560.1	DAKCFMEO_02161	BJEIHDPM_02282	PSPTO_RS02035	PDOHHFKI_00199
WP_005763563.1	DAKCFMEO_02165	BJEIHDPM_02286	PSPTO_RS02050	PDOHHFKI_00203
WP_005763565.1	DAKCFMEO_02166	BJEIHDPM_02287	PSPTO_RS02055	
WP_005763567.1	DAKCFMEO_02167	BJEIHDPM_02288	PSPTO_RS02060	
WP_005763583.1	DAKCFMEO_02177	BJEIHDPM_02298	PSPTO_RS02105	PDOHHFKI_01278
WP_005763587.1	DAKCFMEO_04962	BJEIHDPM_01336	PSPTO_RS02120	
WP_005763589.1	DAKCFMEO_04961	BJEIHDPM_01335	PSPTO_RS02125	PDOHHFKI_01286
WP_005763591.1	DAKCFMEO_04960	BJEIHDPM_01334	PSPTO_RS02130	PDOHHFKI_01283
WP_005763597.1	DAKCFMEO_04977	BJEIHDPM_01351	PSPTO_RS02140	PDOHHFKI_02019
WP_005763601.1	DAKCFMEO_04975	BJEIHDPM_01349	PSPTO_RS02150	
WP_005763607.1	DAKCFMEO_05047	BJEIHDPM_01421	PSPTO_RS02165	PDOHHFKI_00105
WP_005763611.1	DAKCFMEO_05044	BJEIHDPM_01418	PSPTO_RS02175	PDOHHFKI_00102
WP_005763613.1	DAKCFMEO_05043	BJEIHDPM_01417	PSPTO_RS02180	
WP_005763614.1	DAKCFMEO_05042	BJEIHDPM_01416	PSPTO_RS02185	PDOHHFKI_00099
WP_005763618.1	DAKCFMEO_05040	BJEIHDPM_01414	PSPTO_RS02195	PDOHHFKI_00095
WP_005763620.1	DAKCFMEO_05039	BJEIHDPM_01413	PSPTO_RS02200	PDOHHFKI_00094
WP_005763630.1	DAKCFMEO_05036	BJEIHDPM_01410	PSPTO_RS02225	PDOHHFKI_00092
WP_005763632.1	DAKCFMEO_05033	BJEIHDPM_01407	PSPTO_RS02230	
WP_005763632.1	DAKCFMEO_05035	BJEIHDPM_01409	PSPTO_RS02230	PDOHHFKI_00091
WP_005763634.1	DAKCFMEO_05032	BJEIHDPM_01406	PSPTO_RS02235	PDOHHFKI_00090
WP_005763634.1	DAKCFMEO_05034	BJEIHDPM_01408	PSPTO_RS02235	PDOHHFKI_00090
WP_005763636.1	DAKCFMEO_05031	BJEIHDPM_01405	PSPTO_RS02240	PDOHHFKI_00089
WP_005763638.1	DAKCFMEO_05030	BJEIHDPM_01404	PSPTO_RS02245	PDOHHFKI_00088
WP_005763640.1	DAKCFMEO_05029	BJEIHDPM_01403	PSPTO_RS02250	PDOHHFKI_00087
WP_005763647.1	DAKCFMEO_05052	BJEIHDPM_01425	PSPTO_RS02290	PDOHHFKI_00107
WP_005763651.1	DAKCFMEO_05054	BJEIHDPM_01427	PSPTO_RS02300	PDOHHFKI_01101
WP_005763655.1	DAKCFMEO_04973	BJEIHDPM_01347	PSPTO_RS02320	PDOHHFKI_02022
WP_005763658.1	DAKCFMEO_04974	BJEIHDPM_01348	PSPTO_RS02325	PDOHHFKI_02021
WP_005763669.1	DAKCFMEO_02945	BJEIHDPM_02321	PSPTO_RS02345	
WP_005763674.1	DAKCFMEO_02951	BJEIHDPM_02315	PSPTO_RS02375	PDOHHFKI_04527
WP_005763676.1	DAKCFMEO_02953	BJEIHDPM_02313	PSPTO_RS02380	
WP_005763680.1	DAKCFMEO_02959	BJEIHDPM_02307	PSPTO_RS02395	PDOHHFKI_04530
WP_005763685.1	DAKCFMEO_02961	BJEIHDPM_02305	PSPTO_RS02405	PDOHHFKI_04532
WP_005763688.1	DAKCFMEO_02963	BJEIHDPM_02303	PSPTO_RS02415	PDOHHFKI_04534
WP_005763690.1	DAKCFMEO_00557	BJEIHDPM_02754	PSPTO_RS23975	PDOHHFKI_01534
WP_005763690.1	DAKCFMEO_02964	BJEIHDPM_02302	PSPTO_RS02420	PDOHHFKI_04535
WP_005763692.1	DAKCFMEO_04970	BJEIHDPM_01344	PSPTO_RS02425	PDOHHFKI_02024
WP_005763694.1	DAKCFMEO_04968	BJEIHDPM_01342	PSPTO_RS02435	PDOHHFKI_02026
WP_005763696.1	DAKCFMEO_04967	BJEIHDPM_01341	PSPTO_RS02440	PDOHHFKI_02029
WP_005763699.1	DAKCFMEO_04965	BJEIHDPM_01339	PSPTO_RS02450	
WP_005763703.1	DAKCFMEO_02939	BJEIHDPM_02327	PSPTO_RS02465	PDOHHFKI_04515
WP_005763705.1	DAKCFMEO_02938	BJEIHDPM_02328	PSPTO_RS02475	
WP_005763731.1	DAKCFMEO_02937	BJEIHDPM_02329	PSPTO_RS02505	PDOHHFKI_04510
WP_005763731.1	DAKCFMEO_04629	BJEIHDPM_05191	PSPTO_RS18400	PDOHHFKI_04510
WP_005763732.1	DAKCFMEO_02936	BJEIHDPM_02330	PSPTO_RS02510	PDOHHFKI_04508
WP_005763735.1	DAKCFMEO_02935	BJEIHDPM_02331	PSPTO_RS02520	PDOHHFKI_04507
WP_005763737.1	DAKCFMEO_02933	BJEIHDPM_02333	PSPTO_RS02525	PDOHHFKI_04504
WP_005763739.1	DAKCFMEO_02932	BJEIHDPM_02334	PSPTO_RS02530	
WP_005763742.1	DAKCFMEO_02931	BJEIHDPM_02335	PSPTO_RS02535	
WP_005763744.1	DAKCFMEO_02930	BJEIHDPM_02336	PSPTO_RS02540	
WP_005763753.1	DAKCFMEO_02927	BJEIHDPM_02339	PSPTO_RS02555	
WP_005763757.1	DAKCFMEO_02925	BJEIHDPM_02341	PSPTO_RS02565	
WP_005763760.1	DAKCFMEO_02924	BJEIHDPM_02342	PSPTO_RS02570	
WP_005763762.1	DAKCFMEO_02923	BJEIHDPM_02343	PSPTO_RS02575	PDOHHFKI_04502
WP_005763768.1	DAKCFMEO_02921	BJEIHDPM_02345	PSPTO_RS02585	PDOHHFKI_04500
WP_005763772.1	DAKCFMEO_02919	BJEIHDPM_02347	PSPTO_RS02595	PDOHHFKI_04498
WP_005763797.1	DAKCFMEO_02913	BJEIHDPM_02353	PSPTO_RS02655	
WP_005763799.1	DAKCFMEO_02912	BJEIHDPM_02354	PSPTO_RS02660	PDOHHFKI_00561
WP_005763801.1	DAKCFMEO_02909	BJEIHDPM_02357	PSPTO_RS02675	PDOHHFKI_00564
WP_005763805.1	DAKCFMEO_02907	BJEIHDPM_02359	PSPTO_RS02695	
WP_005763807.1	DAKCFMEO_02906	BJEIHDPM_02360	PSPTO_RS02700	
WP_005763809.1	DAKCFMEO_02904	BJEIHDPM_02362	PSPTO_RS02710	
WP_005763862.1	DAKCFMEO_01465	BJEIHDPM_04971	PSPTO_RS07355	
WP_005763897.1	DAKCFMEO_01485	BJEIHDPM_04991	PSPTO_RS07270	
WP_005763930.1	DAKCFMEO_03315	BJEIHDPM_00677	PSPTO_RS07205	
WP_005763930.1	DAKCFMEO_01568	BJEIHDPM_01733	PSPTO_RS28510	
WP_005763940.1	DAKCFMEO_04479	BJEIHDPM_02567	PSPTO_RS07175	
WP_005763950.1	DAKCFMEO_01766	BJEIHDPM_01087	PSPTO_RS07145	
WP_005763952.1	DAKCFMEO_01767	BJEIHDPM_01088	PSPTO_RS07140	
WP_005763959.1	DAKCFMEO_01770	BJEIHDPM_01091	PSPTO_RS07125	
WP_005763961.1	DAKCFMEO_01771	BJEIHDPM_01092	PSPTO_RS07120	
WP_005763967.1	DAKCFMEO_01773	BJEIHDPM_01094	PSPTO_RS07110	
WP_005763992.1	DAKCFMEO_03019	BJEIHDPM_00690	PSPTO_RS07045	
WP_005764019.1	DAKCFMEO_03012	BJEIHDPM_00697	PSPTO_RS07000	
WP_005764024.1	DAKCFMEO_03007	BJEIHDPM_00702	PSPTO_RS06975	
WP_005764026.1	DAKCFMEO_03006	BJEIHDPM_00703	PSPTO_RS06970	
WP_005764030.1	DAKCFMEO_03002	BJEIHDPM_00707	PSPTO_RS06955	
WP_005764042.1	DAKCFMEO_02992	BJEIHDPM_00717	PSPTO_RS06890	PDOHHFKI_00341
WP_005764043.1	DAKCFMEO_02991	BJEIHDPM_00718	PSPTO_RS06885	PDOHHFKI_00340
WP_005764045.1	DAKCFMEO_02988	BJEIHDPM_00721	PSPTO_RS06870	PDOHHFKI_02849
WP_005764046.1	DAKCFMEO_02987	BJEIHDPM_00722	PSPTO_RS06865	PDOHHFKI_02357
WP_005764047.1	DAKCFMEO_02986	BJEIHDPM_00723	PSPTO_RS06860	PDOHHFKI_02356
WP_005764048.1	DAKCFMEO_02983	BJEIHDPM_00726	PSPTO_RS06845	
WP_005764049.1	DAKCFMEO_02981	BJEIHDPM_00728	PSPTO_RS06835	PDOHHFKI_02351
WP_005764051.1	DAKCFMEO_02976	BJEIHDPM_00733	PSPTO_RS06810	PDOHHFKI_01807
WP_005764052.1	DAKCFMEO_02975	BJEIHDPM_00734	PSPTO_RS06805	PDOHHFKI_01808
WP_005764053.1	DAKCFMEO_02974	BJEIHDPM_00735	PSPTO_RS06800	PDOHHFKI_01809
WP_005764054.1	DAKCFMEO_02971	BJEIHDPM_00738	PSPTO_RS06790	
WP_005764059.1	DAKCFMEO_02969	BJEIHDPM_00740	PSPTO_RS06780	
WP_005764067.1	DAKCFMEO_02966	BJEIHDPM_00743	PSPTO_RS06765	
WP_005764071.1	DAKCFMEO_03293	BJEIHDPM_00746	PSPTO_RS06755	
WP_005764073.1	DAKCFMEO_03295	BJEIHDPM_00748	PSPTO_RS06745	
WP_005764078.1	DAKCFMEO_03297	BJEIHDPM_00750	PSPTO_RS06735	PDOHHFKI_02966
WP_005764082.1	DAKCFMEO_03299	BJEIHDPM_00752	PSPTO_RS06725	PDOHHFKI_00755
WP_005764082.1	DAKCFMEO_00809	BJEIHDPM_03987	PSPTO_RS12335	PDOHHFKI_00491
WP_005764082.1	DAKCFMEO_00145	BJEIHDPM_03166	PSPTO_RS21485	PDOHHFKI_00491
WP_005764084.1	DAKCFMEO_03301	BJEIHDPM_00754	PSPTO_RS06720	PDOHHFKI_00757
WP_005764092.1	DAKCFMEO_03304	BJEIHDPM_00757	PSPTO_RS06705	
WP_005764094.1	DAKCFMEO_03305	BJEIHDPM_00758	PSPTO_RS06700	
WP_005764101.1	DAKCFMEO_03290	BJEIHDPM_00763	PSPTO_RS06670	PDOHHFKI_00782
WP_005764104.1	DAKCFMEO_03289	BJEIHDPM_00764	PSPTO_RS06665	
WP_005764106.1	DAKCFMEO_02716	BJEIHDPM_00765	PSPTO_RS06660	PDOHHFKI_03515
WP_005764108.1	DAKCFMEO_02717	BJEIHDPM_00766	PSPTO_RS06655	PDOHHFKI_03516
WP_005764110.1	DAKCFMEO_02718	BJEIHDPM_00767	PSPTO_RS06650	PDOHHFKI_03519
WP_005764112.1	DAKCFMEO_02719	BJEIHDPM_00768	PSPTO_RS06645	
WP_005764114.1	DAKCFMEO_02721	BJEIHDPM_00770	PSPTO_RS06635	PDOHHFKI_03471
WP_005764116.1	DAKCFMEO_02723	BJEIHDPM_00772	PSPTO_RS06625	PDOHHFKI_03473
WP_005764130.1	DAKCFMEO_02727	BJEIHDPM_00776	PSPTO_RS06590	PDOHHFKI_00793
WP_005764132.1	DAKCFMEO_02728	BJEIHDPM_00777	PSPTO_RS06585	PDOHHFKI_00794
WP_005764136.1	DAKCFMEO_02731	BJEIHDPM_00780	PSPTO_RS06570	PDOHHFKI_03521
WP_005764140.1	DAKCFMEO_02732	BJEIHDPM_00781	PSPTO_RS06565	PDOHHFKI_03523
WP_005764144.1	DAKCFMEO_02734	BJEIHDPM_00783	PSPTO_RS06555	PDOHHFKI_03525
WP_005764153.1	DAKCFMEO_02740	BJEIHDPM_00789	PSPTO_RS06525	PDOHHFKI_03531
WP_005764169.1	DAKCFMEO_02746	BJEIHDPM_00795	PSPTO_RS06475	
WP_005764177.1	DAKCFMEO_02751	BJEIHDPM_00800	PSPTO_RS06425	
WP_005764184.1	DAKCFMEO_02755	BJEIHDPM_00804	PSPTO_RS06400	PDOHHFKI_00796
WP_005764194.1	DAKCFMEO_02760	BJEIHDPM_00809	PSPTO_RS06375	
WP_005764200.1	DAKCFMEO_02762	BJEIHDPM_00811	PSPTO_RS06360	
WP_005764206.1	DAKCFMEO_02763	BJEIHDPM_00812	PSPTO_RS06345	
WP_005764221.1	DAKCFMEO_02770	BJEIHDPM_00820	PSPTO_RS06330	PDOHHFKI_00807
WP_005764227.1	DAKCFMEO_02773	BJEIHDPM_00823	PSPTO_RS06315	
WP_005764229.1	DAKCFMEO_02774	BJEIHDPM_00824	PSPTO_RS06310	
WP_005764231.1	DAKCFMEO_02775	BJEIHDPM_00825	PSPTO_RS06305	
WP_005764246.1	DAKCFMEO_03951	BJEIHDPM_04615	PSPTO_RS15210	PDOHHFKI_01207
WP_005764255.1	DAKCFMEO_03943	BJEIHDPM_04607	PSPTO_RS15185	
