Orthogroup	SpeciesA	GeneA	SpeciesB	GeneB
OG0000460	DC3000_protein_12_2025	WP_007245542.1	plate25.C2.annotation	DAKCFMEO_03382, DAKCFMEO_03700
OG0000461	DC3000_protein_12_2025	WP_007245619.1, WP_011105400.1	plate25.C2.annotation	DAKCFMEO_02088
OG0000462	DC3000_protein_12_2025	WP_007245738.1, WP_011103613.1	plate25.C2.annotation	DAKCFMEO_04393
OG0000463	DC3000_protein_12_2025	WP_007245786.1, WP_044390721.1	plate25.C2.annotation	DAKCFMEO_03137
OG0000464	DC3000_protein_12_2025	WP_007245803.1, WP_024666158.1	plate25.C2.annotation	DAKCFMEO_04145
OG0000465	DC3000_protein_12_2025	WP_007245922.1, WP_165442256.1	plate25.C2.annotation	DAKCFMEO_00932
OG0000466	DC3000_protein_12_2025	WP_007245994.1	plate25.C2.annotation	DAKCFMEO_01093, DAKCFMEO_03864
OG0000467	DC3000_protein_12_2025	WP_007245995.1	plate25.C2.annotation	DAKCFMEO_01094, DAKCFMEO_03865
OG0000468	DC3000_protein_12_2025	WP_007246058.1	plate25.C2.annotation	DAKCFMEO_01446, DAKCFMEO_03888
OG0000469	DC3000_protein_12_2025	WP_007246092.1	plate25.C2.annotation	DAKCFMEO_01648, DAKCFMEO_03876
OG0000470	DC3000_protein_12_2025	WP_007246323.1, WP_011103558.1	plate25.C2.annotation	DAKCFMEO_02707
OG0000471	DC3000_protein_12_2025	WP_007246342.1	plate25.C2.annotation	DAKCFMEO_00951, DAKCFMEO_02684
OG0000472	DC3000_protein_12_2025	WP_007246356.1	plate25.C2.annotation	DAKCFMEO_00806, DAKCFMEO_03927
OG0000473	DC3000_protein_12_2025	WP_007246357.1	plate25.C2.annotation	DAKCFMEO_00804, DAKCFMEO_04054
OG0000474	DC3000_protein_12_2025	WP_007246688.1	plate25.C2.annotation	DAKCFMEO_01371, DAKCFMEO_03878
OG0000475	DC3000_protein_12_2025	WP_007246697.1	plate25.C2.annotation	DAKCFMEO_00918, DAKCFMEO_03942
OG0000476	DC3000_protein_12_2025	WP_007246986.1	plate25.C2.annotation	DAKCFMEO_03023, DAKCFMEO_04735
OG0000477	DC3000_protein_12_2025	WP_007247160.1	plate25.C2.annotation	DAKCFMEO_00154, DAKCFMEO_02061
OG0000478	DC3000_protein_12_2025	WP_007249558.1, WP_161797763.1	plate25.C2.annotation	DAKCFMEO_00894
OG0000479	DC3000_protein_12_2025	WP_010205787.1	plate25.C2.annotation	DAKCFMEO_02759, DAKCFMEO_03825
OG0000480	DC3000_protein_12_2025	WP_010208319.1, WP_161633100.1	plate25.C2.annotation	DAKCFMEO_01866
OG0000481	DC3000_protein_12_2025	WP_010213774.1, WP_011105481.1	plate25.C2.annotation	DAKCFMEO_01628
OG0000482	DC3000_protein_12_2025	WP_011102950.1, WP_046463612.1	plate25.C2.annotation	DAKCFMEO_01276
OG0000483	DC3000_protein_12_2025	WP_011102956.1, WP_046463616.1	plate25.C2.annotation	DAKCFMEO_01283
OG0000484	DC3000_protein_12_2025	WP_011102981.1, WP_011105171.1	plate25.C2.annotation	DAKCFMEO_01835
OG0000485	DC3000_protein_12_2025	WP_011102988.1, WP_011104361.1	plate25.C2.annotation	DAKCFMEO_01855
OG0000486	DC3000_protein_12_2025	WP_011102994.1	plate25.C2.annotation	DAKCFMEO_01269, DAKCFMEO_01875
OG0000487	DC3000_protein_12_2025	WP_011102995.1, WP_052746244.1	plate25.C2.annotation	DAKCFMEO_01877
OG0000488	DC3000_protein_12_2025	WP_011103021.1, WP_011105123.1	plate25.C2.annotation	DAKCFMEO_01307
OG0000489	DC3000_protein_12_2025	WP_011103033.1, WP_011104299.1	plate25.C2.annotation	DAKCFMEO_03968
OG0000490	DC3000_protein_12_2025	WP_011103046.1, WP_046463731.1	plate25.C2.annotation	DAKCFMEO_02006
OG0000491	DC3000_protein_12_2025	WP_011103051.1	plate25.C2.annotation	DAKCFMEO_02015, DAKCFMEO_03890
OG0000492	DC3000_protein_12_2025	WP_011103108.1, WP_011103996.1	plate25.C2.annotation	DAKCFMEO_05122
OG0000493	DC3000_protein_12_2025	WP_011103110.1	plate25.C2.annotation	DAKCFMEO_04722, DAKCFMEO_05120
OG0000494	DC3000_protein_12_2025	WP_011103124.1	plate25.C2.annotation	DAKCFMEO_00965, DAKCFMEO_02151
OG0000495	DC3000_protein_12_2025	WP_011103148.1	plate25.C2.annotation	DAKCFMEO_01776, DAKCFMEO_02940
OG0000496	DC3000_protein_12_2025	WP_011103156.1, WP_011104714.1	plate25.C2.annotation	DAKCFMEO_01150
OG0000499	DC3000_protein_12_2025	WP_011103229.1	plate25.C2.annotation	DAKCFMEO_03546, DAKCFMEO_03886
OG0000500	DC3000_protein_12_2025	WP_011103230.1, WP_052746256.1	plate25.C2.annotation	DAKCFMEO_02041
OG0000501	DC3000_protein_12_2025	WP_011103268.1	plate25.C2.annotation	DAKCFMEO_03686, DAKCFMEO_03873
OG0000502	DC3000_protein_12_2025	WP_011103281.1	plate25.C2.annotation	DAKCFMEO_00598, DAKCFMEO_05123
OG0000503	DC3000_protein_12_2025	WP_011103381.1, WP_011105557.1	plate25.C2.annotation	DAKCFMEO_01217
OG0000504	DC3000_protein_12_2025	WP_011103397.1	plate25.C2.annotation	DAKCFMEO_00911, DAKCFMEO_01740
OG0000505	DC3000_protein_12_2025	WP_011103398.1	plate25.C2.annotation	DAKCFMEO_01737, DAKCFMEO_04048
OG0000506	DC3000_protein_12_2025	WP_011103413.1	plate25.C2.annotation	DAKCFMEO_03449, DAKCFMEO_05251
OG0000507	DC3000_protein_12_2025	WP_011103418.1, WP_161797786.1	plate25.C2.annotation	DAKCFMEO_02064
OG0000509	DC3000_protein_12_2025	WP_011103434.1	plate25.C2.annotation	DAKCFMEO_01202, DAKCFMEO_03430
OG0000510	DC3000_protein_12_2025	WP_011103474.1, WP_011103476.1	plate25.C2.annotation	DAKCFMEO_02748
OG0000512	DC3000_protein_12_2025	WP_011103535.1	plate25.C2.annotation	DAKCFMEO_01084, DAKCFMEO_01468
OG0000513	DC3000_protein_12_2025	WP_011103539.1	plate25.C2.annotation	DAKCFMEO_04376, DAKCFMEO_04418
OG0000514	DC3000_protein_12_2025	WP_011103548.1, WP_011104109.1	plate25.C2.annotation	DAKCFMEO_03351
OG0000515	DC3000_protein_12_2025	WP_011103608.1, WP_044393500.1	plate25.C2.annotation	DAKCFMEO_00067
OG0000516	DC3000_protein_12_2025	WP_011103700.1	plate25.C2.annotation	DAKCFMEO_02332, DAKCFMEO_03025
OG0000517	DC3000_protein_12_2025	WP_011103704.1, WP_046463414.1	plate25.C2.annotation	DAKCFMEO_00161
OG0000518	DC3000_protein_12_2025	WP_011103755.1	plate25.C2.annotation	DAKCFMEO_00060, DAKCFMEO_02463
OG0000519	DC3000_protein_12_2025	WP_011103760.1, WP_011104130.1	plate25.C2.annotation	DAKCFMEO_02472
OG0000520	DC3000_protein_12_2025	WP_011103763.1	plate25.C2.annotation	DAKCFMEO_02480, DAKCFMEO_03311
OG0000521	DC3000_protein_12_2025	WP_011103803.1	plate25.C2.annotation	DAKCFMEO_02577, DAKCFMEO_02580
OG0000522	DC3000_protein_12_2025	WP_011103825.1, WP_011104883.1	plate25.C2.annotation	DAKCFMEO_00124
OG0000524	DC3000_protein_12_2025	WP_011103899.1	plate25.C2.annotation	DAKCFMEO_00675, DAKCFMEO_02998
OG0000525	DC3000_protein_12_2025	WP_011103905.1	plate25.C2.annotation	DAKCFMEO_00680, DAKCFMEO_00681
OG0000526	DC3000_protein_12_2025	WP_011103908.1, WP_011104759.1	plate25.C2.annotation	DAKCFMEO_00685
OG0000527	DC3000_protein_12_2025	WP_011103928.1	plate25.C2.annotation	DAKCFMEO_00716, DAKCFMEO_04619
OG0000528	DC3000_protein_12_2025	WP_011103983.1	plate25.C2.annotation	DAKCFMEO_03310, DAKCFMEO_03849
OG0000529	DC3000_protein_12_2025	WP_011103984.1	plate25.C2.annotation	DAKCFMEO_03309, DAKCFMEO_03850
OG0000530	DC3000_protein_12_2025	WP_011103986.1	plate25.C2.annotation	DAKCFMEO_00255, DAKCFMEO_03860
OG0000531	DC3000_protein_12_2025	WP_011103994.1, WP_163004347.1	plate25.C2.annotation	DAKCFMEO_02292
OG0000532	DC3000_protein_12_2025	WP_011104025.1, WP_046463280.1	plate25.C2.annotation	DAKCFMEO_00905
OG0000533	DC3000_protein_12_2025	WP_011104028.1	plate25.C2.annotation	DAKCFMEO_00919, DAKCFMEO_03094
OG0000534	DC3000_protein_12_2025	WP_011104099.1	plate25.C2.annotation	DAKCFMEO_00888, DAKCFMEO_01054
OG0000535	DC3000_protein_12_2025	WP_011104133.1, WP_011104435.1	plate25.C2.annotation	DAKCFMEO_01100
OG0000536	DC3000_protein_12_2025	WP_011104138.1	plate25.C2.annotation	DAKCFMEO_01115, DAKCFMEO_03811
OG0000537	DC3000_protein_12_2025	WP_011104146.1	plate25.C2.annotation	DAKCFMEO_01129, DAKCFMEO_01823
OG0000538	DC3000_protein_12_2025	WP_011104158.1	plate25.C2.annotation	DAKCFMEO_01188, DAKCFMEO_04589
OG0000539	DC3000_protein_12_2025	WP_011104203.1	plate25.C2.annotation	DAKCFMEO_01339, DAKCFMEO_03786
OG0000540	DC3000_protein_12_2025	WP_011104237.1	plate25.C2.annotation	DAKCFMEO_03063, DAKCFMEO_03325
OG0000541	DC3000_protein_12_2025	WP_011104239.1, WP_011105472.1	plate25.C2.annotation	DAKCFMEO_05264
OG0000542	DC3000_protein_12_2025	WP_011104257.1, WP_011105583.1	plate25.C2.annotation	DAKCFMEO_02900
OG0000543	DC3000_protein_12_2025	WP_011104292.1	plate25.C2.annotation	DAKCFMEO_03953, DAKCFMEO_04047
OG0000544	DC3000_protein_12_2025	WP_011104296.1, WP_011104943.1	plate25.C2.annotation	DAKCFMEO_03964
OG0000545	DC3000_protein_12_2025	WP_011104306.1, WP_011104433.1	plate25.C2.annotation	DAKCFMEO_03042
OG0000546	DC3000_protein_12_2025	WP_011104364.1	plate25.C2.annotation	DAKCFMEO_04059, DAKCFMEO_04459
OG0000547	DC3000_protein_12_2025	WP_011104398.1	plate25.C2.annotation	DAKCFMEO_00849, DAKCFMEO_04108
OG0000548	DC3000_protein_12_2025	WP_011104401.1	plate25.C2.annotation	DAKCFMEO_00331, DAKCFMEO_04117
OG0000549	DC3000_protein_12_2025	WP_011104419.1	plate25.C2.annotation	DAKCFMEO_00656, DAKCFMEO_01002
OG0000550	DC3000_protein_12_2025	WP_011104454.1	plate25.C2.annotation	DAKCFMEO_00944, DAKCFMEO_04075
OG0000551	DC3000_protein_12_2025	WP_011104457.1, WP_161797816.1	plate25.C2.annotation	DAKCFMEO_00939
OG0000552	DC3000_protein_12_2025	WP_011104476.1	plate25.C2.annotation	DAKCFMEO_01430, DAKCFMEO_02257
OG0000554	DC3000_protein_12_2025	WP_011104494.1	plate25.C2.annotation	DAKCFMEO_01448, DAKCFMEO_03887
OG0000555	DC3000_protein_12_2025	WP_011104506.1	plate25.C2.annotation	DAKCFMEO_01509, DAKCFMEO_03079
OG0000556	DC3000_protein_12_2025	WP_011104568.1	plate25.C2.annotation	DAKCFMEO_03398, DAKCFMEO_04726
OG0000557	DC3000_protein_12_2025	WP_011104570.1	plate25.C2.annotation	DAKCFMEO_03827, DAKCFMEO_04724
OG0000558	DC3000_protein_12_2025	WP_011104583.1	plate25.C2.annotation	DAKCFMEO_01144, DAKCFMEO_03946
OG0000559	DC3000_protein_12_2025	WP_011104585.1	plate25.C2.annotation	DAKCFMEO_03815, DAKCFMEO_04702
OG0000560	DC3000_protein_12_2025	WP_011104627.1	plate25.C2.annotation	DAKCFMEO_02660, DAKCFMEO_04560
OG0000561	DC3000_protein_12_2025	WP_011104648.1, WP_011106957.1	plate25.C2.annotation	DAKCFMEO_04532
OG0000562	DC3000_protein_12_2025	WP_011104677.1	plate25.C2.annotation	DAKCFMEO_02671, DAKCFMEO_04408
OG0000563	DC3000_protein_12_2025	WP_011104685.1	plate25.C2.annotation	DAKCFMEO_00783, DAKCFMEO_04373
OG0000564	DC3000_protein_12_2025	WP_011104686.1	plate25.C2.annotation	DAKCFMEO_00239, DAKCFMEO_04371
OG0000565	DC3000_protein_12_2025	WP_011104699.1	plate25.C2.annotation	DAKCFMEO_00782, DAKCFMEO_04333
OG0000566	DC3000_protein_12_2025	WP_011104719.1, WP_046463642.1	plate25.C2.annotation	DAKCFMEO_03394
OG0000567	DC3000_protein_12_2025	WP_011104724.1	plate25.C2.annotation	DAKCFMEO_00361, DAKCFMEO_04294
OG0000568	DC3000_protein_12_2025	WP_011104753.1, WP_044392855.1	plate25.C2.annotation	DAKCFMEO_04230
OG0000569	DC3000_protein_12_2025	WP_011104756.1	plate25.C2.annotation	DAKCFMEO_00386, DAKCFMEO_04227
OG0000570	DC3000_protein_12_2025	WP_011104765.1	plate25.C2.annotation	DAKCFMEO_04052, DAKCFMEO_04188
OG0000571	DC3000_protein_12_2025	WP_011104785.1, WP_011105582.1	plate25.C2.annotation	DAKCFMEO_04167
OG0000572	DC3000_protein_12_2025	WP_011104887.1	plate25.C2.annotation	DAKCFMEO_00140, DAKCFMEO_01500
OG0000573	DC3000_protein_12_2025	WP_011104888.1	plate25.C2.annotation	DAKCFMEO_00146, DAKCFMEO_01894
OG0000574	DC3000_protein_12_2025	WP_011104896.1, WP_011104929.1	plate25.C2.annotation	DAKCFMEO_00177
OG0000575	DC3000_protein_12_2025	WP_011104920.1	plate25.C2.annotation	DAKCFMEO_00251, DAKCFMEO_01435
OG0000576	DC3000_protein_12_2025	WP_011104945.1, WP_011105063.1	plate25.C2.annotation	DAKCFMEO_00272
OG0000577	DC3000_protein_12_2025	WP_011105053.1	plate25.C2.annotation	DAKCFMEO_00936, DAKCFMEO_04758
OG0000578	DC3000_protein_12_2025	WP_011105108.1	plate25.C2.annotation	DAKCFMEO_00038, DAKCFMEO_00581
OG0000579	DC3000_protein_12_2025	WP_011105140.1, WP_011105168.1	plate25.C2.annotation	DAKCFMEO_04797
OG0000580	DC3000_protein_12_2025	WP_011105217.1, WP_046463779.1	plate25.C2.annotation	DAKCFMEO_04827
OG0000581	DC3000_protein_12_2025	WP_011105235.1, WP_011105522.1	plate25.C2.annotation	DAKCFMEO_01588
OG0000582	DC3000_protein_12_2025	WP_011105240.1	plate25.C2.annotation	DAKCFMEO_00010, DAKCFMEO_04894
OG0000583	DC3000_protein_12_2025	WP_011105258.1, WP_046463768.1	plate25.C2.annotation	DAKCFMEO_04934
OG0000584	DC3000_protein_12_2025	WP_011105278.1, WP_011105452.1	plate25.C2.annotation	DAKCFMEO_04430
OG0000585	DC3000_protein_12_2025	WP_011105298.1	plate25.C2.annotation	DAKCFMEO_02127, DAKCFMEO_03797
OG0000586	DC3000_protein_12_2025	WP_011105299.1	plate25.C2.annotation	DAKCFMEO_02098, DAKCFMEO_02126
OG0000587	DC3000_protein_12_2025	WP_011105335.1	plate25.C2.annotation	DAKCFMEO_05066, DAKCFMEO_05068
OG0000588	DC3000_protein_12_2025	WP_011105361.1	plate25.C2.annotation	DAKCFMEO_04415, DAKCFMEO_05149
OG0000589	DC3000_protein_12_2025	WP_011105460.1	plate25.C2.annotation	DAKCFMEO_05238, DAKCFMEO_05239
OG0000590	DC3000_protein_12_2025	WP_011105473.1, WP_046463847.1	plate25.C2.annotation	DAKCFMEO_05265
OG0000591	DC3000_protein_12_2025	WP_011105494.1	plate25.C2.annotation	DAKCFMEO_01153, DAKCFMEO_01639
OG0000592	DC3000_protein_12_2025	WP_011105501.1	plate25.C2.annotation	DAKCFMEO_04792, DAKCFMEO_05296
OG0000593	DC3000_protein_12_2025	WP_011105531.1, WP_011105533.1	plate25.C2.annotation	DAKCFMEO_01573
OG0000594	DC3000_protein_12_2025	WP_011105535.1	plate25.C2.annotation	DAKCFMEO_01566, DAKCFMEO_04327
OG0000595	DC3000_protein_12_2025	WP_011105556.1	plate25.C2.annotation	DAKCFMEO_01216, DAKCFMEO_04742
OG0000596	DC3000_protein_12_2025	WP_017698872.1, WP_046463324.1	plate25.C2.annotation	DAKCFMEO_02145
OG0000598	DC3000_protein_12_2025	WP_046463281.1, WP_046463912.1	plate25.C2.annotation	DAKCFMEO_04043
OG0000599	DC3000_protein_12_2025	WP_046463318.1	plate25.C2.annotation	DAKCFMEO_00267, DAKCFMEO_02096
OG0000600	DC3000_protein_12_2025	WP_046463321.1	plate25.C2.annotation	DAKCFMEO_00992, DAKCFMEO_01442
OG0000601	DC3000_protein_12_2025	WP_046463355.1	plate25.C2.annotation	DAKCFMEO_02750, DAKCFMEO_04557
OG0000602	DC3000_protein_12_2025	WP_046463438.1	plate25.C2.annotation	DAKCFMEO_00726, DAKCFMEO_04051
OG0000603	DC3000_protein_12_2025	WP_046463459.1	plate25.C2.annotation	DAKCFMEO_04150, DAKCFMEO_04746
OG0000604	DC3000_protein_12_2025	WP_046463487.1	plate25.C2.annotation	DAKCFMEO_03533, DAKCFMEO_04603
OG0000605	DC3000_protein_12_2025	WP_046463561.1	plate25.C2.annotation	DAKCFMEO_00678, DAKCFMEO_00684
OG0000606	DC3000_protein_12_2025	WP_046463592.1	plate25.C2.annotation	DAKCFMEO_00101, DAKCFMEO_02489
OG0000607	DC3000_protein_12_2025	WP_046463652.1	plate25.C2.annotation	DAKCFMEO_04918, DAKCFMEO_04922
OG0000608	DC3000_protein_12_2025	WP_046463677.1	plate25.C2.annotation	DAKCFMEO_03842, DAKCFMEO_03857
OG0000609	DC3000_protein_12_2025	WP_046463781.1, WP_161797798.1	plate25.C2.annotation	DAKCFMEO_01233
OG0000610	DC3000_protein_12_2025	WP_046463848.1	plate25.C2.annotation	DAKCFMEO_02001, DAKCFMEO_02002
OG0000611	DC3000_protein_12_2025	WP_046463904.1	plate25.C2.annotation	DAKCFMEO_00948, DAKCFMEO_04078
OG0000612	DC3000_protein_12_2025	WP_046463956.1	plate25.C2.annotation	DAKCFMEO_02848, DAKCFMEO_04666
OG0000613	DC3000_protein_12_2025	WP_159229446.1, WP_164923175.1	plate25.C2.annotation	DAKCFMEO_00352
OG0000614	DC3000_protein_12_2025	WP_159250468.1, WP_164923169.1	plate25.C2.annotation	DAKCFMEO_01886
OG0000615	DC3000_protein_12_2025	WP_161797781.1	plate25.C2.annotation	DAKCFMEO_02048, DAKCFMEO_03967
OG0000622	DC3000_protein_12_2025	WP_002551315.1	plate25.C2.annotation	DAKCFMEO_01263
OG0000623	DC3000_protein_12_2025	WP_002551397.1	plate25.C2.annotation	DAKCFMEO_05162
OG0000624	DC3000_protein_12_2025	WP_002551454.1	plate25.C2.annotation	DAKCFMEO_05211
OG0000625	DC3000_protein_12_2025	WP_002551500.1	plate25.C2.annotation	DAKCFMEO_01837
OG0000626	DC3000_protein_12_2025	WP_002551508.1	plate25.C2.annotation	DAKCFMEO_01845
OG0000627	DC3000_protein_12_2025	WP_002551514.1	plate25.C2.annotation	DAKCFMEO_01851
OG0000628	DC3000_protein_12_2025	WP_002551515.1	plate25.C2.annotation	DAKCFMEO_01852
OG0000629	DC3000_protein_12_2025	WP_002551560.1	plate25.C2.annotation	DAKCFMEO_01956
OG0000630	DC3000_protein_12_2025	WP_002551568.1	plate25.C2.annotation	DAKCFMEO_01967
OG0000631	DC3000_protein_12_2025	WP_002551573.1	plate25.C2.annotation	DAKCFMEO_01972
OG0000632	DC3000_protein_12_2025	WP_002551616.1	plate25.C2.annotation	DAKCFMEO_05096
OG0000633	DC3000_protein_12_2025	WP_002551711.1	plate25.C2.annotation	DAKCFMEO_02133
OG0000634	DC3000_protein_12_2025	WP_002551738.1	plate25.C2.annotation	DAKCFMEO_05002
OG0000635	DC3000_protein_12_2025	WP_002551819.1	plate25.C2.annotation	DAKCFMEO_04892
OG0000636	DC3000_protein_12_2025	WP_002551828.1	plate25.C2.annotation	DAKCFMEO_04881
OG0000637	DC3000_protein_12_2025	WP_002551829.1	plate25.C2.annotation	DAKCFMEO_04880
OG0000638	DC3000_protein_12_2025	WP_002551877.1	plate25.C2.annotation	DAKCFMEO_02868
OG0000639	DC3000_protein_12_2025	WP_002551946.1	plate25.C2.annotation	DAKCFMEO_02807
OG0000640	DC3000_protein_12_2025	WP_002551953.1	plate25.C2.annotation	DAKCFMEO_02800
OG0000641	DC3000_protein_12_2025	WP_002551972.1	plate25.C2.annotation	DAKCFMEO_00541
OG0000642	DC3000_protein_12_2025	WP_002552060.1	plate25.C2.annotation	DAKCFMEO_01662
OG0000643	DC3000_protein_12_2025	WP_002552075.1	plate25.C2.annotation	DAKCFMEO_01647
OG0000644	DC3000_protein_12_2025	WP_002552145.1	plate25.C2.annotation	DAKCFMEO_03443
OG0000645	DC3000_protein_12_2025	WP_002552194.1	plate25.C2.annotation	DAKCFMEO_03389
OG0000646	DC3000_protein_12_2025	WP_002552279.1	plate25.C2.annotation	DAKCFMEO_03291
OG0000647	DC3000_protein_12_2025	WP_002552468.1	plate25.C2.annotation	DAKCFMEO_03331
OG0000648	DC3000_protein_12_2025	WP_002552482.1	plate25.C2.annotation	DAKCFMEO_03346
OG0000649	DC3000_protein_12_2025	WP_002552524.1	plate25.C2.annotation	DAKCFMEO_03261
OG0000650	DC3000_protein_12_2025	WP_002552552.1	plate25.C2.annotation	DAKCFMEO_04200
OG0000651	DC3000_protein_12_2025	WP_002552554.1	plate25.C2.annotation	DAKCFMEO_04202
OG0000652	DC3000_protein_12_2025	WP_002552611.1	plate25.C2.annotation	DAKCFMEO_04157
OG0000653	DC3000_protein_12_2025	WP_002552653.1	plate25.C2.annotation	DAKCFMEO_04191
OG0000654	DC3000_protein_12_2025	WP_002552688.1	plate25.C2.annotation	DAKCFMEO_04245
OG0000655	DC3000_protein_12_2025	WP_002552729.1	plate25.C2.annotation	DAKCFMEO_04341
OG0000656	DC3000_protein_12_2025	WP_002552734.1	plate25.C2.annotation	DAKCFMEO_04350
OG0000657	DC3000_protein_12_2025	WP_002552737.1	plate25.C2.annotation	DAKCFMEO_04353
OG0000658	DC3000_protein_12_2025	WP_002552818.1	plate25.C2.annotation	DAKCFMEO_04534
OG0000659	DC3000_protein_12_2025	WP_002552981.1	plate25.C2.annotation	DAKCFMEO_00650
OG0000660	DC3000_protein_12_2025	WP_002553016.1	plate25.C2.annotation	DAKCFMEO_00710
OG0000661	DC3000_protein_12_2025	WP_002553018.1	plate25.C2.annotation	DAKCFMEO_00712
OG0000662	DC3000_protein_12_2025	WP_002553160.1	plate25.C2.annotation	DAKCFMEO_00813
OG0000663	DC3000_protein_12_2025	WP_002553161.1	plate25.C2.annotation	DAKCFMEO_00814
OG0000664	DC3000_protein_12_2025	WP_002553164.1	plate25.C2.annotation	DAKCFMEO_00817
OG0000665	DC3000_protein_12_2025	WP_002553665.1	plate25.C2.annotation	DAKCFMEO_03718
OG0000666	DC3000_protein_12_2025	WP_002553978.1	plate25.C2.annotation	DAKCFMEO_01496
OG0000667	DC3000_protein_12_2025	WP_002554011.1	plate25.C2.annotation	DAKCFMEO_01530
OG0000668	DC3000_protein_12_2025	WP_002554012.1	plate25.C2.annotation	DAKCFMEO_01531
OG0000669	DC3000_protein_12_2025	WP_002554100.1	plate25.C2.annotation	DAKCFMEO_04682
OG0000670	DC3000_protein_12_2025	WP_002554262.1	plate25.C2.annotation	DAKCFMEO_02556
OG0000671	DC3000_protein_12_2025	WP_002554277.1	plate25.C2.annotation	DAKCFMEO_02541
OG0000672	DC3000_protein_12_2025	WP_002554288.1	plate25.C2.annotation	DAKCFMEO_02531
OG0000673	DC3000_protein_12_2025	WP_002554291.1	plate25.C2.annotation	DAKCFMEO_02528
OG0000674	DC3000_protein_12_2025	WP_002554297.1	plate25.C2.annotation	DAKCFMEO_02522
OG0000675	DC3000_protein_12_2025	WP_002554310.1	plate25.C2.annotation	DAKCFMEO_02509
OG0000676	DC3000_protein_12_2025	WP_002554316.1	plate25.C2.annotation	DAKCFMEO_02504
OG0000677	DC3000_protein_12_2025	WP_002554423.1	plate25.C2.annotation	DAKCFMEO_02406
OG0000678	DC3000_protein_12_2025	WP_002554426.1	plate25.C2.annotation	DAKCFMEO_02400
OG0000679	DC3000_protein_12_2025	WP_002554476.1	plate25.C2.annotation	DAKCFMEO_04319
OG0000680	DC3000_protein_12_2025	WP_002554553.1	plate25.C2.annotation	DAKCFMEO_02327
OG0000681	DC3000_protein_12_2025	WP_002554561.1	plate25.C2.annotation	DAKCFMEO_02318
OG0000682	DC3000_protein_12_2025	WP_002554562.1	plate25.C2.annotation	DAKCFMEO_02317
OG0000683	DC3000_protein_12_2025	WP_002554651.1	plate25.C2.annotation	DAKCFMEO_03124
OG0000684	DC3000_protein_12_2025	WP_002554721.1	plate25.C2.annotation	DAKCFMEO_03190
OG0000685	DC3000_protein_12_2025	WP_002554728.1	plate25.C2.annotation	DAKCFMEO_03197
OG0000686	DC3000_protein_12_2025	WP_002554851.1	plate25.C2.annotation	DAKCFMEO_00159
OG0000687	DC3000_protein_12_2025	WP_002555064.1	plate25.C2.annotation	DAKCFMEO_00416
OG0000688	DC3000_protein_12_2025	WP_002555108.1	plate25.C2.annotation	DAKCFMEO_00463
OG0000689	DC3000_protein_12_2025	WP_002555109.1	plate25.C2.annotation	DAKCFMEO_00464
OG0000690	DC3000_protein_12_2025	WP_002555121.1	plate25.C2.annotation	DAKCFMEO_01679
OG0000691	DC3000_protein_12_2025	WP_002555142.1	plate25.C2.annotation	DAKCFMEO_01701
OG0000692	DC3000_protein_12_2025	WP_002555214.1	plate25.C2.annotation	DAKCFMEO_00545
OG0000693	DC3000_protein_12_2025	WP_002555356.1	plate25.C2.annotation	DAKCFMEO_03650
OG0000694	DC3000_protein_12_2025	WP_002555369.1	plate25.C2.annotation	DAKCFMEO_03636
OG0000695	DC3000_protein_12_2025	WP_002555375.1	plate25.C2.annotation	DAKCFMEO_03630
OG0000696	DC3000_protein_12_2025	WP_002555427.1	plate25.C2.annotation	DAKCFMEO_03570
OG0000697	DC3000_protein_12_2025	WP_002555464.1	plate25.C2.annotation	DAKCFMEO_03531
OG0000698	DC3000_protein_12_2025	WP_002555465.1	plate25.C2.annotation	DAKCFMEO_03530
OG0000699	DC3000_protein_12_2025	WP_002555466.1	plate25.C2.annotation	DAKCFMEO_03529
OG0000700	DC3000_protein_12_2025	WP_002555467.1	plate25.C2.annotation	DAKCFMEO_03528
OG0000701	DC3000_protein_12_2025	WP_002555469.1	plate25.C2.annotation	DAKCFMEO_03527
OG0000702	DC3000_protein_12_2025	WP_002555470.1	plate25.C2.annotation	DAKCFMEO_03526
OG0000703	DC3000_protein_12_2025	WP_002555471.1	plate25.C2.annotation	DAKCFMEO_03525
OG0000704	DC3000_protein_12_2025	WP_002555473.1	plate25.C2.annotation	DAKCFMEO_03523
OG0000705	DC3000_protein_12_2025	WP_002555475.1	plate25.C2.annotation	DAKCFMEO_03521
OG0000706	DC3000_protein_12_2025	WP_002555476.1	plate25.C2.annotation	DAKCFMEO_03520
OG0000707	DC3000_protein_12_2025	WP_002555478.1	plate25.C2.annotation	DAKCFMEO_03518
OG0000708	DC3000_protein_12_2025	WP_002555479.1	plate25.C2.annotation	DAKCFMEO_03517
OG0000709	DC3000_protein_12_2025	WP_002555480.1	plate25.C2.annotation	DAKCFMEO_03516
OG0000710	DC3000_protein_12_2025	WP_002555481.1	plate25.C2.annotation	DAKCFMEO_03515
OG0000711	DC3000_protein_12_2025	WP_002555482.1	plate25.C2.annotation	DAKCFMEO_03514
OG0000712	DC3000_protein_12_2025	WP_002555485.1	plate25.C2.annotation	DAKCFMEO_03512
OG0000713	DC3000_protein_12_2025	WP_002555488.1	plate25.C2.annotation	DAKCFMEO_03509
OG0000714	DC3000_protein_12_2025	WP_002555489.1	plate25.C2.annotation	DAKCFMEO_03508
