Entry	RefSeq	Entry Name	Reviewed	Protein names	Gene Names	Organism	Length	Proteomes	Organism (ID)	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	Gene Ontology (GO)	Gene Ontology IDs
Q87VD3	NP_794739.1;WP_007244575.1;	Q87VD3_PSESM	unreviewed	Acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	aceF PSPTO_5006	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	548	UP000002515: Chromosome	223283	pyruvate decarboxylation to acetyl-CoA [GO:0006086]	cytoplasm [GO:0005737]; pyruvate dehydrogenase complex [GO:0045254]	dihydrolipoyllysine-residue acetyltransferase activity [GO:0004742]; lipoic acid binding [GO:0031405]	cytoplasm [GO:0005737]; pyruvate dehydrogenase complex [GO:0045254]; dihydrolipoyllysine-residue acetyltransferase activity [GO:0004742]; lipoic acid binding [GO:0031405]; pyruvate decarboxylation to acetyl-CoA [GO:0006086]	GO:0004742; GO:0005737; GO:0006086; GO:0031405; GO:0045254
Q87VD5	NP_794737.1;WP_005762959.1;	GLNE_PSESM	reviewed	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme (ATP:glutamine synthetase adenylyltransferase) (ATase) [Includes: Glutamine synthetase adenylyl-L-tyrosine phosphorylase (EC 2.7.7.89) (Adenylyl removase) (AR) (AT-N); Glutamine synthetase adenylyl transferase (EC 2.7.7.42) (Adenylyl transferase) (AT) (AT-C)]	glnE PSPTO_5004	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	985	UP000002515: Chromosome	223283	regulation of glutamine family amino acid metabolic process [GO:0000820]	cytosol [GO:0005829]	[glutamate-ammonia-ligase] adenylyltransferase activity [GO:0008882]; [glutamine synthetase]-adenylyl-L-tyrosine phosphorylase activity [GO:0047388]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]	cytosol [GO:0005829]; [glutamate-ammonia-ligase] adenylyltransferase activity [GO:0008882]; [glutamine synthetase]-adenylyl-L-tyrosine phosphorylase activity [GO:0047388]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; regulation of glutamine family amino acid metabolic process [GO:0000820]	GO:0000287; GO:0000820; GO:0005524; GO:0005829; GO:0008882; GO:0047388
Q87VF3	NP_794717.1;WP_010213170.1;	MSBA_PSESM	reviewed	ATP-dependent lipid A-core flippase (EC 7.5.2.6) (Lipid A export ATP-binding/permease protein MsbA)	msbA PSPTO_4984	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	600	UP000002515: Chromosome	223283		plasma membrane [GO:0005886]	ABC-type oligopeptide transporter activity [GO:0015421]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled lipid transmembrane transporter activity [GO:0034040]	plasma membrane [GO:0005886]; ABC-type oligopeptide transporter activity [GO:0015421]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled lipid transmembrane transporter activity [GO:0034040]	GO:0005524; GO:0005886; GO:0015421; GO:0016887; GO:0034040
Q87VF9	NP_794711.1;	Q87VF9_PSESM	unreviewed	3-deoxy-D-manno-octulosonic acid transferase (Kdo transferase) (EC 2.4.99.12) (Lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase)	kdtA PSPTO_4978	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	447	UP000002515: Chromosome	223283	lipid A biosynthetic process [GO:0009245]; lipopolysaccharide core region biosynthetic process [GO:0009244]	plasma membrane [GO:0005886]	Kdo transferase activity [GO:0043842]	plasma membrane [GO:0005886]; Kdo transferase activity [GO:0043842]; lipid A biosynthetic process [GO:0009245]; lipopolysaccharide core region biosynthetic process [GO:0009244]	GO:0005886; GO:0009244; GO:0009245; GO:0043842
Q87VG1	NP_794709.1;WP_011105255.1;	THIC_PSESM	reviewed	Phosphomethylpyrimidine synthase (EC 4.1.99.17) (Hydroxymethylpyrimidine phosphate synthase) (HMP-P synthase) (HMP-phosphate synthase) (HMPP synthase) (Thiamine biosynthesis protein ThiC)	thiC PSPTO_4976	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	629	UP000002515: Chromosome	223283	thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]	cytosol [GO:0005829]	4 iron, 4 sulfur cluster binding [GO:0051539]; carbon-carbon lyase activity [GO:0016830]; zinc ion binding [GO:0008270]	cytosol [GO:0005829]; 4 iron, 4 sulfur cluster binding [GO:0051539]; carbon-carbon lyase activity [GO:0016830]; zinc ion binding [GO:0008270]; thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]	GO:0005829; GO:0008270; GO:0009228; GO:0009229; GO:0016830; GO:0051539
Q87VG4	NP_794706.1;WP_003377112.1;	Q87VG4_PSESM	unreviewed	ADP-ribose pyrophosphatase (EC 3.6.1.13) (ADP-ribose diphosphatase) (ADP-ribose phosphohydrolase) (Adenosine diphosphoribose pyrophosphatase)	PSPTO_4973	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	205	UP000002515: Chromosome	223283	nucleoside phosphate metabolic process [GO:0006753]; ribose phosphate metabolic process [GO:0019693]	cytosol [GO:0005829]	ADP-ribose diphosphatase activity [GO:0047631]; ADP-sugar diphosphatase activity [GO:0019144]; metal ion binding [GO:0046872]	cytosol [GO:0005829]; ADP-ribose diphosphatase activity [GO:0047631]; ADP-sugar diphosphatase activity [GO:0019144]; metal ion binding [GO:0046872]; nucleoside phosphate metabolic process [GO:0006753]; ribose phosphate metabolic process [GO:0019693]	GO:0005829; GO:0006753; GO:0019144; GO:0019693; GO:0046872; GO:0047631
Q87VH3	NP_794696.1;WP_003377107.1;	Q87VH3_PSESM	unreviewed	DNA topoisomerase 4 subunit B (EC 5.6.2.2) (Topoisomerase IV subunit B)	parE PSPTO_4963	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	634	UP000002515: Chromosome	223283	chromosome segregation [GO:0007059]; DNA topological change [GO:0006265]	chromosome [GO:0005694]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]	chromosome [GO:0005694]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]; chromosome segregation [GO:0007059]; DNA topological change [GO:0006265]	GO:0003677; GO:0003918; GO:0005524; GO:0005694; GO:0006265; GO:0007059
Q87VH6	NP_794693.1;WP_005762992.1;	Q87VH6_PSESM	unreviewed	DNA topoisomerase 4 subunit A (EC 5.6.2.2) (Topoisomerase IV subunit A)	parC PSPTO_4960	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	751	UP000002515: Chromosome	223283	chromosome segregation [GO:0007059]; DNA topological change [GO:0006265]	chromosome [GO:0005694]; cytoplasm [GO:0005737]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex [GO:0009330]; extrinsic component of plasma membrane [GO:0019897]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]	chromosome [GO:0005694]; cytoplasm [GO:0005737]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex [GO:0009330]; extrinsic component of plasma membrane [GO:0019897]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]; chromosome segregation [GO:0007059]; DNA topological change [GO:0006265]	GO:0003677; GO:0003918; GO:0005524; GO:0005694; GO:0005737; GO:0006265; GO:0007059; GO:0009330; GO:0019897
Q87VI1	NP_794688.1;	Q87VI1_PSESM	unreviewed	Phosphatidylserine decarboxylase proenzyme (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase alpha chain; Phosphatidylserine decarboxylase beta chain]	psd PSPTO_4955	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	613	UP000002515: Chromosome	223283	phosphatidylethanolamine biosynthetic process [GO:0006646]	plasma membrane [GO:0005886]	phosphatidylserine decarboxylase activity [GO:0004609]; thiosulfate-cyanide sulfurtransferase activity [GO:0004792]	plasma membrane [GO:0005886]; phosphatidylserine decarboxylase activity [GO:0004609]; thiosulfate-cyanide sulfurtransferase activity [GO:0004792]; phosphatidylethanolamine biosynthetic process [GO:0006646]	GO:0004609; GO:0004792; GO:0005886; GO:0006646
Q87VI5	NP_794684.1;WP_005763005.1;	RSGA_PSESM	reviewed	Small ribosomal subunit biogenesis GTPase RsgA (EC 3.6.1.-)	rsgA PSPTO_4951	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	343	UP000002515: Chromosome	223283	ribosomal small subunit biogenesis [GO:0042274]	cytoplasm [GO:0005737]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; metal ion binding [GO:0046872]; rRNA binding [GO:0019843]	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; metal ion binding [GO:0046872]; rRNA binding [GO:0019843]; ribosomal small subunit biogenesis [GO:0042274]	GO:0003924; GO:0005525; GO:0005737; GO:0019843; GO:0042274; GO:0046872
Q87VI8	NP_794681.1;WP_007244608.1;	Q87VI8_PSESM	unreviewed	Epoxyqueuosine reductase (EC 1.17.99.6) (Queuosine biosynthesis protein QueG)	queG PSPTO_4948	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	362	UP000002515: Chromosome	223283	queuosine biosynthetic process [GO:0008616]; tRNA modification [GO:0006400]	cytoplasm [GO:0005737]	4 iron, 4 sulfur cluster binding [GO:0051539]; cobalamin binding [GO:0031419]; epoxyqueuosine reductase activity [GO:0052693]; metal ion binding [GO:0046872]	cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; cobalamin binding [GO:0031419]; epoxyqueuosine reductase activity [GO:0052693]; metal ion binding [GO:0046872]; queuosine biosynthetic process [GO:0008616]; tRNA modification [GO:0006400]	GO:0005737; GO:0006400; GO:0008616; GO:0031419; GO:0046872; GO:0051539; GO:0052693
Q87VJ3	NP_794676.1;WP_011105239.1;	MIAA_PSESM	reviewed	tRNA dimethylallyltransferase (EC 2.5.1.75) (Dimethylallyl diphosphate:tRNA dimethylallyltransferase) (DMAPP:tRNA dimethylallyltransferase) (DMATase) (Isopentenyl-diphosphate:tRNA isopentenyltransferase) (IPP transferase) (IPPT) (IPTase)	miaA PSPTO_4943	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	323	UP000002515: Chromosome	223283	tRNA modification [GO:0006400]		ATP binding [GO:0005524]; tRNA dimethylallyltransferase activity [GO:0052381]	ATP binding [GO:0005524]; tRNA dimethylallyltransferase activity [GO:0052381]; tRNA modification [GO:0006400]	GO:0005524; GO:0006400; GO:0052381
Q87VJ9	NP_794670.1;WP_003422343.1;	PURA_PSESM	reviewed	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	purA PSPTO_4937	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	430	UP000002515: Chromosome	223283	'de novo' AMP biosynthetic process [GO:0044208]; IMP metabolic process [GO:0046040]	cytoplasm [GO:0005737]	adenylosuccinate synthase activity [GO:0004019]; GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]	cytoplasm [GO:0005737]; adenylosuccinate synthase activity [GO:0004019]; GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]; 'de novo' AMP biosynthetic process [GO:0044208]; IMP metabolic process [GO:0046040]	GO:0000287; GO:0004019; GO:0005525; GO:0005737; GO:0044208; GO:0046040
Q87VL4	NP_794655.1;WP_005620808.1;	NADE_PSESM	reviewed	NH(3)-dependent NAD(+) synthetase (EC 6.3.1.5)	nadE PSPTO_4922	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	275	UP000002515: Chromosome	223283	NAD biosynthetic process [GO:0009435]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; glutaminase activity [GO:0004359]; metal ion binding [GO:0046872]; NAD+ synthase (glutamine-hydrolyzing) activity [GO:0003952]; NAD+ synthase activity [GO:0008795]	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; glutaminase activity [GO:0004359]; metal ion binding [GO:0046872]; NAD+ synthase (glutamine-hydrolyzing) activity [GO:0003952]; NAD+ synthase activity [GO:0008795]; NAD biosynthetic process [GO:0009435]	GO:0003952; GO:0004359; GO:0005524; GO:0005737; GO:0008795; GO:0009435; GO:0046872
Q87VP0	NP_794629.1;WP_005763096.1;	URE1_PSESM	reviewed	Urease subunit alpha (EC 3.5.1.5) (Urea amidohydrolase subunit alpha)	ureC PSPTO_4895	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	566	UP000002515: Chromosome	223283	urea catabolic process [GO:0043419]	cytoplasm [GO:0005737]	nickel cation binding [GO:0016151]; urease activity [GO:0009039]	cytoplasm [GO:0005737]; nickel cation binding [GO:0016151]; urease activity [GO:0009039]; urea catabolic process [GO:0043419]	GO:0005737; GO:0009039; GO:0016151; GO:0043419
Q87VR8	NP_794601.1;WP_011105210.1;	PUR2_PSESM	reviewed	Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (GARS) (Glycinamide ribonucleotide synthetase) (Phosphoribosylglycinamide synthetase)	purD PSPTO_4867	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	431	UP000002515: Chromosome	223283	'de novo' IMP biosynthetic process [GO:0006189]; purine nucleobase biosynthetic process [GO:0009113]		ATP binding [GO:0005524]; metal ion binding [GO:0046872]; phosphoribosylamine-glycine ligase activity [GO:0004637]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; phosphoribosylamine-glycine ligase activity [GO:0004637]; 'de novo' IMP biosynthetic process [GO:0006189]; purine nucleobase biosynthetic process [GO:0009113]	GO:0004637; GO:0005524; GO:0006189; GO:0009113; GO:0046872
Q87VR9	NP_794600.1;WP_011105209.1;	PUR9_PSESM	reviewed	Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	purH PSPTO_4866	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	534	UP000002515: Chromosome	223283	'de novo' IMP biosynthetic process [GO:0006189]	cytosol [GO:0005829]	IMP cyclohydrolase activity [GO:0003937]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]	cytosol [GO:0005829]; IMP cyclohydrolase activity [GO:0003937]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]; 'de novo' IMP biosynthetic process [GO:0006189]	GO:0003937; GO:0004643; GO:0005829; GO:0006189
Q87VS1	NP_794598.1;WP_005763161.1;	DUSB_PSESM	reviewed	tRNA-dihydrouridine synthase B (EC 1.3.1.-)	dusB PSPTO_4864	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	337	UP000002515: Chromosome	223283			flavin adenine dinucleotide binding [GO:0050660]; FMN binding [GO:0010181]; tRNA binding [GO:0000049]; tRNA dihydrouridine synthase activity [GO:0017150]	flavin adenine dinucleotide binding [GO:0050660]; FMN binding [GO:0010181]; tRNA binding [GO:0000049]; tRNA dihydrouridine synthase activity [GO:0017150]	GO:0000049; GO:0010181; GO:0017150; GO:0050660
Q87VS6	NP_794593.1;WP_002555369.1;	AROQ_PSESM	reviewed	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	aroQ PSPTO_4859	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	150	UP000002515: Chromosome	223283	amino acid biosynthetic process [GO:0008652]; aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423]; quinate catabolic process [GO:0019631]		3-dehydroquinate dehydratase activity [GO:0003855]	3-dehydroquinate dehydratase activity [GO:0003855]; amino acid biosynthetic process [GO:0008652]; aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423]; quinate catabolic process [GO:0019631]	GO:0003855; GO:0008652; GO:0009073; GO:0009423; GO:0019631
Q87VS7	NP_794592.1;	Q87VS7_PSESM	unreviewed	Thiol:disulfide interchange protein DsbD (EC 1.8.1.8) (Protein-disulfide reductase) (Disulfide reductase)	dsbD PSPTO_4858	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	604	UP000002515: Chromosome	223283	cell redox homeostasis [GO:0045454]; cytochrome complex assembly [GO:0017004]	plasma membrane [GO:0005886]	electron transfer activity [GO:0009055]; protein-disulfide reductase [NAD(P)H] activity [GO:0047134]	plasma membrane [GO:0005886]; electron transfer activity [GO:0009055]; protein-disulfide reductase [NAD(P)H] activity [GO:0047134]; cell redox homeostasis [GO:0045454]; cytochrome complex assembly [GO:0017004]	GO:0005886; GO:0009055; GO:0017004; GO:0045454; GO:0047134
Q87VU3	NP_794576.1;WP_005763203.1;	SPEA_PSESM	reviewed	Biosynthetic arginine decarboxylase (ADC) (EC 4.1.1.19)	speA PSPTO_4842	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	637	UP000002515: Chromosome	223283	arginine catabolic process [GO:0006527]; putrescine biosynthetic process from arginine [GO:0033388]; spermidine biosynthetic process [GO:0008295]		arginine decarboxylase activity [GO:0008792]; metal ion binding [GO:0046872]	arginine decarboxylase activity [GO:0008792]; metal ion binding [GO:0046872]; arginine catabolic process [GO:0006527]; putrescine biosynthetic process from arginine [GO:0033388]; spermidine biosynthetic process [GO:0008295]	GO:0006527; GO:0008295; GO:0008792; GO:0033388; GO:0046872
Q87VW0	NP_794559.1;WP_011105194.1;	Q87VW0_PSESM	unreviewed	Peptidoglycan D,D-transpeptidase MrdA (EC 3.4.16.4) (Penicillin-binding protein 2) (PBP-2)	mrdA PSPTO_4825	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	631	UP000002515: Chromosome	223283	cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; proteolysis [GO:0006508]; regulation of cell shape [GO:0008360]	plasma membrane [GO:0005886]	penicillin binding [GO:0008658]; peptidoglycan L,D-transpeptidase activity [GO:0071972]; serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002]	plasma membrane [GO:0005886]; penicillin binding [GO:0008658]; peptidoglycan L,D-transpeptidase activity [GO:0071972]; serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; proteolysis [GO:0006508]; regulation of cell shape [GO:0008360]	GO:0005886; GO:0006508; GO:0008360; GO:0008658; GO:0009002; GO:0009252; GO:0071555; GO:0071972
Q87VW1	NP_794558.1;	Q87VW1_PSESM	unreviewed	Peptidoglycan glycosyltransferase MrdB (PGT) (EC 2.4.99.28) (Cell elongation protein RodA) (Cell wall polymerase) (Peptidoglycan polymerase) (PG polymerase)	rodA mrdB PSPTO_4824	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	381	UP000002515: Chromosome	223283	cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	cell division site [GO:0032153]; plasma membrane [GO:0005886]	lipid-linked peptidoglycan transporter activity [GO:0015648]; peptidoglycan glycosyltransferase activity [GO:0008955]	cell division site [GO:0032153]; plasma membrane [GO:0005886]; lipid-linked peptidoglycan transporter activity [GO:0015648]; peptidoglycan glycosyltransferase activity [GO:0008955]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	GO:0005886; GO:0008360; GO:0008955; GO:0009252; GO:0015648; GO:0032153; GO:0051301; GO:0071555
Q87VW3	NP_794556.1;WP_007244675.1;	Q87VW3_PSESM	unreviewed	Endolytic peptidoglycan transglycosylase RlpA (EC 4.2.2.-)	rlpA PSPTO_4822	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	342	UP000002515: Chromosome	223283	cell wall organization [GO:0071555]; peptidoglycan metabolic process [GO:0000270]	cell outer membrane [GO:0009279]; plasma membrane [GO:0005886]	lytic endotransglycosylase activity [GO:0008932]; peptidoglycan binding [GO:0042834]	cell outer membrane [GO:0009279]; plasma membrane [GO:0005886]; lytic endotransglycosylase activity [GO:0008932]; peptidoglycan binding [GO:0042834]; cell wall organization [GO:0071555]; peptidoglycan metabolic process [GO:0000270]	GO:0000270; GO:0005886; GO:0008932; GO:0009279; GO:0042834; GO:0071555
Q87VW4	NP_794555.1;WP_003376558.1;	Q87VW4_PSESM	unreviewed	serine-type D-Ala-D-Ala carboxypeptidase (EC 3.4.16.4)	PSPTO_4821	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	386	UP000002515: Chromosome	223283	cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; proteolysis [GO:0006508]; regulation of cell shape [GO:0008360]		serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002]	serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; proteolysis [GO:0006508]; regulation of cell shape [GO:0008360]	GO:0006508; GO:0008360; GO:0009002; GO:0009252; GO:0071555
Q87VW6	NP_794553.1;WP_007244676.1;	LIPB_PSESM	reviewed	Octanoyltransferase (EC 2.3.1.181) (Lipoate-protein ligase B) (Lipoyl/octanoyl transferase) (Octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase)	lipB PSPTO_4819	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	218	UP000002515: Chromosome	223283	protein modification process [GO:0036211]	cytoplasm [GO:0005737]	lipoyl(octanoyl) transferase activity [GO:0033819]	cytoplasm [GO:0005737]; lipoyl(octanoyl) transferase activity [GO:0033819]; protein modification process [GO:0036211]	GO:0005737; GO:0033819; GO:0036211
Q87VW7	NP_794552.1;	LIPA_PSESM	reviewed	Lipoyl synthase (EC 2.8.1.8) (Lip-syn) (LS) (Lipoate synthase) (Lipoic acid synthase) (Sulfur insertion protein LipA)	lipA PSPTO_4818	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	318	UP000002515: Chromosome	223283		cytoplasm [GO:0005737]	4 iron, 4 sulfur cluster binding [GO:0051539]; lipoate synthase activity [GO:0016992]; metal ion binding [GO:0046872]	cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; lipoate synthase activity [GO:0016992]; metal ion binding [GO:0046872]	GO:0005737; GO:0016992; GO:0046872; GO:0051539
Q87VX7	NP_794542.1;WP_011105186.1;	LNT_PSESM	reviewed	Apolipoprotein N-acyltransferase (ALP N-acyltransferase) (EC 2.3.1.269)	lnt PSPTO_4808	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	506	UP000002515: Chromosome	223283	lipoprotein biosynthetic process [GO:0042158]	plasma membrane [GO:0005886]	N-acyltransferase activity [GO:0016410]	plasma membrane [GO:0005886]; N-acyltransferase activity [GO:0016410]; lipoprotein biosynthetic process [GO:0042158]	GO:0005886; GO:0016410; GO:0042158
Q87VY1	NP_794538.1;WP_005620645.1;	MIAB_PSESM	reviewed	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase (EC 2.8.4.3) ((Dimethylallyl)adenosine tRNA methylthiotransferase MiaB) (tRNA-i(6)A37 methylthiotransferase)	miaB PSPTO_4804	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	442	UP000002515: Chromosome	223283		cytosol [GO:0005829]	4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; N6-isopentenyladenosine methylthiotransferase activity [GO:0035597]	cytosol [GO:0005829]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; N6-isopentenyladenosine methylthiotransferase activity [GO:0035597]	GO:0005829; GO:0035597; GO:0046872; GO:0051539
Q87VY5	NP_794534.1;WP_007243834.1;	GSA_PSESM	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL PSPTO_4800	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	427	UP000002515: Chromosome	223283	protoporphyrinogen IX biosynthetic process [GO:0006782]	cytoplasm [GO:0005737]	glutamate-1-semialdehyde 2,1-aminomutase activity [GO:0042286]; pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]	cytoplasm [GO:0005737]; glutamate-1-semialdehyde 2,1-aminomutase activity [GO:0042286]; pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]; protoporphyrinogen IX biosynthetic process [GO:0006782]	GO:0005737; GO:0006782; GO:0008483; GO:0030170; GO:0042286
Q87VY6	NP_794533.1;WP_005763279.1;	THIE_PSESM	reviewed	Thiamine-phosphate synthase (TP synthase) (TPS) (EC 2.5.1.3) (Thiamine-phosphate pyrophosphorylase) (TMP pyrophosphorylase) (TMP-PPase)	thiE PSPTO_4799	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	205	UP000002515: Chromosome	223283	thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]	cytoplasm [GO:0005737]	magnesium ion binding [GO:0000287]; thiamine-phosphate diphosphorylase activity [GO:0004789]	cytoplasm [GO:0005737]; magnesium ion binding [GO:0000287]; thiamine-phosphate diphosphorylase activity [GO:0004789]; thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]	GO:0000287; GO:0004789; GO:0005737; GO:0009228; GO:0009229
Q87W79	NP_794426.1;	NPD4_PSESM	reviewed	NAD-dependent protein deacylase 4 (EC 2.3.1.286) (Regulatory protein SIR2 homolog 4)	cobB4 PSPTO_4675	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	256	UP000002515: Chromosome	223283		cytoplasm [GO:0005737]	histone deacetylase activity, NAD-dependent [GO:0017136]; NAD+ binding [GO:0070403]; protein-malonyllysine demalonylase activity [GO:0036054]; protein-succinyllysine desuccinylase activity [GO:0036055]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; histone deacetylase activity, NAD-dependent [GO:0017136]; NAD+ binding [GO:0070403]; protein-malonyllysine demalonylase activity [GO:0036054]; protein-succinyllysine desuccinylase activity [GO:0036055]; zinc ion binding [GO:0008270]	GO:0005737; GO:0008270; GO:0017136; GO:0036054; GO:0036055; GO:0070403
Q87WA0	NP_794405.1;WP_011105105.1;	TRMA_PSESM	reviewed	tRNA/tmRNA (uracil-C(5))-methyltransferase (EC 2.1.1.-) (EC 2.1.1.35) (tRNA (uracil(54)-C(5))-methyltransferase) (tRNA(m5U54)-methyltransferase) (RUMT) (tmRNA (uracil(341)-C(5))-methyltransferase)	trmA PSPTO_4654	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	361	UP000002515: Chromosome	223283	tRNA methylation [GO:0030488]	cytosol [GO:0005829]	rRNA binding [GO:0019843]; tRNA (uracil(54)-C5)-methyltransferase activity, S-adenosyl methionine-dependent [GO:0030697]; tRNA binding [GO:0000049]	cytosol [GO:0005829]; rRNA binding [GO:0019843]; tRNA (uracil(54)-C5)-methyltransferase activity, S-adenosyl methionine-dependent [GO:0030697]; tRNA binding [GO:0000049]; tRNA methylation [GO:0030488]	GO:0000049; GO:0005829; GO:0019843; GO:0030488; GO:0030697
