WP_RefSeq PSPTO uniprot
WP_003176422.1 PSPTO0632 Q889W5
WP_002555482.1 PSPTO0633 Q889W4
WP_002555481.1 PSPTO0634 Q889W3
WP_002555480.1 PSPTO0635 Q889W2
WP_002555479.1 PSPTO0636 Q889W1
WP_002555478.1 PSPTO0637 Q889W0
WP_005768935.1 PSPTO0638 Q889V9
WP_002555476.1 PSPTO0639 Q889V8
WP_002555475.1 PSPTO0640 Q889V7
WP_005768939.1 PSPTO0641 Q889V6
WP_002555473.1 PSPTO0642 Q889V5
WP_003317099.1 PSPTO0643 Q889V4
WP_002555471.1 PSPTO0644 Q889V3
WP_002555470.1 PSPTO0645 Q889V2
WP_002555469.1 PSPTO0646 Q889V1
WP_002555468.1 PSPTO0647 P61114
WP_002555467.1 PSPTO0648 Q889U9
WP_002555466.1 PSPTO0649 Q889U8
WP_002555465.1 PSPTO0650 Q889U7
WP_002555464.1 PSPTO0651 Q889U6
WP_004397026.1 PSPTO0652 Q889U5
WP_005614296.1 PSPTO0653 Q889U4
WP_005768946.1 PSPTO0654 Q889U3
WP_005768949.1 PSPTO0655 Q889U2
WP_003426596.1 PSPTO0656 Q889U1
WP_005768953.1 PSPTO0658 Q889T9
WP_011103224.1 PSPTO0659 Q889T8
WP_005768957.1 PSPTO0660 Q889T7
WP_005768959.1 PSPTO0661 Q889T6
WP_005768960.1 PSPTO0662 Q889T5
WP_005768962.1 PSPTO0663 Q889T4
WP_011103225.1 PSPTO0664 Q889T3
WP_005768966.1 PSPTO0665 Q889T2
WP_011103226.1 PSPTO0666 Q889T1
WP_011103227.1 PSPTO0667 Q889T0
WP_005768974.1 PSPTO0668 Q889S9
WP_003409203.1 PSPTO0669 NA
WP_003409202.1 PSPTO0670 NA
WP_011103229.1 PSPTO0671 Q889S8
WP_005768982.1 PSPTO0672 Q889S7
WP_005768984.1 PSPTO0673 Q889S6
WP_011103230.1 PSPTO0674 Q889S5
WP_005768991.1 PSPTO0675 Q889S4
WP_005768994.1 PSPTO0676 Q889S3
WP_032621927.1 PSPTO0677 Q889S2
WP_011103232.1 PSPTO0678 Q889S1
WP_005768999.1 PSPTO0679 Q889S0
WP_005769001.1 PSPTO0680 Q889R9
WP_005769004.1 PSPTO0681 Q889R8
WP_005769006.1 PSPTO0682 Q889R7
WP_011103233.1 PSPTO0683 Q889R6
WP_005614373.1 PSPTO0684 Q889R5
WP_005769010.1 PSPTO0685 Q889R4
WP_003379146.1 PSPTO0686 Q889R3
WP_011103234.1 PSPTO0687 Q889R2
WP_003379143.1 PSPTO0688 Q889R1
WP_003379141.1 PSPTO0689 Q889R0
WP_011103235.1 PSPTO0690 Q889Q9
WP_011103236.1 PSPTO0691 Q889Q8
WP_011103237.1 PSPTO0692 Q889Q7
WP_002555427.1 PSPTO0693 Q889Q6
WP_011103238.1 PSPTO0694 Q889Q5
WP_011103239.1 PSPTO0695 Q889Q4
WP_003379129.1 PSPTO0696 Q889Q3
WP_005769026.1 PSPTO0697 Q889Q2
WP_011103240.1 PSPTO0698 Q889Q1
WP_007245492.1 PSPTO0699 Q889Q0
WP_003379121.1 PSPTO0700 Q889P9
WP_011103241.1 PSPTO0701 Q889P8
WP_011103242.1 PSPTO0702 Q889P7
WP_005769036.1 PSPTO0703 Q889P6
WP_011103244.1 PSPTO0704 Q889P5
WP_007245496.1 PSPTO0705 Q889P4
WP_011103245.1 PSPTO0706 Q889P3
WP_005769042.1 PSPTO0707 Q889P2
WP_005769043.1 PSPTO0708 Q889P1
WP_005769045.1 PSPTO0709 Q889P0
WP_044391358.1 PSPTO0710 Q889N9
WP_011103247.1 PSPTO0711 Q889N8
WP_011103248.1 PSPTO0712 Q889N7
WP_005769052.1 PSPTO0713 Q889N6
WP_011103249.1 PSPTO0714 Q889N5
WP_011103250.1 PSPTO0715 Q889N4
WP_007245505.1 PSPTO0716 Q889N3
WP_011103251.1 PSPTO0717 Q889N2
WP_011103252.1 PSPTO0718 Q889N1
WP_010201210.1 PSPTO0719 Q889N0
WP_010201208.1 PSPTO0720 Q889M9
WP_005770134.1 PSPTO0721 Q889M8
WP_005614429.1 PSPTO0722 Q889M7
WP_011103253.1 PSPTO0723 Q889M6
WP_005770132.1 PSPTO0724 Q889M5
WP_024667238.1 PSPTO0725 Q889M4
WP_005770129.1 PSPTO0726 Q889M3
WP_011103255.1 PSPTO0727 Q889M2
WP_011103256.1 PSPTO0728 Q889M1
WP_005770120.1 PSPTO0729 Q889M0
WP_003379089.1 PSPTO0730 Q889L9
WP_005770118.1 PSPTO0731 Q889L8
WP_005770116.1 PSPTO0732 Q889L7
WP_005770114.1 PSPTO0733 Q889L6
WP_005770111.1 PSPTO0734 Q889L5
WP_005770109.1 PSPTO0735 Q889L4
WP_005770108.1 PSPTO0736 Q889L3
WP_011103257.1 PSPTO0737 Q889L2
WP_011103258.1 PSPTO0738 Q889L1
WP_011103259.1 PSPTO0739 Q889L0
WP_046463383.1 PSPTO0740 Q889K9
WP_005770099.1 PSPTO0741 Q889K8
WP_011103261.1 PSPTO0742 Q889K7
WP_011103262.1 PSPTO0743 Q889K6
WP_011103263.1 PSPTO0744 Q889K5
WP_005614458.1 PSPTO0745 Q889K4
WP_005770090.1 PSPTO0746 Q889K3
WP_046463386.1 PSPTO0747 Q889K2
WP_005770085.1 PSPTO0748 Q889K1
WP_005770083.1 PSPTO0749 Q889K0
WP_005770081.1 PSPTO0750 Q889J9
WP_005770079.1 PSPTO0751 Q889J8
WP_005770077.1 PSPTO0752 Q889J7
WP_005770075.1 PSPTO0753 Q889J6
WP_005770073.1 PSPTO0754 Q889J5
WP_011103267.1 PSPTO0755 Q889J4
WP_005770069.1 PSPTO0756 Q889J3
WP_005614495.1 PSPTO0757 Q889J2
WP_011103268.1 PSPTO0758 Q889J1
WP_005614499.1 PSPTO0759 Q889J0
WP_005770064.1 PSPTO0760 Q889I9
WP_011103269.1 PSPTO0761 Q889I8
WP_010202134.1 PSPTO0762 Q889I7
WP_007245539.1 PSPTO0763 Q889I6
WP_007245540.1 PSPTO0764 Q889I5
WP_011103270.1 PSPTO0765 Q889I4
WP_046463381.1 PSPTO0766 Q889I3
WP_005770049.1 PSPTO0767 Q889I2
WP_007245542.1 PSPTO0768 Q889I1
WP_011103272.1 PSPTO0769 Q889I0
WP_007245544.1 PSPTO0770 Q889H9
WP_005770041.1 PSPTO0771 Q889H8
WP_011103273.1 PSPTO0772 Q889H7
WP_007245546.1 PSPTO0773 Q889H6
WP_003383172.1 PSPTO0774 Q889H5
WP_011103274.1 PSPTO0775 Q889H4
WP_011103275.1 PSPTO0776 Q889H3
WP_011103276.1 PSPTO0777 Q889H2
WP_011103277.1 PSPTO0778 Q889H1
WP_044393960.1 PSPTO0779 Q889H0
WP_007247571.1 PSPTO0780 NA
WP_005769228.1 PSPTO0781 Q889G9
WP_011103279.1 PSPTO0782 Q889G8
WP_011103280.1 PSPTO0783 Q889G7
WP_011103281.1 PSPTO0784 Q889G6
WP_005769235.1 PSPTO0785 Q889G5
WP_005769238.1 PSPTO0786 Q889G4
WP_011103282.1 PSPTO0787 Q889G3
WP_005769243.1 PSPTO0788 Q889G2
WP_011103283.1 PSPTO0789 Q889G1
WP_011103284.1 PSPTO0790 Q889G0
WP_011103285.1 PSPTO0791 Q889F9
WP_011103287.1 PSPTO0793 Q889F7
WP_011103288.1 PSPTO0794 Q889F6
WP_011103289.1 PSPTO0795 Q889F5
WP_003381308.1 PSPTO0796 Q889F4
WP_003381306.1 PSPTO0797 Q889F3
WP_002551972.1 PSPTO0798 Q889F2
WP_005769256.1 PSPTO0799 Q889F1
WP_003381304.1 PSPTO0800 Q889F0
WP_005769257.1 PSPTO0801 Q889E9
WP_003344603.1 PSPTO0802 Q889E8
WP_005769258.1 PSPTO0804 Q889E6
WP_005769259.1 PSPTO0805 Q889E5
WP_011103291.1 PSPTO0806 Q889E4
WP_005769261.1 PSPTO0807 Q889E3
WP_003381292.1 PSPTO0808 Q889E2
WP_005769262.1 PSPTO0809 Q889E1
WP_005769263.1 PSPTO0810 Q889E0
WP_007246769.1 PSPTO0811 Q889D9
WP_011103292.1 PSPTO0812 Q889D8
WP_011103293.1 PSPTO0813 Q889D7
WP_011103294.1 PSPTO0814 Q889D6
WP_011103295.1 PSPTO0815 Q889D5
WP_011103296.1 PSPTO0816 Q889D4
WP_011103297.1 PSPTO0817 Q889D3
WP_005769271.1 PSPTO0818 Q889D2
WP_007246762.1 PSPTO0819 Q889D1
WP_011103298.1 PSPTO0820 Q889D0
WP_011103299.1 PSPTO0821 Q889C9
WP_011103300.1 PSPTO0822 Q889C8
WP_011103301.1 PSPTO0823 Q889C7
WP_005769277.1 PSPTO0824 Q889C6
WP_057403016.1 PSPTO0825 Q889C5
WP_005769279.1 PSPTO0826 Q889C4
WP_003381266.1 PSPTO0827 A0PCI4
WP_011103303.1 PSPTO0828 Q889C3
WP_005614629.1 PSPTO0829 Q889C2
WP_005769281.1 PSPTO0830 NA
WP_011103304.1 PSPTO0831 Q889C1
WP_005741073.1 PSPTO0832 NA
WP_002551322.1 PSPTO0833 NA
WP_005769283.1 PSPTO0834 Q889C0
WP_005769284.1 PSPTO0835 Q889B9
WP_005769285.1 PSPTO0836 Q889B8
WP_003319037.1 PSPTO0837 Q889B7
WP_005769287.1 PSPTO0838 Q889B6
WP_011103306.1 PSPTO0840 Q889B5
WP_264370965.1 PSPTO0841 NA
WP_003409203.1 PSPTO0842 NA
WP_007247571.1 PSPTO0844 NA
 partial;pseudo;PSPTO0846 NA
WP_011103307.1 PSPTO0847 Q889B4
WP_024648762.1 PSPTO0848 Q889B3
WP_011103309.1 PSPTO0849 Q889B2
WP_046463796.1 PSPTO0850 Q889B1
WP_011103311.1 PSPTO0851 Q889B0
WP_223810519.1 PSPTO0852 Q889A9
WP_011103314.1 PSPTO0853 Q889A8
WP_011103315.1 PSPTO0854 Q889A7
WP_003347743.1 PSPTO0855 Q889A6
WP_011103316.1 PSPTO0856 Q889A5
WP_011103317.1 PSPTO0857 Q889A4
WP_011103318.1 PSPTO0858 Q889A3
WP_005769291.1 PSPTO0859 Q889A2
WP_005740043.1 PSPTO0860 Q889A1
WP_005769292.1 PSPTO0861 Q889A0
WP_005769293.1 PSPTO0862 Q888Z9
WP_003319098.1 PSPTO0863 Q888Z8
WP_005741073.1 PSPTO0864 NA
WP_002551322.1 PSPTO0865 NA
WP_011103320.1 PSPTO0866 Q888Z7
WP_005769295.1 PSPTO0867 Q888Z6
WP_011103322.1 PSPTO0869 Q888Z4
WP_005769298.1 PSPTO0871 Q888Z2
WP_005614684.1 PSPTO0873 Q888Z1
WP_005769301.1 PSPTO0874 Q888Z0
WP_005769303.1 PSPTO0875 Q888Y9
WP_011103324.1 PSPTO0876 Q888Y8
WP_005769931.1 PSPTO0877 Q888Y7
WP_007247692.1 PSPTO0878 Q888Y6
WP_005769933.1 PSPTO0879 Q888Y5
WP_007251563.1 PSPTO0880 Q888Y4
 partial;pseudo;PSPTO0881 NA
WP_005769947.1 PSPTO0882 Q888Y2
WP_046463803.1 PSPTO0883 Q888Y1
WP_011103329.1 PSPTO0884 Q888Y0
WP_046463798.1 PSPTO0885 Q888X9
WP_011103331.1 PSPTO0886 Q888X8
WP_007246155.1 PSPTO0887 Q888X7
WP_005769959.1 PSPTO0888 Q888X6
WP_011103332.1 PSPTO0889 Q888X5
WP_032639929.1 PSPTO0890 Q888X4
WP_005769963.1 PSPTO0891 Q888X3
WP_046463799.1 PSPTO0892 Q888X2
WP_011103336.1 PSPTO0893 Q888X1
WP_005769982.1 PSPTO0894 Q888X0
WP_011103337.1 PSPTO0895 Q888W9
WP_161797801.1 PSPTO0896 Q888W8
WP_005769977.1 PSPTO0897 Q888W7
WP_011103339.1 PSPTO0898 Q888W6
 partial;pseudo;PSPTO0899 NA
 partial;pseudo;PSPTO0901 NA
WP_007247571.1 PSPTO0902 NA
WP_007247571.1 PSPTO0903 NA
WP_226992680.1 PSPTO0904 NA
WP_255302329.1 PSPTO0905 Q888W1
WP_005769991.1 PSPTO0906 Q888W0
WP_011103344.1 PSPTO0907 Q888V9
WP_005769995.1 PSPTO0908 Q888V8
WP_005769998.1 PSPTO0909 Q888V7
WP_005770000.1 PSPTO0910 Q888V6
WP_003381223.1 PSPTO0911 Q888V5
WP_005770005.1 PSPTO0912 Q888V4
WP_011103345.1 PSPTO0913 Q888V3
WP_005770009.1 PSPTO0914 Q888V2
WP_004880039.1 PSPTO0915 Q888V1
WP_005770011.1 PSPTO0916 Q888V0
WP_005614782.1 PSPTO0917 Q888U9
WP_005770014.1 PSPTO0919 Q888U7
WP_003381213.1 PSPTO0920 Q888U6
WP_003381207.1 PSPTO0922 Q888U4
WP_005770017.1 PSPTO0923 Q888U3
WP_005770019.1 PSPTO0924 Q888U2
WP_011103349.1 PSPTO0925 Q888U1
WP_011103350.1 PSPTO0926 Q888U0
WP_011103351.1 PSPTO0927 Q888T9
WP_011103352.1 PSPTO0928 Q888T8
WP_011103353.1 PSPTO0929 Q888T7
WP_010208432.1 PSPTO0930 Q888T6
WP_011103354.1 PSPTO0931 Q888T5
WP_003383227.1 PSPTO0932 Q888T4
WP_005770572.1 PSPTO0933 Q888T3
WP_007246125.1 PSPTO0934 Q888T2
WP_011103355.1 PSPTO0935 Q888T1
WP_005770566.1 PSPTO0936 Q888T0
WP_011103356.1 PSPTO0937 Q888S9
WP_005770562.1 PSPTO0938 Q888S8
WP_024668366.1 PSPTO0939 Q888S7
WP_005770558.1 PSPTO0940 Q888S6
WP_011103358.1 PSPTO0941 Q888S5
WP_005614818.1 PSPTO0942 Q888S4
WP_003383242.1 PSPTO0943 Q888S3
WP_003383243.1 PSPTO0944 Q888S2
WP_003383244.1 PSPTO0945 Q888S1
WP_011103359.1 PSPTO0946 Q888S0
WP_005770547.1 PSPTO0947 Q888R9
WP_005770545.1 PSPTO0948 Q888R8
WP_011103361.1 PSPTO0949 Q888R7
WP_011103362.1 PSPTO0950 Q888R6
WP_011103363.1 PSPTO0951 Q888R5
WP_046463568.1 PSPTO0952 Q888R4
WP_007246111.1 PSPTO0953 Q888R3
WP_011103365.1 PSPTO0954 Q888R2
WP_007246110.1 PSPTO0955 Q888R1
WP_011103366.1 PSPTO0956 Q888R0
WP_011103367.1 PSPTO0957 Q888Q9
WP_011103368.1 PSPTO0958 Q888Q8
WP_011103369.1 PSPTO0959 Q888Q7
WP_007246105.1 PSPTO0960 Q888Q6
WP_005770519.1 PSPTO0961 Q888Q5
WP_011103370.1 PSPTO0962 Q888Q4
WP_003382274.1 PSPTO0963 Q888Q3
WP_011103371.1 PSPTO0964 Q888Q2
WP_017684227.1 PSPTO0965 Q888Q1
WP_002552060.1 PSPTO0966 Q888Q0
WP_007246099.1 PSPTO0967 Q888P9
WP_003408269.1 PSPTO0968 NA
WP_005614892.1 PSPTO0969 Q888P8
WP_005770507.1 PSPTO0970 Q888P7
WP_011103372.1 PSPTO0971 Q888P6
WP_007246097.1 PSPTO0972 Q888P5
WP_011103373.1 PSPTO0973 Q888P4
WP_007246096.1 PSPTO0975 Q888P2
WP_011103375.1 PSPTO0976 Q888P1
WP_005614914.1 PSPTO0977 Q888P0
WP_010201647.1 PSPTO0978 Q888N9
WP_005770497.1 PSPTO0979 Q888N8
WP_005770496.1 PSPTO0980 Q888N7
WP_007246092.1 PSPTO0981 Q888N6
WP_002552075.1 PSPTO0982 Q888N5
WP_005614924.1 PSPTO0983 Q888N4
WP_005770492.1 PSPTO0984 Q888N3
WP_005770490.1 PSPTO0985 Q888N2
WP_010201804.1 PSPTO0986 Q888N1
WP_226992681.1 PSPTO0987 Q888N0
WP_011103377.1 PSPTO0988 Q888M9
WP_003380289.1 PSPTO0989 Q888M8
WP_011103378.1 PSPTO0990 Q888M7
WP_005771509.1 PSPTO0991 Q888M6
WP_003380294.1 PSPTO0992 Q888M5
WP_005771507.1 PSPTO0993 Q888M4
WP_003380298.1 PSPTO0994 Q888M3
WP_005771505.1 PSPTO0995 Q888M2
WP_011103380.1 PSPTO0996 Q888M1
WP_011103381.1 PSPTO0997 Q888M0
WP_032606961.1 PSPTO0998 Q888L9
WP_005771500.1 PSPTO0999 Q888L8
WP_003380309.1 PSPTO1000 Q888L7
WP_011103382.1 PSPTO1001 Q888L6
 pseudo;PSPTO1002 NA
WP_005771495.1 PSPTO1003 Q888L5
WP_010204046.1 PSPTO1004 Q888L4
WP_005771491.1 PSPTO1005 Q888L3
WP_005771489.1 PSPTO1007 Q888L1
WP_044393047.1 PSPTO1008 Q888L0
WP_005771485.1 PSPTO1009 Q888K9
WP_005771483.1 PSPTO1010 Q888K8
WP_005771481.1 PSPTO1011 Q888K7
WP_003380333.1 PSPTO1012 Q888K6
WP_005771480.1 PSPTO1013 Q888K5
WP_005771478.1 PSPTO1014 Q888K4
WP_011103385.1 PSPTO1015 Q888K3
WP_011103386.1 PSPTO1016 Q888K2
WP_003409203.1 PSPTO1017 NA
WP_159229438.1 PSPTO1018 NA
WP_003409203.1 PSPTO1019 NA
WP_003409202.1 PSPTO1020 NA
WP_226992682.1 PSPTO1021 NA
WP_005770909.1 PSPTO1022 Q877R9
WP_032710981.1 PSPTO1023 Q888K1
WP_011103387.1 PSPTO1024 Q888K0
WP_005770915.1 PSPTO1025 Q888J9
WP_011103389.1 PSPTO1026 Q888J8
WP_005770918.1 PSPTO1027 Q888J7
WP_005770921.1 PSPTO1028 Q888J6
WP_005770923.1 PSPTO1029 Q888J5
WP_046463740.1 PSPTO1030 Q888J4
WP_002556137.1 PSPTO1031 Q888J3
WP_005770931.1 PSPTO1032 Q888J2
WP_005770932.1 PSPTO1033 Q888J1
WP_005770934.1 PSPTO1034 Q888J0
 pseudo;PSPTO1035 NA
WP_005770938.1 PSPTO1037 Q888I7
WP_003380356.1 PSPTO1038 Q888I6
WP_005770940.1 PSPTO1039 Q888I5
WP_002556144.1 PSPTO1040 Q888I4
WP_011103393.1 PSPTO1041 Q888I3
WP_005770944.1 PSPTO1042 Q888I2
WP_005615033.1 PSPTO1043 Q888I1
WP_005770950.1 PSPTO1045 Q888H9
WP_003380366.1 PSPTO1046 Q888H8
WP_011103395.1 PSPTO1047 Q888H7
WP_011103396.1 PSPTO1048 Q888H6
WP_011103397.1 PSPTO1049 Q888H5
WP_005770954.1 PSPTO1050 Q888H4
WP_005770956.1 PSPTO1051 Q888H3
WP_011103398.1 PSPTO1052 Q888H2
WP_011103399.1 PSPTO1053 Q888H1
WP_007244158.1 PSPTO1054 Q888H0
WP_005770966.1 PSPTO1056 Q888G8
WP_005770968.1 PSPTO1057 Q888G7
WP_005770970.1 PSPTO1058 Q888G6
WP_046463739.1 PSPTO1059 Q888G5
WP_011103402.1 PSPTO1061 Q888G3
WP_011103403.1 PSPTO1062 Q888G2
 partial;pseudo;PSPTO1064 NA
WP_011103404.1 PSPTO1065 Q888G1
WP_011103405.1 PSPTO1066 Q888G0
WP_011103406.1 PSPTO1067 Q888F9
WP_011103407.1 PSPTO1068 Q888F8
WP_005771389.1 PSPTO1069 Q888F7
WP_275014312.1 PSPTO1070 Q888F6
WP_005771391.1 PSPTO1071 Q888F5
WP_005771392.1 PSPTO1072 Q888F4
WP_057443114.1 PSPTO1073 Q888F3
WP_011103411.1 PSPTO1074 Q888F2
WP_011103412.1 PSPTO1075 Q888F1
WP_007244130.1 PSPTO1076 Q888F0
WP_005771397.1 PSPTO1077 Q888E9
WP_007244127.1 PSPTO1078 Q888E8
WP_011103413.1 PSPTO1079 Q888E7
WP_005771401.1 PSPTO1080 Q888E6
WP_005771402.1 PSPTO1081 Q888E5
WP_011103414.1 PSPTO1082 Q888E4
 partial;pseudo;PSPTO1083 NA
WP_057443118.1 PSPTO1084 Q888E2
WP_011103417.1 PSPTO1085 Q888E1
WP_011103418.1 PSPTO1086 Q888E0
WP_011103419.1 PSPTO1087 Q888D9
WP_011103420.1 PSPTO1088 Q888D8
WP_011103421.1 PSPTO1089 Q888D7
WP_011103422.1 PSPTO1090 Q888D6
WP_057443119.1 PSPTO1091 Q888D5
WP_011103424.1 PSPTO1092 Q888D4
WP_011103425.1 PSPTO1093 Q888D3
WP_011103426.1 PSPTO1094 Q888D2
WP_002551322.1 PSPTO1095 NA
WP_005741073.1 PSPTO1096 NA
WP_235023105.1 PSPTO1097 Q888D1
WP_003409202.1 PSPTO1098 NA
WP_003409203.1 PSPTO1099 NA
WP_005615166.1 PSPTO1100 Q888D0
WP_005768873.1 PSPTO1101 Q888C9
WP_011103428.1 PSPTO1102 Q888C8
WP_005768871.1 PSPTO1103 Q888C7
WP_002552145.1 PSPTO1104 Q888C6
WP_005768868.1 PSPTO1105 Q888C5
WP_005768866.1 PSPTO1106 Q888C4
WP_011103429.1 PSPTO1107 Q888C3
WP_005615192.1 PSPTO1108 Q888C2
WP_011103430.1 PSPTO1109 Q888C1
WP_011103431.1 PSPTO1110 Q888C0
WP_161797790.1 PSPTO1111 Q888B9
WP_005768855.1 PSPTO1112 Q888B8
WP_032621386.1 PSPTO1114 Q888B6
WP_011103433.1 PSPTO1115 Q888B5
WP_011103434.1 PSPTO1116 Q888B4
WP_005768843.1 PSPTO1117 Q888B3
WP_005768840.1 PSPTO1118 Q888B2
WP_005768839.1 PSPTO1119 Q888B1
WP_005736559.1 PSPTO1120 Q888B0
WP_005768836.1 PSPTO1121 Q888A9
WP_005768834.1 PSPTO1122 Q888A8
WP_005768832.1 PSPTO1123 Q888A7
WP_005768830.1 PSPTO1125 Q888A5
WP_005768828.1 PSPTO1126 Q888A4
WP_011103436.1 PSPTO1127 Q888A3
WP_005768824.1 PSPTO1128 Q888A2
WP_005768822.1 PSPTO1129 Q888A1
WP_005736551.1 PSPTO1130 Q888A0
WP_005768820.1 PSPTO1131 Q887Z9
WP_005768818.1 PSPTO1132 Q887Z8
WP_005768815.1 PSPTO1133 Q887Z7
WP_007244110.1 PSPTO1134 Q887Z6
WP_005768811.1 PSPTO1135 Q887Z5
WP_005768808.1 PSPTO1136 Q887Z4
WP_005768806.1 PSPTO1138 Q887Z2
WP_003379241.1 PSPTO1139 Q887Z1
WP_005768804.1 PSPTO1140 Q887Z0
WP_003318204.1 PSPTO1141 Q887Y9
WP_011103440.1 PSPTO1142 Q887Y8
WP_005736538.1 PSPTO1143 Q887Y7
WP_007244107.1 PSPTO1144 Q887Y6
WP_005768799.1 PSPTO1145 Q887Y5
WP_005768797.1 PSPTO1146 Q887Y4
WP_005768796.1 PSPTO1147 Q887Y3
WP_005768794.1 PSPTO1148 Q887Y2
WP_011103441.1 PSPTO1149 Q887Y1
WP_046463642.1 PSPTO1150 Q887Y0
WP_011103443.1 PSPTO1151 Q887X9
WP_007244100.1 PSPTO1152 Q887X8
WP_011103444.1 PSPTO1153 Q887X7
WP_011103445.1 PSPTO1154 Q887X6
WP_002552194.1 PSPTO1155 Q887X5
WP_011103446.1 PSPTO1156 Q887X4
WP_003379266.1 PSPTO1157 Q887X3
WP_007244096.1 PSPTO1158 Q887X2
WP_011103449.1 PSPTO1159 Q887X1
WP_011103450.1 PSPTO1160 Q887X0
 pseudo;PSPTO1162 NA
 pseudo;PSPTO1163 NA
WP_003379278.1 PSPTO1164 Q887W8
WP_011103452.1 PSPTO1165 Q887W7
WP_007247571.1 PSPTO1166 NA
WP_046463433.1 PSPTO1167 Q887W6
WP_011103454.1 PSPTO1168 Q887W5
WP_007244090.1 PSPTO1169 Q887W4
WP_007244089.1 PSPTO1170 Q887W3
WP_005736521.1 PSPTO1171 Q887W2
WP_007244088.1 PSPTO1172 Q887W1
WP_011103456.1 PSPTO1173 Q887W0
WP_005768762.1 PSPTO1174 Q887V9
WP_005768758.1 PSPTO1175 Q887V8
WP_011103457.1 PSPTO1176 Q887V7
WP_007244082.1 PSPTO1177 Q887V6
WP_005736511.1 PSPTO1178 Q887V5
WP_005768752.1 PSPTO1179 Q887V4
WP_005768750.1 PSPTO1180 Q887V3
WP_003379302.1 PSPTO1181 Q887V2
WP_005768747.1 PSPTO1182 Q887V1
WP_005768743.1 PSPTO1183 Q887V0
WP_005768741.1 PSPTO1184 Q887U9
WP_011103458.1 PSPTO1185 Q887U8
WP_005768738.1 PSPTO1186 Q887U7
WP_011103459.1 PSPTO1187 Q887U6
WP_007247571.1 PSPTO1188 NA
WP_003409202.1 PSPTO1189 NA
WP_003409203.1 PSPTO1190 NA
WP_005768735.1 PSPTO1191 Q887U5
WP_005764231.1 PSPTO1192 Q887U4
WP_005764229.1 PSPTO1193 Q887U3
WP_005764227.1 PSPTO1194 Q887U2
WP_046463403.1 PSPTO1195 Q887U1
WP_007244073.1 PSPTO1196 Q887U0
WP_005764221.1 PSPTO1197 Q887T9
WP_011103464.1 PSPTO1200 Q887T6
WP_007244070.1 PSPTO1201 Q887T5
WP_005764206.1 PSPTO1202 Q887T4
WP_011103465.1 PSPTO1203 Q887T3
WP_011103466.1 PSPTO1204 Q887T2
WP_005764200.1 PSPTO1205 Q887T1
WP_011103467.1 PSPTO1206 Q887T0
WP_011103468.1 PSPTO1207 Q887S9
WP_005764194.1 PSPTO1208 Q887S8
WP_010205787.1 PSPTO1209 Q887S7
WP_007244063.1 PSPTO1210 Q887S6
WP_046463402.1 PSPTO1211 Q887S5
WP_011103471.1 PSPTO1212 Q887S4
WP_005764184.1 PSPTO1213 Q887S3
WP_007244060.1 PSPTO1214 Q887S2
WP_011103472.1 PSPTO1215 Q887S1
WP_005615366.1 PSPTO1216 Q887S0
WP_005764177.1 PSPTO1217 Q887R9
 pseudo;PSPTO1218 NA
WP_003365425.1 PSPTO1219 Q887R7
WP_011103474.1 PSPTO1220 Q887R6
WP_011103475.1 PSPTO1221 Q887R5
 partial;pseudo;PSPTO1222 NA
WP_011103477.1 PSPTO1223 Q887R3
WP_005764169.1 PSPTO1224 Q887R2
 partial;pseudo;PSPTO1225 NA
WP_003409203.1 PSPTO1226 NA
WP_003409202.1 PSPTO1227 NA
WP_007247571.1 PSPTO1229 NA
WP_011103478.1 PSPTO1230 NA
WP_011103479.1 PSPTO1231 Q887R0
WP_007244046.1 PSPTO1232 Q887Q9
WP_003376052.1 PSPTO1233 Q887Q8
WP_011103480.1 PSPTO1234 Q887Q7
WP_005764153.1 PSPTO1235 Q887Q6
WP_011103481.1 PSPTO1236 Q887Q5
WP_011103482.1 PSPTO1237 Q887Q4
WP_011103483.1 PSPTO1238 Q887Q3
WP_005615404.1 PSPTO1239 Q887Q2
WP_003376036.1 PSPTO1240 Q887Q1
WP_005764144.1 PSPTO1241 Q887Q0
WP_172679527.1 PSPTO1242 Q887P9
WP_005764140.1 PSPTO1243 Q887P8
WP_005764136.1 PSPTO1244 Q887P7
WP_046463297.1 PSPTO1245 Q887P6
WP_003376021.1 PSPTO1246 Q887P5
WP_005764132.1 PSPTO1247 Q887P4
WP_005764130.1 PSPTO1248 Q887P3
WP_005736458.1 PSPTO1249 Q887P2
WP_161797762.1 PSPTO1250 Q887P1
WP_005764124.1 PSPTO1251 Q887P0
WP_011103486.1 PSPTO1252 Q887N9
WP_046463295.1 PSPTO1253 Q887N8
WP_007244032.1 PSPTO1254 Q887N7
WP_005764116.1 PSPTO1255 Q887N6
WP_011103488.1 PSPTO1256 Q887N5
WP_005764114.1 PSPTO1257 Q887N4
WP_011103489.1 PSPTO1258 Q887N3
WP_005764112.1 PSPTO1260 Q887N1
WP_005764110.1 PSPTO1261 Q887N0
WP_005764108.1 PSPTO1262 Q887M9
WP_005764106.1 PSPTO1263 Q887M8
WP_005764101.1 PSPTO1265 Q887M6
WP_002552279.1 PSPTO1266 Q887M5
WP_032621684.1 PSPTO1267 Q887M4
WP_011103493.1 PSPTO1268 Q887M3
WP_005764094.1 PSPTO1269 Q887M2
WP_005764092.1 PSPTO1270 Q887M1
