qseqid,sseqid,pident,alen,qlen,slen,evalue,bits,cov_q,cov_s
WP_005764266.1,DAKCFMEO_03938,93.4,290,290,290,3.7e-160,558.5,1,1
WP_005764268.1,DAKCFMEO_03937,95.1,324,324,324,5.2e-179,621.3,1,1
WP_005764287.1,DAKCFMEO_02449,30.6,206,302,301,2.1e-12,67.8,0.682119,0.684385
WP_005764289.1,DAKCFMEO_03635,31.8,151,145,152,4.5e-13,68.9,1.04138,0.993421
WP_005764297.1,DAKCFMEO_03937,37.9,311,323,324,4.3e-48,186.4,0.962848,0.959877
WP_005764318.1,DAKCFMEO_03930,92.6,297,299,300,1.1e-154,540.4,0.993311,0.99
WP_005764318.1,DAKCFMEO_02111,34.9,289,299,294,1.2e-36,148.3,0.966555,0.982993
WP_005764318.1,DAKCFMEO_02438,32.5,246,299,296,7.0e-29,122.5,0.822742,0.831081
WP_005764318.1,DAKCFMEO_04571,30.2,295,299,316,8.9e-24,105.5,0.986622,0.933544
WP_005764318.1,DAKCFMEO_04733,31.0,242,299,297,3.6e-17,83.6,0.809365,0.814815
WP_005764318.1,DAKCFMEO_01572,30.2,255,299,301,2.3e-16,80.9,0.852843,0.847176
WP_005764319.1,DAKCFMEO_03929,74.8,230,230,227,5.1e-88,318.5,1,1.01322
WP_005764325.1,DAKCFMEO_03923,90.6,351,354,354,2.9e-199,688.7,0.991525,0.991525
WP_005764330.1,DAKCFMEO_03920,96.7,182,182,182,2.1e-100,359.4,1,1
WP_005764330.1,DAKCFMEO_01866,50.3,183,182,182,2.1e-44,173.3,1.00549,1.00549
WP_005764344.1,DAKCFMEO_03906,89.1,339,339,339,5.5e-139,488.4,1,1
WP_005764391.1,DAKCFMEO_04173,92.6,394,395,432,1.3e-216,746.5,0.997468,0.912037
WP_005764393.1,DAKCFMEO_04174,88.8,437,438,438,3.2e-240,825.1,0.997717,0.997717
WP_005764395.1,DAKCFMEO_04175,93.1,333,333,333,1.3e-172,600.1,1,1
WP_005764395.1,DAKCFMEO_03813,30.6,248,333,336,7.6e-16,79.3,0.744745,0.738095
WP_005764399.1,DAKCFMEO_04177,93.1,378,378,378,4.2e-196,678.3,1,1
WP_005764399.1,DAKCFMEO_03814,35.5,358,378,325,1.0e-40,162.2,0.94709,1.10154
WP_005764399.1,DAKCFMEO_04703,30.3,379,378,341,8.3e-35,142.5,1.00265,1.11144
WP_005764399.1,DAKCFMEO_03848,33.0,358,378,331,5.9e-33,136.3,0.94709,1.08157
WP_005764409.1,DAKCFMEO_00899,39.5,820,816,800,1.9e-132,468.0,1.0049,1.025
WP_005764417.1,DAKCFMEO_03903,69.7,307,307,306,3.8e-131,462.2,1,1.00327
WP_005764418.1,DAKCFMEO_03904,83.0,389,389,389,2.9e-200,692.2,1,1
WP_005764420.1,DAKCFMEO_03901,81.3,289,289,289,3.7e-128,452.2,1,1
WP_005764422.1,DAKCFMEO_03900,73.9,291,291,291,5.8e-121,428.3,1,1
WP_005764422.1,DAKCFMEO_02415,31.1,286,291,306,2.3e-29,124.0,0.982818,0.934641
WP_005764422.1,DAKCFMEO_04116,32.2,289,291,319,3.1e-29,123.6,0.993127,0.905956
WP_005764422.1,DAKCFMEO_02366,30.7,280,291,302,1.9e-23,104.4,0.962199,0.927152
WP_005764422.1,DAKCFMEO_04017,30.5,285,291,298,2.5e-23,104.0,0.979381,0.956376
WP_005764422.1,DAKCFMEO_00066,30.3,294,291,297,2.4e-21,97.4,1.01031,0.989899
WP_005764425.1,DAKCFMEO_04020,96.9,607,607,607,0.0e+00,1169.5,1,1
WP_005764441.1,DAKCFMEO_04029,95.0,340,340,341,8.4e-188,650.6,1,0.997067
WP_005764441.1,DAKCFMEO_02035,74.4,340,340,340,1.1e-147,517.3,1,1
WP_005764441.1,DAKCFMEO_04357,70.2,336,340,339,3.2e-139,489.2,0.988235,0.99115
WP_005764441.1,DAKCFMEO_00932,32.6,230,340,301,5.0e-31,129.8,0.676471,0.76412
WP_005764441.1,DAKCFMEO_03803,31.9,232,340,306,1.8e-28,121.3,0.682353,0.75817
WP_005764441.1,DAKCFMEO_02011,30.8,214,340,287,9.5e-14,72.4,0.629412,0.745645
WP_005764454.1,DAKCFMEO_04039,77.8,500,500,500,2.2e-232,799.3,1,1
WP_005764458.1,DAKCFMEO_04042,97.7,304,304,304,4.3e-167,581.6,1,1
WP_005764458.1,DAKCFMEO_01341,64.8,301,304,308,1.1e-106,380.9,0.990132,0.977273
WP_005764458.1,DAKCFMEO_01407,58.7,300,304,309,1.3e-99,357.5,0.986842,0.970874
WP_005764458.1,DAKCFMEO_01238,32.1,293,304,307,3.5e-36,146.7,0.963816,0.954397
WP_005764458.1,DAKCFMEO_03726,30.7,300,304,311,9.0e-32,132.1,0.986842,0.96463
WP_005764492.1,DAKCFMEO_04013,88.9,262,262,262,1.1e-134,473.8,1,1
WP_005764495.1,DAKCFMEO_04014,85.7,308,308,308,2.4e-149,522.7,1,1
WP_005764495.1,DAKCFMEO_04701,54.2,299,308,309,2.0e-87,317.0,0.970779,0.967638
WP_005764495.1,DAKCFMEO_00908,39.5,301,308,306,5.3e-56,212.6,0.977273,0.98366
WP_005764495.1,DAKCFMEO_03813,34.8,282,308,336,4.5e-39,156.4,0.915584,0.839286
WP_005764495.1,DAKCFMEO_03847,30.9,298,308,310,2.7e-36,147.1,0.967532,0.96129
WP_005764495.1,DAKCFMEO_00800,30.5,243,308,319,1.0e-22,102.1,0.788961,0.761755
WP_005764499.1,DAKCFMEO_01006,40.8,142,177,178,1.4e-29,124.0,0.80226,0.797753
WP_005764509.1,DAKCFMEO_00998,37.7,332,344,337,5.0e-55,209.5,0.965116,0.985163
WP_005764509.1,DAKCFMEO_04967,32.3,316,344,367,2.1e-40,161.0,0.918605,0.861035
WP_005764509.1,DAKCFMEO_04512,37.6,213,344,329,8.6e-31,129.0,0.619186,0.647416
WP_005764515.1,DAKCFMEO_02091,45.3,278,321,283,2.0e-58,220.7,0.866044,0.982332
WP_005764515.1,DAKCFMEO_04969,40.9,264,321,281,3.5e-50,193.4,0.82243,0.939502
WP_005764523.1,DAKCFMEO_03956,86.8,493,493,493,6.2e-248,850.9,1,1
WP_005764523.1,DAKCFMEO_03949,39.1,460,493,482,3.9e-77,283.5,0.933063,0.954357
WP_005764523.1,DAKCFMEO_02079,32.2,485,493,480,1.4e-61,231.9,0.983773,1.01042
WP_005764523.1,DAKCFMEO_01118,33.2,461,493,476,3.0e-61,230.7,0.935091,0.968487
WP_005764523.1,DAKCFMEO_01112,32.8,463,493,493,7.4e-60,226.1,0.939148,0.939148
WP_005764523.1,DAKCFMEO_03877,32.6,454,493,475,4.1e-58,220.3,0.920892,0.955789
WP_005764523.1,DAKCFMEO_04535,33.7,457,493,488,5.3e-58,219.9,0.926978,0.936475
WP_005764523.1,DAKCFMEO_02453,32.6,473,493,505,7.7e-57,216.1,0.959432,0.936634
WP_005764523.1,DAKCFMEO_04973,30.9,457,493,490,4.7e-54,206.8,0.926978,0.932653
WP_005764523.1,DAKCFMEO_02017,30.7,460,493,485,5.7e-52,199.9,0.933063,0.948454
WP_005764523.1,DAKCFMEO_01098,30.3,435,493,463,6.3e-51,196.4,0.882353,0.939525
WP_005764523.1,DAKCFMEO_04695,30.0,434,493,500,9.4e-47,182.6,0.880325,0.868
WP_005764523.1,DAKCFMEO_01855,30.5,489,493,497,2.6e-44,174.5,0.991886,0.983903
WP_005764523.1,DAKCFMEO_00600,31.8,415,493,508,1.3e-43,172.2,0.841785,0.816929
WP_005764523.1,DAKCFMEO_04516,30.4,470,493,488,1.9e-39,158.3,0.953347,0.963115
WP_005764523.1,DAKCFMEO_05040,31.9,389,493,475,1.2e-36,149.1,0.789047,0.818947
WP_005764534.1,DAKCFMEO_03961,91.5,201,201,201,8.1e-106,377.5,1,1
WP_005764536.1,DAKCFMEO_03962,96.2,316,317,317,5.1e-179,621.3,0.996845,0.996845
WP_005764536.1,DAKCFMEO_00839,38.1,270,317,336,2.6e-50,193.7,0.851735,0.803571
WP_005764536.1,DAKCFMEO_02361,32.9,313,317,316,3.8e-49,189.9,0.987382,0.990506
WP_005764536.1,DAKCFMEO_02422,32.9,246,317,320,3.1e-35,143.7,0.776025,0.76875
WP_005764543.1,DAKCFMEO_03965,95.3,214,214,214,5.8e-110,391.3,1,1
WP_005764543.1,DAKCFMEO_03397,34.0,200,214,209,6.2e-19,89.0,0.934579,0.956938
WP_005764558.1,DAKCFMEO_03972,87.7,130,130,130,4.4e-68,251.5,1,1
WP_005764591.1,DAKCFMEO_00606,91.0,210,212,215,2.9e-109,389.0,0.990566,0.976744
WP_005764591.1,DAKCFMEO_03388,32.1,209,212,246,1.2e-22,101.3,0.985849,0.849593
WP_005764591.1,DAKCFMEO_01769,35.1,185,212,228,1.5e-20,94.4,0.872642,0.811404
WP_005764591.1,DAKCFMEO_01771,30.9,175,212,225,1.4e-15,77.8,0.825472,0.777778
WP_005764602.1,DAKCFMEO_03996,89.5,390,404,400,1.6e-193,669.8,0.965347,0.975
WP_005764602.1,DAKCFMEO_05134,49.0,386,404,401,2.2e-102,367.1,0.955446,0.962594
WP_005764602.1,DAKCFMEO_05133,47.3,391,404,421,1.8e-99,357.5,0.967822,0.928741
WP_005764620.1,DAKCFMEO_04006,81.4,515,522,518,4.1e-234,805.1,0.98659,0.994208
WP_005764620.1,DAKCFMEO_01052,41.0,490,522,507,6.2e-97,349.4,0.938697,0.966469
WP_005764620.1,DAKCFMEO_04702,34.9,498,522,525,7.6e-87,315.8,0.954023,0.948571
WP_005764620.1,DAKCFMEO_04176,35.7,502,522,518,9.2e-85,308.9,0.961686,0.969112
WP_005764620.1,DAKCFMEO_00801,36.7,491,522,517,1.1e-82,302.0,0.940613,0.94971
WP_005764620.1,DAKCFMEO_03846,36.2,481,522,503,1.9e-82,301.2,0.921456,0.956262
WP_005764620.1,DAKCFMEO_03815,33.7,490,522,495,7.8e-76,279.3,0.938697,0.989899
WP_005764620.1,DAKCFMEO_03383,30.7,488,522,504,3.2e-61,230.7,0.934866,0.968254
WP_005764620.1,DAKCFMEO_01770,30.9,512,522,511,4.3e-58,220.3,0.980843,1.00196
WP_005764624.1,DAKCFMEO_04008,70.5,542,542,542,2.5e-178,619.8,1,1
WP_005764624.1,DAKCFMEO_01420,37.5,542,542,541,5.6e-77,283.1,1,1.00185
WP_005764624.1,DAKCFMEO_04608,37.4,543,542,543,1.1e-75,278.9,1.00185,1
WP_005764624.1,DAKCFMEO_04966,39.2,543,542,541,3.4e-74,273.9,1.00185,1.0037
WP_005764624.1,DAKCFMEO_03476,38.6,542,542,557,1.1e-69,258.8,1,0.97307
WP_005764624.1,DAKCFMEO_01787,34.9,493,542,541,3.9e-54,207.2,0.909594,0.911275
WP_005764624.1,DAKCFMEO_04453,30.7,538,542,539,5.1e-46,180.3,0.99262,0.998145
WP_005764624.1,DAKCFMEO_03469,30.0,540,542,546,7.2e-40,159.8,0.99631,0.989011
WP_005764626.1,DAKCFMEO_04009,74.3,136,142,142,1.5e-53,203.4,0.957746,0.957746
WP_005764689.1,DAKCFMEO_00886,66.4,140,146,146,7.1e-51,194.5,0.958904,0.958904
WP_005764714.1,DAKCFMEO_00250,83.0,230,230,230,1.1e-111,397.1,1,1
WP_005764714.1,DAKCFMEO_04803,31.9,188,230,210,1.4e-13,71.2,0.817391,0.895238
WP_005764716.1,DAKCFMEO_00249,80.0,55,77,73,4.6e-25,107.8,0.714286,0.753425
WP_005764727.1,DAKCFMEO_00245,93.2,205,205,207,3.7e-114,405.2,1,0.990338
WP_005764729.1,DAKCFMEO_00244,95.0,241,241,241,4.5e-135,474.9,1,1
WP_005764735.1,DAKCFMEO_00242,95.6,271,271,271,9.8e-139,487.3,1,1
WP_005764735.1,DAKCFMEO_05196,39.2,199,271,276,2.2e-29,124.0,0.734317,0.721014
WP_005764735.1,DAKCFMEO_03773,35.9,195,271,281,4.3e-17,83.2,0.719557,0.69395
WP_005764735.1,DAKCFMEO_02374,33.0,188,271,284,2.3e-15,77.4,0.693727,0.661972
WP_005764738.1,DAKCFMEO_00241,92.0,352,355,357,1.4e-185,643.3,0.991549,0.985994
WP_005764742.1,DAKCFMEO_00237,93.6,344,344,344,2.6e-184,639.0,1,1
WP_005764744.1,DAKCFMEO_00235,90.1,152,152,152,1.8e-73,269.6,1,1
WP_005764747.1,DAKCFMEO_00234,94.5,325,325,325,1.4e-179,623.2,1,1
WP_005764752.1,DAKCFMEO_00231,89.0,273,273,273,7.6e-139,487.6,1,1
WP_005764756.1,DAKCFMEO_00227,95.4,538,538,538,1.5e-308,1052.4,1,1
WP_005764756.1,DAKCFMEO_00645,32.7,550,538,590,1.0e-62,235.7,1.0223,0.932203
WP_005764762.1,DAKCFMEO_00224,76.2,319,318,318,2.4e-136,479.6,1.00314,1.00314
WP_005764764.1,DAKCFMEO_00223,94.4,479,479,477,3.5e-256,878.2,1,1.00419
WP_005764764.1,DAKCFMEO_00427,45.1,339,479,386,9.4e-76,278.9,0.707724,0.878238
WP_005764765.1,DAKCFMEO_00222,98.3,598,598,598,0.0e+00,1156.4,1,1
WP_005764769.1,DAKCFMEO_00216,96.7,246,246,246,4.4e-130,458.4,1,1
WP_005764771.1,DAKCFMEO_00215,95.6,319,319,319,8.5e-190,657.1,1,1
WP_005764772.1,DAKCFMEO_00214,92.3,247,247,247,9.3e-128,450.7,1,1
WP_005764773.1,DAKCFMEO_00213,81.5,130,130,130,1.5e-60,226.5,1,1
WP_005764775.1,DAKCFMEO_00210,88.9,784,784,784,0.0e+00,1342.4,1,1
WP_005764776.1,DAKCFMEO_00209,92.8,291,291,287,1.2e-155,543.5,1,1.01394
WP_005764777.1,DAKCFMEO_00208,76.4,140,140,140,7.5e-58,217.6,1,1
WP_005764779.1,DAKCFMEO_00206,84.6,456,457,459,8.3e-215,740.7,0.997812,0.993464
WP_005764779.1,DAKCFMEO_01764,31.3,434,457,602,5.3e-28,120.2,0.949672,0.72093
WP_005764779.1,DAKCFMEO_00247,30.9,472,457,602,1.8e-23,105.1,1.03282,0.784053
WP_005764781.1,DAKCFMEO_00205,98.3,293,293,293,1.1e-178,620.2,1,1
WP_005764782.1,DAKCFMEO_00204,96.6,446,446,446,4.0e-238,818.1,1,1
WP_005764783.1,DAKCFMEO_00203,93.3,252,253,253,7.5e-133,467.6,0.996047,0.996047
WP_005764783.1,DAKCFMEO_01116,38.8,245,253,288,3.8e-36,146.4,0.968379,0.850694
WP_005764783.1,DAKCFMEO_03844,40.1,257,253,267,7.2e-35,142.1,1.01581,0.962547
WP_005764783.1,DAKCFMEO_01364,34.8,256,253,266,2.8e-34,140.2,1.01186,0.962406
WP_005764783.1,DAKCFMEO_04248,34.4,247,253,247,2.2e-31,130.6,0.976285,1
WP_005764783.1,DAKCFMEO_03845,34.1,246,253,254,2.7e-29,123.6,0.972332,0.968504
WP_005764783.1,DAKCFMEO_03312,36.9,255,253,249,5.9e-29,122.5,1.00791,1.0241
WP_005764783.1,DAKCFMEO_02641,32.4,244,253,249,3.9e-28,119.8,0.964427,0.97992
WP_005764783.1,DAKCFMEO_01734,32.4,250,253,254,6.6e-28,119.0,0.988142,0.984252
WP_005764783.1,DAKCFMEO_00202,35.9,251,253,270,1.5e-27,117.9,0.992095,0.92963
WP_005764783.1,DAKCFMEO_02140,31.2,253,253,257,6.1e-26,112.5,1,0.984436
WP_005764783.1,DAKCFMEO_03740,33.7,249,253,248,3.1e-25,110.2,0.98419,1.00403
WP_005764783.1,DAKCFMEO_02062,33.6,259,253,273,3.4e-24,106.7,1.02372,0.948718
WP_005764783.1,DAKCFMEO_03548,31.8,258,253,244,7.5e-24,105.5,1.01976,1.05738
WP_005764783.1,DAKCFMEO_03107,32.4,253,253,252,1.7e-23,104.4,1,1.00397
WP_005764783.1,DAKCFMEO_04050,32.0,253,253,262,1.4e-22,101.3,1,0.965649
WP_005764783.1,DAKCFMEO_03812,30.3,251,253,251,1.9e-22,100.9,0.992095,1
WP_005764783.1,DAKCFMEO_04271,32.1,249,253,260,5.4e-22,99.4,0.98419,0.957692
WP_005764783.1,DAKCFMEO_02489,30.1,246,253,252,1.1e-19,91.7,0.972332,0.97619
WP_005764783.1,DAKCFMEO_02779,34.0,188,253,303,1.4e-17,84.7,0.743083,0.620462
WP_005764783.1,DAKCFMEO_04204,30.6,216,253,270,2.2e-15,77.4,0.853755,0.8
WP_005764784.1,DAKCFMEO_00202,93.2,249,249,270,1.4e-128,453.4,1,0.922222
WP_005764784.1,DAKCFMEO_04248,36.3,245,249,247,3.0e-33,136.7,0.983936,0.991903
WP_005764784.1,DAKCFMEO_01364,37.5,256,249,266,2.1e-31,130.6,1.02811,0.962406
WP_005764784.1,DAKCFMEO_01734,34.1,252,249,254,8.2e-31,128.6,1.01205,0.992126
WP_005764784.1,DAKCFMEO_03312,37.7,247,249,249,1.1e-30,128.3,0.991968,0.991968
WP_005764784.1,DAKCFMEO_00203,36.3,251,249,253,2.9e-28,120.2,1.00803,0.992095
WP_005764784.1,DAKCFMEO_02140,32.3,260,249,257,2.9e-28,120.2,1.04418,1.01167
WP_005764784.1,DAKCFMEO_01116,35.7,230,249,288,7.1e-27,115.5,0.923695,0.798611
WP_005764784.1,DAKCFMEO_03812,35.7,227,249,251,9.3e-27,115.2,0.911647,0.904382
WP_005764784.1,DAKCFMEO_00374,33.3,237,249,266,6.7e-25,109.0,0.951807,0.890977
WP_005764784.1,DAKCFMEO_03844,34.6,260,249,267,1.5e-24,107.8,1.04418,0.973783
WP_005764784.1,DAKCFMEO_04204,35.0,200,249,270,1.5e-24,107.8,0.803213,0.740741
WP_005764784.1,DAKCFMEO_03845,34.8,233,249,254,9.7e-24,105.1,0.935743,0.917323
WP_005764784.1,DAKCFMEO_02641,32.1,234,249,249,1.1e-22,101.7,0.939759,0.939759
WP_005764784.1,DAKCFMEO_04033,31.3,233,249,252,1.4e-22,101.3,0.935743,0.924603
WP_005764784.1,DAKCFMEO_03548,32.4,238,249,244,6.9e-22,99.0,0.955823,0.97541
WP_005764784.1,DAKCFMEO_04050,31.4,245,249,262,6.9e-22,99.0,0.983936,0.935115
WP_005764784.1,DAKCFMEO_02062,33.9,242,249,273,2.0e-21,97.4,0.971888,0.886447
WP_005764784.1,DAKCFMEO_02779,32.0,250,249,303,7.7e-21,95.5,1.00402,0.825083
WP_005764784.1,DAKCFMEO_01189,31.4,229,249,255,1.6e-18,87.8,0.919679,0.898039
WP_005764784.1,DAKCFMEO_04069,34.2,184,249,284,4.1e-14,73.2,0.738956,0.647887
WP_005764784.1,DAKCFMEO_02804,32.2,183,249,258,9.1e-14,72.0,0.73494,0.709302
WP_005764786.1,DAKCFMEO_00200,91.5,330,335,339,1.7e-180,626.3,0.985075,0.973451
WP_005764786.1,DAKCFMEO_00559,40.2,323,335,325,2.0e-48,187.6,0.964179,0.993846
WP_005764787.1,DAKCFMEO_00199,95.7,398,398,398,1.4e-229,789.6,1,1
WP_005764789.1,DAKCFMEO_00196,92.0,75,75,98,1.0e-37,149.8,1,0.765306
WP_005764790.1,DAKCFMEO_00195,78.0,218,219,219,1.2e-97,350.5,0.995434,0.995434
WP_005764792.1,DAKCFMEO_00193,84.6,195,199,193,1.2e-93,337.0,0.979899,1.01036
WP_005764794.1,DAKCFMEO_00192,88.2,995,1039,1003,0.0e+00,1780.4,0.957652,0.992024
WP_005764807.1,DAKCFMEO_00183,90.3,93,93,93,2.2e-45,175.6,1,1
WP_005764809.1,DAKCFMEO_00182,84.8,363,363,363,5.1e-175,608.2,1,1
WP_005764809.1,DAKCFMEO_00394,32.4,343,363,319,3.8e-37,150.2,0.944904,1.07524
WP_005764810.1,DAKCFMEO_00181,79.7,133,136,136,1.1e-56,213.8,0.977941,0.977941
WP_005764812.1,DAKCFMEO_00180,97.0,305,305,305,3.2e-170,592.0,1,1
WP_005764812.1,DAKCFMEO_02456,30.8,185,305,301,1.7e-14,74.7,0.606557,0.614618
WP_005764831.1,DAKCFMEO_00169,92.0,513,512,513,1.4e-282,966.1,1.00195,1
WP_005764834.1,DAKCFMEO_00167,98.4,501,501,501,1.1e-297,1016.1,1,1
WP_005764834.1,DAKCFMEO_03851,42.6,488,501,491,4.4e-108,386.3,0.974052,0.99389
WP_005764836.1,DAKCFMEO_00165,90.4,156,156,156,7.1e-73,267.7,1,1
WP_005764850.1,DAKCFMEO_00158,95.1,226,225,226,2.3e-125,442.6,1.00444,1
WP_005764852.1,DAKCFMEO_00157,90.5,347,347,347,2.1e-181,629.4,1,1
WP_005764856.1,DAKCFMEO_00156,94.0,301,301,300,8.3e-163,567.4,1,1.00333
WP_005764864.1,DAKCFMEO_00147,95.0,682,682,680,0.0e+00,1320.1,1,1.00294
WP_005764871.1,DAKCFMEO_00141,80.6,217,218,218,1.8e-103,369.8,0.995413,0.995413
WP_005764877.1,DAKCFMEO_00138,90.6,372,372,372,6.4e-197,681.0,1,1
WP_005764877.1,DAKCFMEO_04510,42.5,372,372,370,1.6e-75,277.7,1,1.00541
WP_005764880.1,DAKCFMEO_00137,97.9,236,236,236,1.7e-131,463.0,1,1
WP_005764880.1,DAKCFMEO_04057,54.5,231,236,235,9.3e-69,254.6,0.978814,0.982979
WP_005764880.1,DAKCFMEO_04509,45.1,213,236,232,1.4e-48,187.6,0.902542,0.918103
WP_005764880.1,DAKCFMEO_05230,41.0,205,236,229,2.7e-36,146.7,0.868644,0.895197
WP_005764880.1,DAKCFMEO_00136,30.7,215,236,242,1.8e-19,90.9,0.911017,0.88843
WP_005764890.1,DAKCFMEO_00128,62.7,75,83,83,2.3e-22,99.0,0.903614,0.903614
WP_005764890.1,DAKCFMEO_00798,34.4,64,83,82,9.1e-11,60.5,0.771084,0.780488
WP_005764896.1,DAKCFMEO_00127,83.5,109,109,109,2.4e-51,195.7,1,1
WP_005764898.1,DAKCFMEO_00126,74.2,163,164,163,6.9e-71,261.2,0.993902,1
WP_005764901.1,DAKCFMEO_00125,68.8,170,183,200,3.0e-54,206.1,0.928962,0.85
WP_005764906.1,DAKCFMEO_00123,96.2,156,157,157,8.3e-90,323.9,0.993631,0.993631
WP_005764909.1,DAKCFMEO_00114,85.7,91,91,113,2.9e-42,165.2,1,0.80531
WP_005764915.1,DAKCFMEO_00111,90.7,312,319,317,5.2e-171,594.7,0.978056,0.984227
WP_005764917.1,DAKCFMEO_00109,98.5,714,714,714,0.0e+00,1417.9,1,1
WP_005764919.1,DAKCFMEO_00108,91.9,382,382,382,8.0e-211,727.2,1,1
WP_005764922.1,DAKCFMEO_00106,90.7,215,215,215,1.1e-116,413.7,1,1
WP_005764923.1,DAKCFMEO_00103,95.3,537,537,537,2.4e-298,1018.5,1,1
WP_005764926.1,DAKCFMEO_00099,97.4,233,233,233,3.1e-125,442.2,1,1
WP_005764926.1,DAKCFMEO_04863,58.8,233,233,238,6.8e-72,265.0,1,0.978992
WP_005764926.1,DAKCFMEO_03997,46.9,241,233,258,1.3e-51,197.6,1.03433,0.934109
WP_005764926.1,DAKCFMEO_04835,40.7,221,233,232,5.1e-43,169.1,0.948498,0.952586
WP_005764926.1,DAKCFMEO_00829,38.5,213,233,229,4.6e-36,146.0,0.914163,0.930131
WP_005764926.1,DAKCFMEO_04475,37.2,215,233,229,1.3e-33,137.9,0.922747,0.938865
WP_005764926.1,DAKCFMEO_00098,32.1,249,233,255,6.5e-30,125.6,1.06867,0.976471
WP_005764926.1,DAKCFMEO_01950,31.1,228,233,244,3.5e-28,119.8,0.978541,0.934426
WP_005764926.1,DAKCFMEO_04183,32.3,226,233,329,6.1e-28,119.0,0.969957,0.68693
WP_005764926.1,DAKCFMEO_00173,30.9,230,233,244,3.0e-27,116.7,0.987124,0.942623
WP_005764926.1,DAKCFMEO_04001,30.9,249,233,264,3.3e-26,113.2,1.06867,0.943182
WP_005764926.1,DAKCFMEO_01326,31.0,229,233,368,1.5e-23,104.4,0.982833,0.622283
WP_005764931.1,DAKCFMEO_00097,91.2,421,421,421,4.4e-210,724.9,1,1
WP_005764931.1,DAKCFMEO_04865,52.8,411,421,433,2.7e-103,370.2,0.976247,0.949192
WP_005764931.1,DAKCFMEO_03999,30.1,336,421,355,5.6e-24,106.7,0.7981,0.946479
WP_005764936.1,DAKCFMEO_00095,96.3,374,374,374,8.9e-207,713.8,1,1
WP_005764936.1,DAKCFMEO_04867,44.0,352,374,378,7.1e-79,288.9,0.941176,0.931217
WP_005764940.1,DAKCFMEO_00094,85.0,100,101,101,1.7e-43,169.5,0.990099,0.990099
WP_005764944.1,DAKCFMEO_00092,90.3,452,469,456,1.1e-235,810.1,0.963753,0.991228
WP_005764946.1,DAKCFMEO_00091,97.0,948,948,948,0.0e+00,1820.8,1,1
WP_005764969.1,DAKCFMEO_00080,92.5,187,187,187,3.5e-95,342.0,1,1
WP_005764969.1,DAKCFMEO_04335,48.5,163,187,167,8.8e-38,151.4,0.871658,0.976048
WP_005764971.1,DAKCFMEO_00079,88.5,262,262,262,3.5e-141,495.4,1,1
WP_005764971.1,DAKCFMEO_01113,31.0,252,262,277,7.5e-27,115.5,0.961832,0.909747
WP_005764975.1,DAKCFMEO_00077,76.0,104,104,104,1.7e-43,169.5,1,1
WP_005764980.1,DAKCFMEO_00062,90.1,283,292,292,5.8e-145,508.1,0.969178,0.969178
WP_005765006.1,DAKCFMEO_04699,90.0,339,339,339,5.7e-176,611.3,1,1
WP_005765011.1,DAKCFMEO_04698,90.4,335,336,336,3.9e-177,615.1,0.997024,0.997024
WP_005765016.1,DAKCFMEO_04696,87.5,273,276,275,4.2e-137,481.9,0.98913,0.992727
WP_005765020.1,DAKCFMEO_04694,84.8,269,269,269,1.0e-135,477.2,1,1
WP_005765028.1,DAKCFMEO_04690,86.9,336,332,336,8.0e-159,554.3,1.01205,1
WP_005765031.1,DAKCFMEO_04689,88.1,419,416,420,2.7e-212,732.3,1.00721,0.997619
WP_005765031.1,DAKCFMEO_01201,34.2,333,416,479,1.3e-41,165.2,0.800481,0.695198
WP_005765031.1,DAKCFMEO_00333,30.6,369,416,385,5.7e-37,149.8,0.887019,0.958442
WP_005765040.1,DAKCFMEO_04685,96.3,245,246,246,1.7e-137,483.0,0.995935,0.995935
WP_005765040.1,DAKCFMEO_04582,38.3,201,246,302,7.3e-32,132.1,0.817073,0.665563
WP_005765087.1,DAKCFMEO_04667,64.1,142,143,143,2.8e-44,172.6,0.993007,0.993007
WP_005765089.1,DAKCFMEO_04665,82.3,220,220,220,8.9e-98,350.9,1,1
WP_005765089.1,DAKCFMEO_02681,33.8,201,220,222,4.1e-26,112.8,0.913636,0.905405
WP_005765089.1,DAKCFMEO_00151,32.5,212,220,208,7.0e-26,112.1,0.963636,1.01923
WP_005765089.1,DAKCFMEO_04021,31.0,197,220,195,1.0e-21,98.2,0.895455,1.01026
WP_005765089.1,DAKCFMEO_04468,30.6,180,220,223,6.1e-14,72.4,0.818182,0.807175
WP_005765091.1,DAKCFMEO_04664,88.3,309,305,310,1.1e-154,540.4,1.01311,0.996774
WP_005765093.1,DAKCFMEO_04663,86.6,478,478,478,3.6e-237,815.1,1,1
WP_005765093.1,DAKCFMEO_04739,38.5,478,478,469,1.3e-72,268.5,1,1.01919
WP_005765099.1,DAKCFMEO_04657,85.1,395,405,407,2.8e-206,712.2,0.975309,0.970516
WP_005765101.1,DAKCFMEO_04656,79.8,366,366,366,2.0e-179,622.9,1,1
WP_005765105.1,DAKCFMEO_04654,93.0,273,273,273,9.9e-155,540.4,1,1
WP_005765108.1,DAKCFMEO_04653,88.3,471,471,472,5.3e-233,801.2,1,0.997881
WP_005765115.1,DAKCFMEO_04651,85.0,379,386,386,1.1e-183,637.1,0.981865,0.981865
WP_005765115.1,DAKCFMEO_03083,75.3,377,386,389,4.5e-161,562.0,0.976684,0.969152
