HOG	OG	Gene Tree Parent Clade	DC3000_protein_12_2025	plate25.C2.annotation
N0.HOG0000652	OG0000416	-	WP_005768794.1	DAKCFMEO_03396, DAKCFMEO_05266
N0.HOG0000653	OG0000417	-	WP_005768808.1	DAKCFMEO_01090, DAKCFMEO_03410
N0.HOG0000654	OG0000418	-	WP_005768834.1	DAKCFMEO_03424, DAKCFMEO_02783
N0.HOG0000655	OG0000419	-	WP_005768966.1	DAKCFMEO_03545, DAKCFMEO_04074
N0.HOG0000656	OG0000420	-	WP_005769036.1	DAKCFMEO_00131, DAKCFMEO_03579
N0.HOG0000657	OG0000421	-	WP_005769085.1	DAKCFMEO_04284, DAKCFMEO_03089
N0.HOG0000658	OG0000422	-	WP_005769228.1, WP_046463420.1	DAKCFMEO_00601
N0.HOG0000659	OG0000423	-	WP_005769524.1, WP_011104231.1	DAKCFMEO_01867
N0.HOG0000660	OG0000424	-	WP_011103297.1, WP_005769533.1	DAKCFMEO_01863
N0.HOG0000661	OG0000425	-	WP_005769571.1	DAKCFMEO_02082, DAKCFMEO_01836
N0.HOG0000662	OG0000426	-	WP_005769641.1	DAKCFMEO_01138, DAKCFMEO_00637
N0.HOG0000663	OG0000427	-	WP_011104151.1, WP_005769959.1	DAKCFMEO_01169
N0.HOG0000664	OG0000428	-	WP_005770049.1	DAKCFMEO_03381, DAKCFMEO_03699
N0.HOG0000665	OG0000429	-	WP_005770064.1	DAKCFMEO_03688, DAKCFMEO_03838
N0.HOG0000666	OG0000430	-	WP_046463939.1, WP_005770073.1	DAKCFMEO_03682
N0.HOG0000667	OG0000431	-	WP_005770075.1	DAKCFMEO_04451, DAKCFMEO_03681
N0.HOG0000668	OG0000432	-	WP_005783154.1, WP_007243769.1, WP_005770157.1	
N0.HOG0000669	OG0000433	-	WP_005770179.1, WP_011105580.1	DAKCFMEO_03076
N0.HOG0000670	OG0000434	-	WP_005770270.1	DAKCFMEO_03817, DAKCFMEO_03843
N0.HOG0000671	OG0000435	-	WP_005770289.1	DAKCFMEO_04061, DAKCFMEO_00256
N0.HOG0000672	OG0000436	-	WP_005770637.1	DAKCFMEO_02219, DAKCFMEO_04241
N0.HOG0000673	OG0000437	-	WP_005770825.1	DAKCFMEO_00922, DAKCFMEO_01624
N0.HOG0000674	OG0000438	-	WP_011103586.1, WP_005770918.1	DAKCFMEO_03209
N0.HOG0000675	OG0000439	-	WP_011103480.1, WP_005770934.1	DAKCFMEO_02741
N0.HOG0000676	OG0000440	-	WP_005770956.1	DAKCFMEO_00912, DAKCFMEO_01738
N0.HOG0000677	OG0000441	-	WP_011104275.1, WP_005771011.1	DAKCFMEO_03355
N0.HOG0000678	OG0000442	-	WP_005771069.1	DAKCFMEO_02007, DAKCFMEO_04068
N0.HOG0000679	OG0000443	-	WP_005771391.1	DAKCFMEO_03457, DAKCFMEO_02894
N0.HOG0000680	OG0000444	-	WP_005771461.1, WP_011103923.1	DAKCFMEO_00708
N0.HOG0000681	OG0000445	-	WP_057443140.1, WP_007243772.1, WP_007243770.1	
N0.HOG0000682	OG0000446	-	WP_007243883.1	DAKCFMEO_02781, DAKCFMEO_03907
N0.HOG0000683	OG0000447	-	WP_007244060.1	DAKCFMEO_02754, DAKCFMEO_04784
N0.HOG0000684	OG0000448	-	WP_007244314.1	DAKCFMEO_02620, DAKCFMEO_00449
N0.HOG0000685	OG0000449	-	WP_007244356.1, WP_011103659.1	DAKCFMEO_02559
N0.HOG0000686	OG0000450	-	WP_011103465.1, WP_007244528.1	DAKCFMEO_02942
N0.HOG0000687	OG0000451	-	WP_007244552.1, WP_011104360.1	DAKCFMEO_02176
N0.HOG0000688	OG0000452	-	WP_007244820.1	DAKCFMEO_01072, DAKCFMEO_01463
N0.HOG0000689	OG0000453	-	WP_007244871.1, WP_011104978.1	DAKCFMEO_00340
N0.HOG0000690	OG0000454	-	WP_007244951.1	DAKCFMEO_02891, DAKCFMEO_01244
N0.HOG0000691	OG0000455	-	WP_007245011.1, WP_032710417.1	DAKCFMEO_01591
N0.HOG0000692	OG0000456	-	WP_007245081.1	DAKCFMEO_01671, DAKCFMEO_04506
N0.HOG0000693	OG0000457	-	WP_007245396.1	DAKCFMEO_01063, DAKCFMEO_03223
N0.HOG0000694	OG0000458	-	WP_007245492.1	DAKCFMEO_03793, DAKCFMEO_03576
N0.HOG0000695	OG0000459	-	WP_007245539.1	DAKCFMEO_03691, DAKCFMEO_03835
N0.HOG0000696	OG0000460	-	WP_007245542.1	DAKCFMEO_03382, DAKCFMEO_03700
N0.HOG0000697	OG0000461	-	WP_007245619.1, WP_011105400.1	DAKCFMEO_02088
N0.HOG0000698	OG0000462	-	WP_007245738.1, WP_011103613.1	DAKCFMEO_04393
N0.HOG0000699	OG0000463	-	WP_007245786.1, WP_044390721.1	DAKCFMEO_03137
N0.HOG0000700	OG0000464	-	WP_007245803.1, WP_024666158.1	DAKCFMEO_04145
N0.HOG0000701	OG0000465	-	WP_165442256.1, WP_007245922.1	DAKCFMEO_00932
N0.HOG0000702	OG0000466	-	WP_007245994.1	DAKCFMEO_01093, DAKCFMEO_03864
N0.HOG0000703	OG0000467	-	WP_007245995.1	DAKCFMEO_03865, DAKCFMEO_01094
N0.HOG0000704	OG0000468	-	WP_007246058.1	DAKCFMEO_03888, DAKCFMEO_01446
N0.HOG0000705	OG0000469	-	WP_007246092.1	DAKCFMEO_03876, DAKCFMEO_01648
N0.HOG0000706	OG0000470	-	WP_011103558.1, WP_007246323.1	DAKCFMEO_02707
N0.HOG0000707	OG0000471	-	WP_007246342.1	DAKCFMEO_00951, DAKCFMEO_02684
N0.HOG0000708	OG0000472	-	WP_007246356.1	DAKCFMEO_03927, DAKCFMEO_00806
N0.HOG0000709	OG0000473	-	WP_007246357.1	DAKCFMEO_00804, DAKCFMEO_04054
N0.HOG0000710	OG0000474	-	WP_007246688.1	DAKCFMEO_03878, DAKCFMEO_01371
N0.HOG0000711	OG0000475	-	WP_007246697.1	DAKCFMEO_03942, DAKCFMEO_00918
N0.HOG0000712	OG0000476	-	WP_007246986.1	DAKCFMEO_03023, DAKCFMEO_04735
N0.HOG0000713	OG0000477	-	WP_007247160.1	DAKCFMEO_00154, DAKCFMEO_02061
N0.HOG0000714	OG0000478	-	WP_161797763.1, WP_007249558.1	DAKCFMEO_00894
N0.HOG0000715	OG0000479	-	WP_010205787.1	DAKCFMEO_02759, DAKCFMEO_03825
N0.HOG0000716	OG0000480	-	WP_010208319.1, WP_161633100.1	DAKCFMEO_01866
N0.HOG0000717	OG0000481	-	WP_010213774.1, WP_011105481.1	DAKCFMEO_01628
N0.HOG0000718	OG0000482	-	WP_046463612.1, WP_011102950.1	DAKCFMEO_01276
N0.HOG0000719	OG0000483	-	WP_046463616.1, WP_011102956.1	DAKCFMEO_01283
N0.HOG0000720	OG0000484	-	WP_011105171.1, WP_011102981.1	DAKCFMEO_01835
N0.HOG0000721	OG0000485	-	WP_011104361.1, WP_011102988.1	DAKCFMEO_01855
N0.HOG0000722	OG0000486	-	WP_011102994.1	DAKCFMEO_01269, DAKCFMEO_01875
N0.HOG0000723	OG0000487	-	WP_011102995.1, WP_052746244.1	DAKCFMEO_01877
N0.HOG0000724	OG0000488	-	WP_011105123.1, WP_011103021.1	DAKCFMEO_01307
N0.HOG0000725	OG0000489	-	WP_011104299.1, WP_011103033.1	DAKCFMEO_03968
N0.HOG0000726	OG0000490	-	WP_011103046.1, WP_046463731.1	DAKCFMEO_02006
N0.HOG0000727	OG0000491	-	WP_011103051.1	DAKCFMEO_03890, DAKCFMEO_02015
N0.HOG0000728	OG0000492	-	WP_011103996.1, WP_011103108.1	DAKCFMEO_05122
N0.HOG0000729	OG0000493	-	WP_011103110.1	DAKCFMEO_05120, DAKCFMEO_04722
N0.HOG0000730	OG0000494	-	WP_011103124.1	DAKCFMEO_00965, DAKCFMEO_02151
N0.HOG0000731	OG0000495	-	WP_011103148.1	DAKCFMEO_02940, DAKCFMEO_01776
N0.HOG0000732	OG0000496	-	WP_011103156.1, WP_011104714.1	DAKCFMEO_01150
N0.HOG0000733	OG0000497	-	WP_011103385.1, WP_011107002.1, WP_011103210.1	
N0.HOG0000734	OG0000498	-	WP_011107043.1, WP_011103211.1, WP_046463725.1	
N0.HOG0000735	OG0000499	-	WP_011103229.1	DAKCFMEO_03546, DAKCFMEO_03886
N0.HOG0000736	OG0000500	-	WP_052746256.1, WP_011103230.1	DAKCFMEO_02041
N0.HOG0000737	OG0000501	-	WP_011103268.1	DAKCFMEO_03686, DAKCFMEO_03873
N0.HOG0000738	OG0000502	-	WP_011103281.1	DAKCFMEO_05123, DAKCFMEO_00598
N0.HOG0000739	OG0000503	-	WP_011103381.1, WP_011105557.1	DAKCFMEO_01217
N0.HOG0000740	OG0000504	-	WP_011103397.1	DAKCFMEO_01740, DAKCFMEO_00911
N0.HOG0000741	OG0000505	-	WP_011103398.1	DAKCFMEO_04048, DAKCFMEO_01737
N0.HOG0000742	OG0000506	-	WP_011103413.1	DAKCFMEO_05251, DAKCFMEO_03449
N0.HOG0000743	OG0000507	-	WP_011103418.1, WP_161797786.1	DAKCFMEO_02064
N0.HOG0000744	OG0000508	-	WP_011107015.1, WP_011103425.1, WP_011106973.1	
N0.HOG0000745	OG0000509	-	WP_011103434.1	DAKCFMEO_03430, DAKCFMEO_01202
N0.HOG0000746	OG0000510	-	WP_011103474.1, WP_011103476.1	DAKCFMEO_02748
N0.HOG0000747	OG0000511	-	WP_011104973.1, WP_011104970.1, WP_011103479.1	
N0.HOG0000748	OG0000512	-	WP_011103535.1	DAKCFMEO_01468, DAKCFMEO_01084
N0.HOG0000749	OG0000513	-	WP_011103539.1	DAKCFMEO_04418, DAKCFMEO_04376
N0.HOG0000750	OG0000514	-	WP_011103548.1, WP_011104109.1	DAKCFMEO_03351
N0.HOG0000751	OG0000515	-	WP_044393500.1, WP_011103608.1	DAKCFMEO_00067
N0.HOG0000752	OG0000516	-	WP_011103700.1	DAKCFMEO_02332, DAKCFMEO_03025
N0.HOG0000753	OG0000517	-	WP_011103704.1, WP_046463414.1	DAKCFMEO_00161
N0.HOG0000754	OG0000518	-	WP_011103755.1	DAKCFMEO_02463, DAKCFMEO_00060
N0.HOG0000755	OG0000519	-	WP_011104130.1, WP_011103760.1	DAKCFMEO_02472
N0.HOG0000756	OG0000520	-	WP_011103763.1	DAKCFMEO_03311, DAKCFMEO_02480
N0.HOG0000757	OG0000521	-	WP_011103803.1	DAKCFMEO_02580, DAKCFMEO_02577
N0.HOG0000758	OG0000522	-	WP_011103825.1, WP_011104883.1	DAKCFMEO_00124
N0.HOG0000759	OG0000523	-	WP_046463977.1, WP_011104789.1, WP_011103844.1	
N0.HOG0000760	OG0000524	-	WP_011103899.1	DAKCFMEO_02998, DAKCFMEO_00675
N0.HOG0000761	OG0000525	-	WP_011103905.1	DAKCFMEO_00680, DAKCFMEO_00681
N0.HOG0000762	OG0000526	-	WP_011104759.1, WP_011103908.1	DAKCFMEO_00685
N0.HOG0000763	OG0000527	-	WP_011103928.1	DAKCFMEO_00716, DAKCFMEO_04619
N0.HOG0000764	OG0000528	-	WP_011103983.1	DAKCFMEO_03849, DAKCFMEO_03310
N0.HOG0000765	OG0000529	-	WP_011103984.1	DAKCFMEO_03309, DAKCFMEO_03850
N0.HOG0000766	OG0000530	-	WP_011103986.1	DAKCFMEO_03860, DAKCFMEO_00255
N0.HOG0000767	OG0000531	-	WP_011103994.1, WP_163004347.1	DAKCFMEO_02292
N0.HOG0000768	OG0000532	-	WP_011104025.1, WP_046463280.1	DAKCFMEO_00905
N0.HOG0000769	OG0000533	-	WP_011104028.1	DAKCFMEO_03094, DAKCFMEO_00919
N0.HOG0000770	OG0000534	-	WP_011104099.1	DAKCFMEO_00888, DAKCFMEO_01054
N0.HOG0000771	OG0000535	-	WP_011104133.1, WP_011104435.1	DAKCFMEO_01100
N0.HOG0000772	OG0000536	-	WP_011104138.1	DAKCFMEO_01115, DAKCFMEO_03811
N0.HOG0000773	OG0000537	-	WP_011104146.1	DAKCFMEO_01129, DAKCFMEO_01823
N0.HOG0000774	OG0000538	-	WP_011104158.1	DAKCFMEO_04589, DAKCFMEO_01188
N0.HOG0000775	OG0000539	-	WP_011104203.1	DAKCFMEO_03786, DAKCFMEO_01339
N0.HOG0000776	OG0000540	-	WP_011104237.1	DAKCFMEO_03325, DAKCFMEO_03063
N0.HOG0000777	OG0000541	-	WP_011105472.1, WP_011104239.1	DAKCFMEO_05264
N0.HOG0000778	OG0000542	-	WP_011105583.1, WP_011104257.1	DAKCFMEO_02900
N0.HOG0000779	OG0000543	-	WP_011104292.1	DAKCFMEO_04047, DAKCFMEO_03953
N0.HOG0000780	OG0000544	-	WP_011104296.1, WP_011104943.1	DAKCFMEO_03964
N0.HOG0000781	OG0000545	-	WP_011104306.1, WP_011104433.1	DAKCFMEO_03042
N0.HOG0000782	OG0000546	-	WP_011104364.1	DAKCFMEO_04459, DAKCFMEO_04059
N0.HOG0000783	OG0000547	-	WP_011104398.1	DAKCFMEO_04108, DAKCFMEO_00849
N0.HOG0000784	OG0000548	-	WP_011104401.1	DAKCFMEO_00331, DAKCFMEO_04117
N0.HOG0000785	OG0000549	-	WP_011104419.1	DAKCFMEO_01002, DAKCFMEO_00656
N0.HOG0000786	OG0000550	-	WP_011104454.1	DAKCFMEO_00944, DAKCFMEO_04075
N0.HOG0000787	OG0000551	-	WP_011104457.1, WP_161797816.1	DAKCFMEO_00939
N0.HOG0000788	OG0000552	-	WP_011104476.1	DAKCFMEO_02257, DAKCFMEO_01430
N0.HOG0000789	OG0000553	-	WP_011104480.1, WP_161797785.1, WP_011104481.1	
N0.HOG0000790	OG0000554	-	WP_011104494.1	DAKCFMEO_03887, DAKCFMEO_01448
N0.HOG0000791	OG0000555	-	WP_011104506.1	DAKCFMEO_01509, DAKCFMEO_03079
N0.HOG0000792	OG0000556	-	WP_011104568.1	DAKCFMEO_03398, DAKCFMEO_04726
N0.HOG0000793	OG0000557	-	WP_011104570.1	DAKCFMEO_04724, DAKCFMEO_03827
N0.HOG0000794	OG0000558	-	WP_011104583.1	DAKCFMEO_03946, DAKCFMEO_01144
N0.HOG0000795	OG0000559	-	WP_011104585.1	DAKCFMEO_03815, DAKCFMEO_04702
N0.HOG0000796	OG0000560	-	WP_011104627.1	DAKCFMEO_04560, DAKCFMEO_02660
N0.HOG0000797	OG0000561	-	WP_011104648.1, WP_011106957.1	DAKCFMEO_04532
N0.HOG0000798	OG0000562	-	WP_011104677.1	DAKCFMEO_02671, DAKCFMEO_04408
N0.HOG0000799	OG0000563	-	WP_011104685.1	DAKCFMEO_04373, DAKCFMEO_00783
N0.HOG0000800	OG0000564	-	WP_011104686.1	DAKCFMEO_04371, DAKCFMEO_00239
N0.HOG0000801	OG0000565	-	WP_011104699.1	DAKCFMEO_04333, DAKCFMEO_00782
N0.HOG0000802	OG0000566	-	WP_011104719.1, WP_046463642.1	DAKCFMEO_03394
N0.HOG0000803	OG0000567	-	WP_011104724.1	DAKCFMEO_04294, DAKCFMEO_00361
N0.HOG0000804	OG0000568	-	WP_044392855.1, WP_011104753.1	DAKCFMEO_04230
N0.HOG0000805	OG0000569	-	WP_011104756.1	DAKCFMEO_04227, DAKCFMEO_00386
N0.HOG0000806	OG0000570	-	WP_011104765.1	DAKCFMEO_04052, DAKCFMEO_04188
N0.HOG0000807	OG0000571	-	WP_011104785.1, WP_011105582.1	DAKCFMEO_04167
N0.HOG0000808	OG0000572	-	WP_011104887.1	DAKCFMEO_01500, DAKCFMEO_00140
N0.HOG0000809	OG0000573	-	WP_011104888.1	DAKCFMEO_00146, DAKCFMEO_01894
N0.HOG0000810	OG0000574	-	WP_011104929.1, WP_011104896.1	DAKCFMEO_00177
N0.HOG0000811	OG0000575	-	WP_011104920.1	DAKCFMEO_00251, DAKCFMEO_01435
N0.HOG0000812	OG0000576	-	WP_011104945.1, WP_011105063.1	DAKCFMEO_00272
N0.HOG0000813	OG0000577	-	WP_011105053.1	DAKCFMEO_04758, DAKCFMEO_00936
N0.HOG0000814	OG0000578	-	WP_011105108.1	DAKCFMEO_00038, DAKCFMEO_00581
N0.HOG0000815	OG0000579	-	WP_011105140.1, WP_011105168.1	DAKCFMEO_04797
N0.HOG0000816	OG0000580	-	WP_011105217.1, WP_046463779.1	DAKCFMEO_04827
N0.HOG0000817	OG0000581	-	WP_011105235.1, WP_011105522.1	DAKCFMEO_01588
N0.HOG0000818	OG0000582	-	WP_011105240.1	DAKCFMEO_04894, DAKCFMEO_00010
N0.HOG0000819	OG0000583	-	WP_011105258.1, WP_046463768.1	DAKCFMEO_04934
N0.HOG0000820	OG0000584	-	WP_011105452.1, WP_011105278.1	DAKCFMEO_04430
N0.HOG0000821	OG0000585	-	WP_011105298.1	DAKCFMEO_02127, DAKCFMEO_03797
N0.HOG0000822	OG0000586	-	WP_011105299.1	DAKCFMEO_02126, DAKCFMEO_02098
N0.HOG0000823	OG0000587	-	WP_011105335.1	DAKCFMEO_05068, DAKCFMEO_05066
N0.HOG0000824	OG0000588	-	WP_011105361.1	DAKCFMEO_04415, DAKCFMEO_05149
N0.HOG0000825	OG0000589	-	WP_011105460.1	DAKCFMEO_05239, DAKCFMEO_05238
N0.HOG0000826	OG0000590	-	WP_011105473.1, WP_046463847.1	DAKCFMEO_05265
N0.HOG0000827	OG0000591	-	WP_011105494.1	DAKCFMEO_01639, DAKCFMEO_01153
N0.HOG0000828	OG0000592	-	WP_011105501.1	DAKCFMEO_05296, DAKCFMEO_04792
N0.HOG0000829	OG0000593	-	WP_011105533.1, WP_011105531.1	DAKCFMEO_01573
N0.HOG0000830	OG0000594	-	WP_011105535.1	DAKCFMEO_01566, DAKCFMEO_04327
N0.HOG0000831	OG0000595	-	WP_011105556.1	DAKCFMEO_01216, DAKCFMEO_04742
N0.HOG0000832	OG0000596	-	WP_046463324.1, WP_017698872.1	DAKCFMEO_02145
N0.HOG0000833	OG0000597	-	WP_158506385.1, WP_032710799.1, WP_158502624.1	
N0.HOG0000834	OG0000598	-	WP_046463281.1, WP_046463912.1	DAKCFMEO_04043
N0.HOG0000835	OG0000599	-	WP_046463318.1	DAKCFMEO_00267, DAKCFMEO_02096
N0.HOG0000836	OG0000600	-	WP_046463321.1	DAKCFMEO_01442, DAKCFMEO_00992
N0.HOG0000837	OG0000601	-	WP_046463355.1	DAKCFMEO_04557, DAKCFMEO_02750
N0.HOG0000838	OG0000602	-	WP_046463438.1	DAKCFMEO_00726, DAKCFMEO_04051
N0.HOG0000839	OG0000603	-	WP_046463459.1	DAKCFMEO_04746, DAKCFMEO_04150
N0.HOG0000840	OG0000604	-	WP_046463487.1	DAKCFMEO_04603, DAKCFMEO_03533
N0.HOG0000841	OG0000605	-	WP_046463561.1	DAKCFMEO_00684, DAKCFMEO_00678
N0.HOG0000842	OG0000606	-	WP_046463592.1	DAKCFMEO_02489, DAKCFMEO_00101
N0.HOG0000843	OG0000607	-	WP_046463652.1	DAKCFMEO_04922, DAKCFMEO_04918
N0.HOG0000844	OG0000608	-	WP_046463677.1	DAKCFMEO_03857, DAKCFMEO_03842
N0.HOG0000845	OG0000609	-	WP_046463781.1, WP_161797798.1	DAKCFMEO_01233
N0.HOG0000846	OG0000610	-	WP_046463848.1	DAKCFMEO_02001, DAKCFMEO_02002
N0.HOG0000847	OG0000611	-	WP_046463904.1	DAKCFMEO_00948, DAKCFMEO_04078
N0.HOG0000848	OG0000612	-	WP_046463956.1	DAKCFMEO_02848, DAKCFMEO_04666
N0.HOG0000849	OG0000613	-	WP_159229446.1, WP_164923175.1	DAKCFMEO_00352
N0.HOG0000850	OG0000614	-	WP_164923169.1, WP_159250468.1	DAKCFMEO_01886
N0.HOG0000851	OG0000615	-	WP_161797781.1	DAKCFMEO_02048, DAKCFMEO_03967
N0.HOG0000852	OG0000616	-		DAKCFMEO_00796, DAKCFMEO_00795, DAKCFMEO_04440
N0.HOG0000853	OG0000617	-		DAKCFMEO_00858, DAKCFMEO_00857, DAKCFMEO_01794
N0.HOG0000854	OG0000618	-		DAKCFMEO_01089, DAKCFMEO_02363, DAKCFMEO_02362
N0.HOG0000855	OG0000619	-		DAKCFMEO_04181, DAKCFMEO_01142, DAKCFMEO_01722
N0.HOG0000856	OG0000620	-		DAKCFMEO_01227, DAKCFMEO_04601, DAKCFMEO_04170
N0.HOG0000857	OG0000621	-		DAKCFMEO_02766, DAKCFMEO_02765, DAKCFMEO_02764
N0.HOG0000858	OG0000622	-	WP_002551315.1	DAKCFMEO_01263
N0.HOG0000859	OG0000623	-	WP_002551397.1	DAKCFMEO_05162
N0.HOG0000860	OG0000624	-	WP_002551454.1	DAKCFMEO_05211
N0.HOG0000861	OG0000625	-	WP_002551500.1	DAKCFMEO_01837
N0.HOG0000862	OG0000626	-	WP_002551508.1	DAKCFMEO_01845
N0.HOG0000863	OG0000627	-	WP_002551514.1	DAKCFMEO_01851
N0.HOG0000864	OG0000628	-	WP_002551515.1	DAKCFMEO_01852
N0.HOG0000865	OG0000629	-	WP_002551560.1	DAKCFMEO_01956
N0.HOG0000866	OG0000630	-	WP_002551568.1	DAKCFMEO_01967
N0.HOG0000867	OG0000631	-	WP_002551573.1	DAKCFMEO_01972
N0.HOG0000868	OG0000632	-	WP_002551616.1	DAKCFMEO_05096
N0.HOG0000869	OG0000633	-	WP_002551711.1	DAKCFMEO_02133
N0.HOG0000870	OG0000634	-	WP_002551738.1	DAKCFMEO_05002
N0.HOG0000871	OG0000635	-	WP_002551819.1	DAKCFMEO_04892
N0.HOG0000872	OG0000636	-	WP_002551828.1	DAKCFMEO_04881
N0.HOG0000873	OG0000637	-	WP_002551829.1	DAKCFMEO_04880
N0.HOG0000874	OG0000638	-	WP_002551877.1	DAKCFMEO_02868
N0.HOG0000875	OG0000639	-	WP_002551946.1	DAKCFMEO_02807
N0.HOG0000876	OG0000640	-	WP_002551953.1	DAKCFMEO_02800
N0.HOG0000877	OG0000641	-	WP_002551972.1	DAKCFMEO_00541
N0.HOG0000878	OG0000642	-	WP_002552060.1	DAKCFMEO_01662
N0.HOG0000879	OG0000643	-	WP_002552075.1	DAKCFMEO_01647
N0.HOG0000880	OG0000644	-	WP_002552145.1	DAKCFMEO_03443
N0.HOG0000881	OG0000645	-	WP_002552194.1	DAKCFMEO_03389
N0.HOG0000882	OG0000646	-	WP_002552279.1	DAKCFMEO_03291
N0.HOG0000883	OG0000647	-	WP_002552468.1	DAKCFMEO_03331
N0.HOG0000884	OG0000648	-	WP_002552482.1	DAKCFMEO_03346
N0.HOG0000885	OG0000649	-	WP_002552524.1	DAKCFMEO_03261
N0.HOG0000886	OG0000650	-	WP_002552552.1	DAKCFMEO_04200
N0.HOG0000887	OG0000651	-	WP_002552554.1	DAKCFMEO_04202
N0.HOG0000888	OG0000652	-	WP_002552611.1	DAKCFMEO_04157
N0.HOG0000889	OG0000653	-	WP_002552653.1	DAKCFMEO_04191
N0.HOG0000890	OG0000654	-	WP_002552688.1	DAKCFMEO_04245
N0.HOG0000891	OG0000655	-	WP_002552729.1	DAKCFMEO_04341
N0.HOG0000892	OG0000656	-	WP_002552734.1	DAKCFMEO_04350
N0.HOG0000893	OG0000657	-	WP_002552737.1	DAKCFMEO_04353
N0.HOG0000894	OG0000658	-	WP_002552818.1	DAKCFMEO_04534
N0.HOG0000895	OG0000659	-	WP_002552981.1	DAKCFMEO_00650
N0.HOG0000896	OG0000660	-	WP_002553016.1	DAKCFMEO_00710
N0.HOG0000897	OG0000661	-	WP_002553018.1	DAKCFMEO_00712
N0.HOG0000898	OG0000662	-	WP_002553160.1	DAKCFMEO_00813
N0.HOG0000899	OG0000663	-	WP_002553161.1	DAKCFMEO_00814
N0.HOG0000900	OG0000664	-	WP_002553164.1	DAKCFMEO_00817
N0.HOG0000901	OG0000665	-	WP_002553665.1	DAKCFMEO_03718
N0.HOG0000902	OG0000666	-	WP_002553978.1	DAKCFMEO_01496
N0.HOG0000903	OG0000667	-	WP_002554011.1	DAKCFMEO_01530
N0.HOG0000904	OG0000668	-	WP_002554012.1	DAKCFMEO_01531
N0.HOG0000905	OG0000669	-	WP_002554100.1	DAKCFMEO_04682
N0.HOG0000906	OG0000670	-	WP_002554262.1	DAKCFMEO_02556
N0.HOG0000907	OG0000671	-	WP_002554277.1	DAKCFMEO_02541
N0.HOG0000908	OG0000672	-	WP_002554288.1	DAKCFMEO_02531
N0.HOG0000909	OG0000673	-	WP_002554291.1	DAKCFMEO_02528
N0.HOG0000910	OG0000674	-	WP_002554297.1	DAKCFMEO_02522
N0.HOG0000911	OG0000675	-	WP_002554310.1	DAKCFMEO_02509
N0.HOG0000912	OG0000676	-	WP_002554316.1	DAKCFMEO_02504
N0.HOG0000913	OG0000677	-	WP_002554423.1	DAKCFMEO_02406
N0.HOG0000914	OG0000678	-	WP_002554426.1	DAKCFMEO_02400
N0.HOG0000915	OG0000679	-	WP_002554476.1	DAKCFMEO_04319
N0.HOG0000916	OG0000680	-	WP_002554553.1	DAKCFMEO_02327
N0.HOG0000917	OG0000681	-	WP_002554561.1	DAKCFMEO_02318
N0.HOG0000918	OG0000682	-	WP_002554562.1	DAKCFMEO_02317
N0.HOG0000919	OG0000683	-	WP_002554651.1	DAKCFMEO_03124
N0.HOG0000920	OG0000684	-	WP_002554721.1	DAKCFMEO_03190
N0.HOG0000921	OG0000685	-	WP_002554728.1	DAKCFMEO_03197
N0.HOG0000922	OG0000686	-	WP_002554851.1	DAKCFMEO_00159
N0.HOG0000923	OG0000687	-	WP_002555064.1	DAKCFMEO_00416
N0.HOG0000924	OG0000688	-	WP_002555108.1	DAKCFMEO_00463
N0.HOG0000925	OG0000689	-	WP_002555109.1	DAKCFMEO_00464
N0.HOG0000926	OG0000690	-	WP_002555121.1	DAKCFMEO_01679
N0.HOG0000927	OG0000691	-	WP_002555142.1	DAKCFMEO_01701
N0.HOG0000928	OG0000692	-	WP_002555214.1	DAKCFMEO_00545
N0.HOG0000929	OG0000693	-	WP_002555356.1	DAKCFMEO_03650
N0.HOG0000930	OG0000694	-	WP_002555369.1	DAKCFMEO_03636
N0.HOG0000931	OG0000695	-	WP_002555375.1	DAKCFMEO_03630
N0.HOG0000932	OG0000696	-	WP_002555427.1	DAKCFMEO_03570
N0.HOG0000933	OG0000697	-	WP_002555464.1	DAKCFMEO_03531
N0.HOG0000934	OG0000698	-	WP_002555465.1	DAKCFMEO_03530
N0.HOG0000935	OG0000699	-	WP_002555466.1	DAKCFMEO_03529
N0.HOG0000936	OG0000700	-	WP_002555467.1	DAKCFMEO_03528
N0.HOG0000937	OG0000701	-	WP_002555469.1	DAKCFMEO_03527
N0.HOG0000938	OG0000702	-	WP_002555470.1	DAKCFMEO_03526
N0.HOG0000939	OG0000703	-	WP_002555471.1	DAKCFMEO_03525
N0.HOG0000940	OG0000704	-	WP_002555473.1	DAKCFMEO_03523
N0.HOG0000941	OG0000705	-	WP_002555475.1	DAKCFMEO_03521
N0.HOG0000942	OG0000706	-	WP_002555476.1	DAKCFMEO_03520
N0.HOG0000943	OG0000707	-	WP_002555478.1	DAKCFMEO_03518
N0.HOG0000944	OG0000708	-	WP_002555479.1	DAKCFMEO_03517
N0.HOG0000945	OG0000709	-	WP_002555480.1	DAKCFMEO_03516
N0.HOG0000946	OG0000710	-	WP_002555481.1	DAKCFMEO_03515
N0.HOG0000947	OG0000711	-	WP_002555482.1	DAKCFMEO_03514
N0.HOG0000948	OG0000712	-	WP_002555485.1	DAKCFMEO_03512
N0.HOG0000949	OG0000713	-	WP_002555488.1	DAKCFMEO_03509
N0.HOG0000950	OG0000714	-	WP_002555489.1	DAKCFMEO_03508
N0.HOG0000951	OG0000715	-	WP_002555491.1	DAKCFMEO_03506
