Orthogroup	Species Tree Node	Gene Tree Node	Support	Type	Genes 1	Genes 2
OG0000003	plate25.C2.annotation	n11	1.0	Terminal	plate25_C2_annotation_DAKCFMEO_02934	plate25_C2_annotation_DAKCFMEO_03406, plate25_C2_annotation_DAKCFMEO_05300
OG0000003	plate25.C2.annotation	n12	1.0	Terminal	plate25_C2_annotation_DAKCFMEO_03406	plate25_C2_annotation_DAKCFMEO_05300
OG0000003	plate25.C2.annotation	n13	1.0	Terminal	plate25_C2_annotation_DAKCFMEO_04971	plate25_C2_annotation_DAKCFMEO_04860, plate25_C2_annotation_DAKCFMEO_04958, plate25_C2_annotation_DAKCFMEO_03714, plate25_C2_annotation_DAKCFMEO_02258, plate25_C2_annotation_DAKCFMEO_02965, plate25_C2_annotation_DAKCFMEO_00448
OG0000003	plate25.C2.annotation	n14	1.0	Terminal	plate25_C2_annotation_DAKCFMEO_04860, plate25_C2_annotation_DAKCFMEO_04958, plate25_C2_annotation_DAKCFMEO_03714, plate25_C2_annotation_DAKCFMEO_02258, plate25_C2_annotation_DAKCFMEO_02965	plate25_C2_annotation_DAKCFMEO_00448
OG0000003	plate25.C2.annotation	n15	1.0	Terminal	plate25_C2_annotation_DAKCFMEO_04860, plate25_C2_annotation_DAKCFMEO_04958, plate25_C2_annotation_DAKCFMEO_03714, plate25_C2_annotation_DAKCFMEO_02258	plate25_C2_annotation_DAKCFMEO_02965
OG0000003	plate25.C2.annotation	n16	1.0	Terminal	plate25_C2_annotation_DAKCFMEO_04860, plate25_C2_annotation_DAKCFMEO_04958, plate25_C2_annotation_DAKCFMEO_03714	plate25_C2_annotation_DAKCFMEO_02258
OG0000003	plate25.C2.annotation	n17	1.0	Terminal	plate25_C2_annotation_DAKCFMEO_04860, plate25_C2_annotation_DAKCFMEO_04958	plate25_C2_annotation_DAKCFMEO_03714
OG0000003	plate25.C2.annotation	n18	1.0	Terminal	plate25_C2_annotation_DAKCFMEO_04860	plate25_C2_annotation_DAKCFMEO_04958
OG0000004	N0	n0	1.0	Non-Terminal	plate25_C2_annotation_DAKCFMEO_01420, DC3000_protein_12_2025_WP_005767285.1	DC3000_protein_12_2025_WP_011103510.1, DC3000_protein_12_2025_WP_011103145.1, plate25_C2_annotation_DAKCFMEO_04008, DC3000_protein_12_2025_WP_011104615.1, DC3000_protein_12_2025_WP_011104479.1, DC3000_protein_12_2025_WP_005764624.1, plate25_C2_annotation_DAKCFMEO_01787, DC3000_protein_12_2025_WP_011105087.1, DC3000_protein_12_2025_WP_011105575.1, DC3000_protein_12_2025_WP_011105048.1
OG0000004	N0	n2	0.5	Non-Terminal	DC3000_protein_12_2025_WP_011103510.1, DC3000_protein_12_2025_WP_011103145.1	plate25_C2_annotation_DAKCFMEO_04008, DC3000_protein_12_2025_WP_011104615.1, DC3000_protein_12_2025_WP_011104479.1, DC3000_protein_12_2025_WP_005764624.1, plate25_C2_annotation_DAKCFMEO_01787, DC3000_protein_12_2025_WP_011105087.1, DC3000_protein_12_2025_WP_011105575.1, DC3000_protein_12_2025_WP_011105048.1
OG0000004	DC3000_protein_12_2025	n3	1.0	Terminal	DC3000_protein_12_2025_WP_011103510.1	DC3000_protein_12_2025_WP_011103145.1
OG0000004	N0	n4	1.0	Non-Terminal	plate25_C2_annotation_DAKCFMEO_04008, DC3000_protein_12_2025_WP_011104615.1, DC3000_protein_12_2025_WP_011104479.1, DC3000_protein_12_2025_WP_005764624.1	plate25_C2_annotation_DAKCFMEO_01787, DC3000_protein_12_2025_WP_011105087.1, DC3000_protein_12_2025_WP_011105575.1, DC3000_protein_12_2025_WP_011105048.1
OG0000004	DC3000_protein_12_2025	n6	1.0	Terminal	DC3000_protein_12_2025_WP_011104615.1	DC3000_protein_12_2025_WP_011104479.1, DC3000_protein_12_2025_WP_005764624.1
OG0000004	DC3000_protein_12_2025	n7	1.0	Terminal	DC3000_protein_12_2025_WP_011104479.1	DC3000_protein_12_2025_WP_005764624.1
OG0000004	DC3000_protein_12_2025	n9	1.0	Terminal	DC3000_protein_12_2025_WP_011105087.1	DC3000_protein_12_2025_WP_011105575.1, DC3000_protein_12_2025_WP_011105048.1
OG0000004	DC3000_protein_12_2025	n10	1.0	Terminal	DC3000_protein_12_2025_WP_011105575.1	DC3000_protein_12_2025_WP_011105048.1
OG0000005	N0	n0	1.0	Non-Terminal	DC3000_protein_12_2025_WP_005888851.1, DC3000_protein_12_2025_WP_007252518.1, plate25_C2_annotation_DAKCFMEO_04413	plate25_C2_annotation_DAKCFMEO_04411, plate25_C2_annotation_DAKCFMEO_04412, plate25_C2_annotation_DAKCFMEO_02700, DC3000_protein_12_2025_WP_162839071.1, plate25_C2_annotation_DAKCFMEO_02686, plate25_C2_annotation_DAKCFMEO_02701, DC3000_protein_12_2025_WP_011103873.1, DC3000_protein_12_2025_WP_011103871.1, plate25_C2_annotation_DAKCFMEO_02699
OG0000005	DC3000_protein_12_2025	n2	1.0	Terminal	DC3000_protein_12_2025_WP_005888851.1	DC3000_protein_12_2025_WP_007252518.1
OG0000005	N0	n3	0.5	Non-Terminal	plate25_C2_annotation_DAKCFMEO_04411	plate25_C2_annotation_DAKCFMEO_04412, plate25_C2_annotation_DAKCFMEO_02700, DC3000_protein_12_2025_WP_162839071.1, plate25_C2_annotation_DAKCFMEO_02686, plate25_C2_annotation_DAKCFMEO_02701, DC3000_protein_12_2025_WP_011103873.1, DC3000_protein_12_2025_WP_011103871.1, plate25_C2_annotation_DAKCFMEO_02699
OG0000005	N0	n4	0.5	Non-Terminal	plate25_C2_annotation_DAKCFMEO_04412	plate25_C2_annotation_DAKCFMEO_02700, DC3000_protein_12_2025_WP_162839071.1, plate25_C2_annotation_DAKCFMEO_02686, plate25_C2_annotation_DAKCFMEO_02701, DC3000_protein_12_2025_WP_011103873.1, DC3000_protein_12_2025_WP_011103871.1, plate25_C2_annotation_DAKCFMEO_02699
OG0000005	N0	n5	0.5	Non-Terminal	plate25_C2_annotation_DAKCFMEO_02700	DC3000_protein_12_2025_WP_162839071.1, plate25_C2_annotation_DAKCFMEO_02686, plate25_C2_annotation_DAKCFMEO_02701, DC3000_protein_12_2025_WP_011103873.1, DC3000_protein_12_2025_WP_011103871.1, plate25_C2_annotation_DAKCFMEO_02699
OG0000005	N0	n6	1.0	Non-Terminal	DC3000_protein_12_2025_WP_162839071.1, plate25_C2_annotation_DAKCFMEO_02686	plate25_C2_annotation_DAKCFMEO_02701, DC3000_protein_12_2025_WP_011103873.1, DC3000_protein_12_2025_WP_011103871.1, plate25_C2_annotation_DAKCFMEO_02699
OG0000005	N0	n8	1.0	Non-Terminal	plate25_C2_annotation_DAKCFMEO_02701, DC3000_protein_12_2025_WP_011103873.1	DC3000_protein_12_2025_WP_011103871.1, plate25_C2_annotation_DAKCFMEO_02699
OG0000006	N0	n0	1.0	Non-Terminal	DC3000_protein_12_2025_WP_011104680.1, plate25_C2_annotation_DAKCFMEO_04480	plate25_C2_annotation_DAKCFMEO_04600, DC3000_protein_12_2025_WP_032643380.1, DC3000_protein_12_2025_WP_011103739.1, plate25_C2_annotation_DAKCFMEO_02437, plate25_C2_annotation_DAKCFMEO_03248, DC3000_protein_12_2025_WP_011103576.1, DC3000_protein_12_2025_WP_011105179.1, plate25_C2_annotation_DAKCFMEO_04484, plate25_C2_annotation_DAKCFMEO_03841, plate25_C2_annotation_DAKCFMEO_00848
OG0000006	N0	n2	1.0	Non-Terminal	plate25_C2_annotation_DAKCFMEO_04600, DC3000_protein_12_2025_WP_032643380.1	DC3000_protein_12_2025_WP_011103739.1, plate25_C2_annotation_DAKCFMEO_02437, plate25_C2_annotation_DAKCFMEO_03248, DC3000_protein_12_2025_WP_011103576.1, DC3000_protein_12_2025_WP_011105179.1, plate25_C2_annotation_DAKCFMEO_04484, plate25_C2_annotation_DAKCFMEO_03841, plate25_C2_annotation_DAKCFMEO_00848
OG0000006	N0	n4	1.0	Non-Terminal	DC3000_protein_12_2025_WP_011103739.1, plate25_C2_annotation_DAKCFMEO_02437	plate25_C2_annotation_DAKCFMEO_03248, DC3000_protein_12_2025_WP_011103576.1, DC3000_protein_12_2025_WP_011105179.1, plate25_C2_annotation_DAKCFMEO_04484, plate25_C2_annotation_DAKCFMEO_03841, plate25_C2_annotation_DAKCFMEO_00848
OG0000006	N0	n6	1.0	Non-Terminal	plate25_C2_annotation_DAKCFMEO_03248, DC3000_protein_12_2025_WP_011103576.1	DC3000_protein_12_2025_WP_011105179.1, plate25_C2_annotation_DAKCFMEO_04484, plate25_C2_annotation_DAKCFMEO_03841, plate25_C2_annotation_DAKCFMEO_00848
OG0000006	plate25.C2.annotation	n9	1.0	Terminal	plate25_C2_annotation_DAKCFMEO_04484, plate25_C2_annotation_DAKCFMEO_03841	plate25_C2_annotation_DAKCFMEO_00848
OG0000006	plate25.C2.annotation	n10	1.0	Terminal	plate25_C2_annotation_DAKCFMEO_04484	plate25_C2_annotation_DAKCFMEO_03841
OG0000007	N0	n0	1.0	Non-Terminal	DC3000_protein_12_2025_WP_046464036.1, plate25_C2_annotation_DAKCFMEO_02698	DC3000_protein_12_2025_WP_011104107.1, DC3000_protein_12_2025_WP_011105130.1, DC3000_protein_12_2025_WP_011105031.1, DC3000_protein_12_2025_WP_011103872.1, DC3000_protein_12_2025_WP_011105032.1, DC3000_protein_12_2025_WP_011105127.1, DC3000_protein_12_2025_WP_011104219.1, plate25_C2_annotation_DAKCFMEO_03820, DC3000_protein_12_2025_WP_011104220.1, plate25_C2_annotation_DAKCFMEO_03821
OG0000007	N0	n2	0.5	Non-Terminal	DC3000_protein_12_2025_WP_011104107.1, DC3000_protein_12_2025_WP_011105130.1	DC3000_protein_12_2025_WP_011105031.1, DC3000_protein_12_2025_WP_011103872.1, DC3000_protein_12_2025_WP_011105032.1, DC3000_protein_12_2025_WP_011105127.1, DC3000_protein_12_2025_WP_011104219.1, plate25_C2_annotation_DAKCFMEO_03820, DC3000_protein_12_2025_WP_011104220.1, plate25_C2_annotation_DAKCFMEO_03821
OG0000007	DC3000_protein_12_2025	n3	1.0	Terminal	DC3000_protein_12_2025_WP_011104107.1	DC3000_protein_12_2025_WP_011105130.1
OG0000007	N0	n4	0.5	Non-Terminal	DC3000_protein_12_2025_WP_011105031.1	DC3000_protein_12_2025_WP_011103872.1, DC3000_protein_12_2025_WP_011105032.1, DC3000_protein_12_2025_WP_011105127.1, DC3000_protein_12_2025_WP_011104219.1, plate25_C2_annotation_DAKCFMEO_03820, DC3000_protein_12_2025_WP_011104220.1, plate25_C2_annotation_DAKCFMEO_03821
OG0000007	N0	n5	0.5	Non-Terminal	DC3000_protein_12_2025_WP_011103872.1	DC3000_protein_12_2025_WP_011105032.1, DC3000_protein_12_2025_WP_011105127.1, DC3000_protein_12_2025_WP_011104219.1, plate25_C2_annotation_DAKCFMEO_03820, DC3000_protein_12_2025_WP_011104220.1, plate25_C2_annotation_DAKCFMEO_03821
OG0000007	N0	n6	0.5	Non-Terminal	DC3000_protein_12_2025_WP_011105032.1	DC3000_protein_12_2025_WP_011105127.1, DC3000_protein_12_2025_WP_011104219.1, plate25_C2_annotation_DAKCFMEO_03820, DC3000_protein_12_2025_WP_011104220.1, plate25_C2_annotation_DAKCFMEO_03821
OG0000007	N0	n7	0.5	Non-Terminal	DC3000_protein_12_2025_WP_011105127.1	DC3000_protein_12_2025_WP_011104219.1, plate25_C2_annotation_DAKCFMEO_03820, DC3000_protein_12_2025_WP_011104220.1, plate25_C2_annotation_DAKCFMEO_03821
OG0000007	N0	n8	1.0	Non-Terminal	DC3000_protein_12_2025_WP_011104219.1, plate25_C2_annotation_DAKCFMEO_03820	DC3000_protein_12_2025_WP_011104220.1, plate25_C2_annotation_DAKCFMEO_03821
OG0000008	N0	n0	1.0	Non-Terminal	plate25_C2_annotation_DAKCFMEO_00175, DC3000_protein_12_2025_WP_007246617.1	DC3000_protein_12_2025_WP_007246574.1, plate25_C2_annotation_DAKCFMEO_05254, plate25_C2_annotation_DAKCFMEO_00278, DC3000_protein_12_2025_WP_011104948.1, DC3000_protein_12_2025_WP_005763906.1, DC3000_protein_12_2025_WP_011103533.1, plate25_C2_annotation_DAKCFMEO_04031, plate25_C2_annotation_DAKCFMEO_01357, plate25_C2_annotation_DAKCFMEO_01489
OG0000008	N0	n2	1.0	Non-Terminal	DC3000_protein_12_2025_WP_007246574.1, plate25_C2_annotation_DAKCFMEO_05254	plate25_C2_annotation_DAKCFMEO_00278, DC3000_protein_12_2025_WP_011104948.1, DC3000_protein_12_2025_WP_005763906.1, DC3000_protein_12_2025_WP_011103533.1, plate25_C2_annotation_DAKCFMEO_04031, plate25_C2_annotation_DAKCFMEO_01357, plate25_C2_annotation_DAKCFMEO_01489
OG0000008	N0	n4	1.0	Non-Terminal	plate25_C2_annotation_DAKCFMEO_00278, DC3000_protein_12_2025_WP_011104948.1	DC3000_protein_12_2025_WP_005763906.1, DC3000_protein_12_2025_WP_011103533.1, plate25_C2_annotation_DAKCFMEO_04031, plate25_C2_annotation_DAKCFMEO_01357, plate25_C2_annotation_DAKCFMEO_01489
OG0000008	DC3000_protein_12_2025	n7	1.0	Terminal	DC3000_protein_12_2025_WP_005763906.1	DC3000_protein_12_2025_WP_011103533.1
OG0000008	plate25.C2.annotation	n8	1.0	Terminal	plate25_C2_annotation_DAKCFMEO_04031, plate25_C2_annotation_DAKCFMEO_01357	plate25_C2_annotation_DAKCFMEO_01489
OG0000008	plate25.C2.annotation	n9	1.0	Terminal	plate25_C2_annotation_DAKCFMEO_04031	plate25_C2_annotation_DAKCFMEO_01357
OG0000009	N0	n0	1.0	Non-Terminal	plate25_C2_annotation_DAKCFMEO_04763, DC3000_protein_12_2025_WP_011105057.1	plate25_C2_annotation_DAKCFMEO_04764, DC3000_protein_12_2025_WP_011105058.1, DC3000_protein_12_2025_WP_005769383.1, plate25_C2_annotation_DAKCFMEO_04767, plate25_C2_annotation_DAKCFMEO_01850, DC3000_protein_12_2025_WP_011102986.1, DC3000_protein_12_2025_WP_011104379.1, plate25_C2_annotation_DAKCFMEO_04765, DC3000_protein_12_2025_WP_011105059.1
OG0000009	N0	n2	1.0	Non-Terminal	plate25_C2_annotation_DAKCFMEO_04764, DC3000_protein_12_2025_WP_011105058.1	DC3000_protein_12_2025_WP_005769383.1, plate25_C2_annotation_DAKCFMEO_04767, plate25_C2_annotation_DAKCFMEO_01850, DC3000_protein_12_2025_WP_011102986.1, DC3000_protein_12_2025_WP_011104379.1, plate25_C2_annotation_DAKCFMEO_04765, DC3000_protein_12_2025_WP_011105059.1
OG0000009	N0	n4	1.0	Non-Terminal	DC3000_protein_12_2025_WP_005769383.1, plate25_C2_annotation_DAKCFMEO_04767, plate25_C2_annotation_DAKCFMEO_01850, DC3000_protein_12_2025_WP_011102986.1, DC3000_protein_12_2025_WP_011104379.1	plate25_C2_annotation_DAKCFMEO_04765, DC3000_protein_12_2025_WP_011105059.1
OG0000009	N0	n5	0.5	Non-Terminal	DC3000_protein_12_2025_WP_005769383.1, plate25_C2_annotation_DAKCFMEO_04767, plate25_C2_annotation_DAKCFMEO_01850, DC3000_protein_12_2025_WP_011102986.1	DC3000_protein_12_2025_WP_011104379.1
OG0000009	N0	n6	1.0	Non-Terminal	DC3000_protein_12_2025_WP_005769383.1, plate25_C2_annotation_DAKCFMEO_04767	plate25_C2_annotation_DAKCFMEO_01850, DC3000_protein_12_2025_WP_011102986.1
OG0000010	N0	n0	1.0	Non-Terminal	DC3000_protein_12_2025_WP_011104129.1, plate25_C2_annotation_DAKCFMEO_00966, plate25_C2_annotation_DAKCFMEO_02949	DC3000_protein_12_2025_WP_003382360.1, plate25_C2_annotation_DAKCFMEO_02150, plate25_C2_annotation_DAKCFMEO_02992, DC3000_protein_12_2025_WP_005764042.1, DC3000_protein_12_2025_WP_002554192.1, plate25_C2_annotation_DAKCFMEO_02661, plate25_C2_annotation_DAKCFMEO_04561
OG0000010	plate25.C2.annotation	n2	1.0	Terminal	plate25_C2_annotation_DAKCFMEO_00966	plate25_C2_annotation_DAKCFMEO_02949
OG0000010	N0	n3	1.0	Non-Terminal	DC3000_protein_12_2025_WP_003382360.1, plate25_C2_annotation_DAKCFMEO_02150	plate25_C2_annotation_DAKCFMEO_02992, DC3000_protein_12_2025_WP_005764042.1, DC3000_protein_12_2025_WP_002554192.1, plate25_C2_annotation_DAKCFMEO_02661, plate25_C2_annotation_DAKCFMEO_04561
OG0000010	N0	n5	1.0	Non-Terminal	plate25_C2_annotation_DAKCFMEO_02992, DC3000_protein_12_2025_WP_005764042.1	DC3000_protein_12_2025_WP_002554192.1, plate25_C2_annotation_DAKCFMEO_02661, plate25_C2_annotation_DAKCFMEO_04561
OG0000010	plate25.C2.annotation	n8	1.0	Terminal	plate25_C2_annotation_DAKCFMEO_02661	plate25_C2_annotation_DAKCFMEO_04561
OG0000011	N0	n0	1.0	Non-Terminal	DC3000_protein_12_2025_WP_011105342.1, plate25_C2_annotation_DAKCFMEO_05084	plate25_C2_annotation_DAKCFMEO_01223, DC3000_protein_12_2025_WP_007244964.1, plate25_C2_annotation_DAKCFMEO_01726, DC3000_protein_12_2025_WP_046463739.1, plate25_C2_annotation_DAKCFMEO_01032, DC3000_protein_12_2025_WP_046463299.1, plate25_C2_annotation_DAKCFMEO_05085, DC3000_protein_12_2025_WP_011105343.1
OG0000011	N0	n2	1.0	Non-Terminal	plate25_C2_annotation_DAKCFMEO_01223, DC3000_protein_12_2025_WP_007244964.1, plate25_C2_annotation_DAKCFMEO_01726, DC3000_protein_12_2025_WP_046463739.1, plate25_C2_annotation_DAKCFMEO_01032, DC3000_protein_12_2025_WP_046463299.1	plate25_C2_annotation_DAKCFMEO_05085, DC3000_protein_12_2025_WP_011105343.1
OG0000011	N0	n3	1.0	Non-Terminal	plate25_C2_annotation_DAKCFMEO_01223, DC3000_protein_12_2025_WP_007244964.1, plate25_C2_annotation_DAKCFMEO_01726, DC3000_protein_12_2025_WP_046463739.1	plate25_C2_annotation_DAKCFMEO_01032, DC3000_protein_12_2025_WP_046463299.1
OG0000011	N0	n4	1.0	Non-Terminal	plate25_C2_annotation_DAKCFMEO_01223, DC3000_protein_12_2025_WP_007244964.1	plate25_C2_annotation_DAKCFMEO_01726, DC3000_protein_12_2025_WP_046463739.1
OG0000012	N0	n0	1.0	Non-Terminal	DC3000_protein_12_2025_WP_011104743.1, plate25_C2_annotation_DAKCFMEO_04250	plate25_C2_annotation_DAKCFMEO_04450, DC3000_protein_12_2025_WP_011105318.1, DC3000_protein_12_2025_WP_005765463.1, DC3000_protein_12_2025_WP_011105119.1, DC3000_protein_12_2025_WP_011105122.1, DC3000_protein_12_2025_WP_057443300.1, DC3000_protein_12_2025_WP_011104106.1
OG0000012	DC3000_protein_12_2025	n3	1.0	Terminal	DC3000_protein_12_2025_WP_011105318.1	DC3000_protein_12_2025_WP_005765463.1, DC3000_protein_12_2025_WP_011105119.1, DC3000_protein_12_2025_WP_011105122.1, DC3000_protein_12_2025_WP_057443300.1, DC3000_protein_12_2025_WP_011104106.1
OG0000012	DC3000_protein_12_2025	n4	1.0	Terminal	DC3000_protein_12_2025_WP_005765463.1	DC3000_protein_12_2025_WP_011105119.1, DC3000_protein_12_2025_WP_011105122.1, DC3000_protein_12_2025_WP_057443300.1, DC3000_protein_12_2025_WP_011104106.1
OG0000012	DC3000_protein_12_2025	n5	1.0	Terminal	DC3000_protein_12_2025_WP_011105119.1	DC3000_protein_12_2025_WP_011105122.1, DC3000_protein_12_2025_WP_057443300.1, DC3000_protein_12_2025_WP_011104106.1
OG0000012	DC3000_protein_12_2025	n6	1.0	Terminal	DC3000_protein_12_2025_WP_011105122.1, DC3000_protein_12_2025_WP_057443300.1	DC3000_protein_12_2025_WP_011104106.1
OG0000012	DC3000_protein_12_2025	n7	1.0	Terminal	DC3000_protein_12_2025_WP_011105122.1	DC3000_protein_12_2025_WP_057443300.1
OG0000013	N0	n0	1.0	Non-Terminal	DC3000_protein_12_2025_WP_011105383.1, plate25_C2_annotation_DAKCFMEO_01966	plate25_C2_annotation_DAKCFMEO_05213, DC3000_protein_12_2025_WP_011103512.1, DC3000_protein_12_2025_WP_005767792.1, plate25_C2_annotation_DAKCFMEO_05243, plate25_C2_annotation_DAKCFMEO_04438, plate25_C2_annotation_DAKCFMEO_04382, plate25_C2_annotation_DAKCFMEO_03933
OG0000013	N0	n2	1.0	Non-Terminal	plate25_C2_annotation_DAKCFMEO_05213, DC3000_protein_12_2025_WP_011103512.1	DC3000_protein_12_2025_WP_005767792.1, plate25_C2_annotation_DAKCFMEO_05243, plate25_C2_annotation_DAKCFMEO_04438, plate25_C2_annotation_DAKCFMEO_04382, plate25_C2_annotation_DAKCFMEO_03933
OG0000013	plate25.C2.annotation	n5	1.0	Terminal	plate25_C2_annotation_DAKCFMEO_05243	plate25_C2_annotation_DAKCFMEO_04438, plate25_C2_annotation_DAKCFMEO_04382, plate25_C2_annotation_DAKCFMEO_03933
OG0000013	plate25.C2.annotation	n6	1.0	Terminal	plate25_C2_annotation_DAKCFMEO_04438, plate25_C2_annotation_DAKCFMEO_04382	plate25_C2_annotation_DAKCFMEO_03933
OG0000013	plate25.C2.annotation	n7	1.0	Terminal	plate25_C2_annotation_DAKCFMEO_04438	plate25_C2_annotation_DAKCFMEO_04382
OG0000014	N0	n0	1.0	Non-Terminal	DC3000_protein_12_2025_WP_011104382.1, plate25_C2_annotation_DAKCFMEO_03805, plate25_C2_annotation_DAKCFMEO_04771	DC3000_protein_12_2025_WP_011103058.1, plate25_C2_annotation_DAKCFMEO_02034, plate25_C2_annotation_DAKCFMEO_04030, DC3000_protein_12_2025_WP_011104339.1, DC3000_protein_12_2025_WP_005770761.1, plate25_C2_annotation_DAKCFMEO_04356
OG0000014	plate25.C2.annotation	n2	1.0	Terminal	plate25_C2_annotation_DAKCFMEO_03805	plate25_C2_annotation_DAKCFMEO_04771
OG0000014	N0	n3	1.0	Non-Terminal	DC3000_protein_12_2025_WP_011103058.1, plate25_C2_annotation_DAKCFMEO_02034, plate25_C2_annotation_DAKCFMEO_04030, DC3000_protein_12_2025_WP_011104339.1	DC3000_protein_12_2025_WP_005770761.1, plate25_C2_annotation_DAKCFMEO_04356
OG0000014	N0	n4	1.0	Non-Terminal	DC3000_protein_12_2025_WP_011103058.1, plate25_C2_annotation_DAKCFMEO_02034	plate25_C2_annotation_DAKCFMEO_04030, DC3000_protein_12_2025_WP_011104339.1
OG0000015	N0	n0	1.0	Non-Terminal	plate25_C2_annotation_DAKCFMEO_00963, DC3000_protein_12_2025_WP_011104104.1	DC3000_protein_12_2025_WP_005894383.1, plate25_C2_annotation_DAKCFMEO_02100, plate25_C2_annotation_DAKCFMEO_00056, DC3000_protein_12_2025_WP_011104874.1, plate25_C2_annotation_DAKCFMEO_00086, DC3000_protein_12_2025_WP_011104873.1, plate25_C2_annotation_DAKCFMEO_00085
OG0000015	N0	n2	1.0	Non-Terminal	DC3000_protein_12_2025_WP_005894383.1, plate25_C2_annotation_DAKCFMEO_02100, plate25_C2_annotation_DAKCFMEO_00056	DC3000_protein_12_2025_WP_011104874.1, plate25_C2_annotation_DAKCFMEO_00086, DC3000_protein_12_2025_WP_011104873.1, plate25_C2_annotation_DAKCFMEO_00085
OG0000015	plate25.C2.annotation	n4	1.0	Terminal	plate25_C2_annotation_DAKCFMEO_02100	plate25_C2_annotation_DAKCFMEO_00056
OG0000015	N0	n5	1.0	Non-Terminal	DC3000_protein_12_2025_WP_011104874.1, plate25_C2_annotation_DAKCFMEO_00086	DC3000_protein_12_2025_WP_011104873.1, plate25_C2_annotation_DAKCFMEO_00085
OG0000016	N0	n0	1.0	Non-Terminal	plate25_C2_annotation_DAKCFMEO_04042, DC3000_protein_12_2025_WP_005764458.1	DC3000_protein_12_2025_WP_005738213.1, plate25_C2_annotation_DAKCFMEO_03893, plate25_C2_annotation_DAKCFMEO_04650, plate25_C2_annotation_DAKCFMEO_01238, plate25_C2_annotation_DAKCFMEO_01341, plate25_C2_annotation_DAKCFMEO_01407
OG0000016	plate25.C2.annotation	n3	1.0	Terminal	plate25_C2_annotation_DAKCFMEO_03893, plate25_C2_annotation_DAKCFMEO_04650, plate25_C2_annotation_DAKCFMEO_01238	plate25_C2_annotation_DAKCFMEO_01341, plate25_C2_annotation_DAKCFMEO_01407
OG0000016	plate25.C2.annotation	n4	1.0	Terminal	plate25_C2_annotation_DAKCFMEO_03893	plate25_C2_annotation_DAKCFMEO_04650, plate25_C2_annotation_DAKCFMEO_01238
OG0000016	plate25.C2.annotation	n5	1.0	Terminal	plate25_C2_annotation_DAKCFMEO_04650	plate25_C2_annotation_DAKCFMEO_01238
OG0000016	plate25.C2.annotation	n6	1.0	Terminal	plate25_C2_annotation_DAKCFMEO_01341	plate25_C2_annotation_DAKCFMEO_01407
OG0000017	N0	n0	1.0	Non-Terminal	plate25_C2_annotation_DAKCFMEO_00588, plate25_C2_annotation_DAKCFMEO_03879, DC3000_protein_12_2025_WP_005764287.1	DC3000_protein_12_2025_WP_007246985.1, plate25_C2_annotation_DAKCFMEO_04733, DC3000_protein_12_2025_WP_007246046.1, plate25_C2_annotation_DAKCFMEO_04571, plate25_C2_annotation_DAKCFMEO_02438
OG0000017	plate25.C2.annotation	n2	1.0	Terminal	plate25_C2_annotation_DAKCFMEO_00588	plate25_C2_annotation_DAKCFMEO_03879
OG0000017	N0	n3	1.0	Non-Terminal	DC3000_protein_12_2025_WP_007246985.1, plate25_C2_annotation_DAKCFMEO_04733	DC3000_protein_12_2025_WP_007246046.1, plate25_C2_annotation_DAKCFMEO_04571, plate25_C2_annotation_DAKCFMEO_02438
OG0000017	plate25.C2.annotation	n6	1.0	Terminal	plate25_C2_annotation_DAKCFMEO_04571	plate25_C2_annotation_DAKCFMEO_02438
OG0000018	N0	n0	1.0	Non-Terminal	DC3000_protein_12_2025_WP_046463882.1, plate25_C2_annotation_DAKCFMEO_05133	DC3000_protein_12_2025_WP_011104006.1, plate25_C2_annotation_DAKCFMEO_03996, DC3000_protein_12_2025_WP_005764602.1, plate25_C2_annotation_DAKCFMEO_05134, DC3000_protein_12_2025_WP_011104007.1, DC3000_protein_12_2025_WP_011105351.1
OG0000018	N0	n2	0.5	Non-Terminal	DC3000_protein_12_2025_WP_011104006.1	plate25_C2_annotation_DAKCFMEO_03996, DC3000_protein_12_2025_WP_005764602.1, plate25_C2_annotation_DAKCFMEO_05134, DC3000_protein_12_2025_WP_011104007.1, DC3000_protein_12_2025_WP_011105351.1
OG0000018	N0	n3	1.0	Non-Terminal	plate25_C2_annotation_DAKCFMEO_03996, DC3000_protein_12_2025_WP_005764602.1	plate25_C2_annotation_DAKCFMEO_05134, DC3000_protein_12_2025_WP_011104007.1, DC3000_protein_12_2025_WP_011105351.1
OG0000018	DC3000_protein_12_2025	n6	1.0	Terminal	DC3000_protein_12_2025_WP_011104007.1	DC3000_protein_12_2025_WP_011105351.1
OG0000019	N0	n0	1.0	Non-Terminal	DC3000_protein_12_2025_WP_011104980.1, plate25_C2_annotation_DAKCFMEO_00342	plate25_C2_annotation_DAKCFMEO_04064, DC3000_protein_12_2025_WP_011104924.1, plate25_C2_annotation_DAKCFMEO_04423, DC3000_protein_12_2025_WP_011104372.1, DC3000_protein_12_2025_WP_005767796.1, plate25_C2_annotation_DAKCFMEO_03538
OG0000019	N0	n2	1.0	Non-Terminal	plate25_C2_annotation_DAKCFMEO_04064, DC3000_protein_12_2025_WP_011104924.1	plate25_C2_annotation_DAKCFMEO_04423, DC3000_protein_12_2025_WP_011104372.1, DC3000_protein_12_2025_WP_005767796.1, plate25_C2_annotation_DAKCFMEO_03538
