"p25_DAK","DC3000","Orthogroup_Match"
"DAKCFMEO_00171","WP_004396522.1",TRUE
"DAKCFMEO_02384","WP_004396544.1",TRUE
"DAKCFMEO_02387","WP_004396551.1",TRUE
"DAKCFMEO_02389","WP_004396553.1",TRUE
"DAKCFMEO_02390","WP_004396554.1",TRUE
"DAKCFMEO_03532","WP_004397026.1",TRUE
"DAKCFMEO_03510","WP_004397049.1",TRUE
"DAKCFMEO_03507","WP_004397052.1",TRUE
"DAKCFMEO_03503","WP_004397077.1",TRUE
"DAKCFMEO_03501","WP_004397078.1",TRUE
"DAKCFMEO_03498","WP_004397081.1",TRUE
"DAKCFMEO_05209","WP_004397145.1",TRUE
"DAKCFMEO_05201","WP_004397172.1",TRUE
"DAKCFMEO_05192","WP_004397208.1",TRUE
"DAKCFMEO_00577","WP_004397257.1",TRUE
"DAKCFMEO_03153","WP_004397570.1",TRUE
"DAKCFMEO_03161","WP_004397588.1",TRUE
"DAKCFMEO_03164","WP_004397594.1",TRUE
"DAKCFMEO_02349","WP_004397843.1",TRUE
"DAKCFMEO_02346","WP_004397849.1",TRUE
"DAKCFMEO_02817","WP_004407132.1",TRUE
"DAKCFMEO_01862","WP_004655323.1",TRUE
"DAKCFMEO_01677","WP_004656644.1",TRUE
"DAKCFMEO_02347","WP_004657364.1",TRUE
"DAKCFMEO_04206","WP_004879420.1",TRUE
"DAKCFMEO_02882","WP_004880039.1",TRUE
"DAKCFMEO_01246","WP_004882435.1",TRUE
"DAKCFMEO_03511","WP_004883670.1",TRUE
"DAKCFMEO_01830","WP_005613236.1",TRUE
"DAKCFMEO_01831","WP_005613239.1",TRUE
"DAKCFMEO_01842","WP_005613323.1",TRUE
"DAKCFMEO_02227","WP_005613459.1",TRUE
"DAKCFMEO_01251","WP_005613564.1",TRUE
"DAKCFMEO_01998","WP_005613652.1",TRUE
"DAKCFMEO_01999","WP_005613653.1",TRUE
"DAKCFMEO_02045","WP_005613713.1",TRUE
"DAKCFMEO_02184","WP_005613805.1",TRUE
"DAKCFMEO_02187","WP_005613810.1",TRUE
"DAKCFMEO_02178","WP_005613930.1",TRUE
"DAKCFMEO_05025","WP_005613956.1",TRUE
"DAKCFMEO_05023","WP_005613959.1",TRUE
"DAKCFMEO_02950","WP_005613972.1",TRUE
"DAKCFMEO_02911","WP_005614032.1",TRUE
"DAKCFMEO_02910","WP_005614033.1",TRUE
"DAKCFMEO_02870","WP_005614111.1",TRUE
"DAKCFMEO_02867","WP_005614128.1",TRUE
"DAKCFMEO_02866","WP_005614129.1",TRUE
"DAKCFMEO_02826","WP_005614160.1",TRUE
"DAKCFMEO_02809","WP_005614181.1",TRUE
"DAKCFMEO_02804","WP_005614190.1",TRUE
"DAKCFMEO_02799","WP_005614195.1",TRUE
"DAKCFMEO_03534","WP_005614296.1",TRUE
"DAKCFMEO_03561","WP_005614373.1",TRUE
"DAKCFMEO_03583","WP_005614429.1",TRUE
"DAKCFMEO_03672","WP_005614458.1",TRUE
"DAKCFMEO_03685","WP_005614495.1",TRUE
"DAKCFMEO_03687","WP_005614499.1",TRUE
"DAKCFMEO_00517","WP_005614629.1",TRUE
"DAKCFMEO_00511","WP_005614782.1",TRUE
"DAKCFMEO_00487","WP_005614818.1",TRUE
"DAKCFMEO_01660","WP_005614892.1",TRUE
"DAKCFMEO_01652","WP_005614914.1",TRUE
"DAKCFMEO_01646","WP_005614924.1",TRUE
"DAKCFMEO_01744","WP_005615033.1",TRUE
"DAKCFMEO_03438","WP_005615192.1",TRUE
"DAKCFMEO_02752","WP_005615366.1",TRUE
"DAKCFMEO_02736","WP_005615404.1",TRUE
"DAKCFMEO_03294","WP_005615457.1",TRUE
"DAKCFMEO_02980","WP_005615493.1",TRUE
"DAKCFMEO_02989","WP_005615514.1",TRUE
"DAKCFMEO_03009","WP_005615570.1",TRUE
"DAKCFMEO_01769","WP_005615650.1",TRUE
"DAKCFMEO_01462","WP_005615731.1",TRUE
"DAKCFMEO_03344","WP_005615771.1",TRUE
"DAKCFMEO_03272","WP_005615845.1",TRUE
"DAKCFMEO_03211","WP_005615949.1",TRUE
"DAKCFMEO_03199","WP_005615972.1",TRUE
"DAKCFMEO_03168","WP_005616022.1",TRUE
"DAKCFMEO_03159","WP_005616037.1",TRUE
"DAKCFMEO_03156","WP_005616041.1",TRUE
"DAKCFMEO_03126","WP_005616090.1",TRUE
"DAKCFMEO_00054","WP_005616197.1",TRUE
"DAKCFMEO_00036","WP_005616222.1",TRUE
"DAKCFMEO_02260","WP_005616363.1",TRUE
"DAKCFMEO_02264","WP_005616372.1",TRUE
"DAKCFMEO_02270","WP_005616381.1",TRUE
"DAKCFMEO_02314","WP_005616461.1",TRUE
"DAKCFMEO_02316","WP_005616463.1",TRUE
"DAKCFMEO_04502","WP_005616592.1",TRUE
"DAKCFMEO_04514","WP_005616608.1",TRUE
"DAKCFMEO_02396","WP_005616613.1",TRUE
"DAKCFMEO_02499","WP_005616754.1",TRUE
"DAKCFMEO_02532","WP_005616835.1",TRUE
"DAKCFMEO_02544","WP_005616857.1",TRUE
"DAKCFMEO_02613","WP_005616977.1",TRUE
"DAKCFMEO_02626","WP_005617003.1",TRUE
"DAKCFMEO_02631","WP_005617011.1",TRUE
"DAKCFMEO_00820","WP_005617091.1",TRUE
"DAKCFMEO_02681","WP_005617102.1",TRUE
"DAKCFMEO_02683","WP_005617103.1",TRUE
"DAKCFMEO_00627","WP_005617237.1",TRUE
"DAKCFMEO_00651","WP_005617294.1",TRUE
"DAKCFMEO_02625","WP_005617305.1",TRUE
"DAKCFMEO_00706","WP_005617338.1",TRUE
"DAKCFMEO_00717","WP_005617359.1",TRUE
"DAKCFMEO_00720","WP_005617365.1",TRUE
"DAKCFMEO_00779","WP_005617455.1",TRUE
"DAKCFMEO_00792","WP_005617470.1",TRUE
"DAKCFMEO_00835","WP_005617488.1",TRUE
"DAKCFMEO_00903","WP_005617534.1",TRUE
"DAKCFMEO_01351","WP_005617589.1",TRUE
"DAKCFMEO_01337","WP_005617613.1",TRUE
"DAKCFMEO_01382","WP_005617711.1",TRUE
"DAKCFMEO_01378","WP_005617714.1",TRUE
"DAKCFMEO_01033","WP_005617775.1",TRUE
"DAKCFMEO_00663","WP_005618719.1",TRUE
"DAKCFMEO_01409","WP_005618859.1",TRUE
"DAKCFMEO_01450","WP_005618920.1",TRUE
"DAKCFMEO_01507","WP_005618952.1",TRUE
"DAKCFMEO_01532","WP_005619059.1",TRUE
"DAKCFMEO_01541","WP_005619067.1",TRUE
"DAKCFMEO_04691","WP_005619235.1",TRUE
"DAKCFMEO_04591","WP_005619360.1",TRUE
"DAKCFMEO_04553","WP_005619395.1",TRUE
"DAKCFMEO_04377","WP_005619515.1",TRUE
"DAKCFMEO_04264","WP_005619689.1",TRUE
"DAKCFMEO_04240","WP_005619727.1",TRUE
"DAKCFMEO_04153","WP_005619831.1",TRUE
"DAKCFMEO_04162","WP_005619852.1",TRUE
"DAKCFMEO_04476","WP_005619903.1",TRUE
"DAKCFMEO_00075","WP_005619926.1",TRUE
"DAKCFMEO_00110","WP_005619982.1",TRUE
"DAKCFMEO_00112","WP_005619985.1",TRUE
"DAKCFMEO_00155","WP_005620033.1",TRUE
"DAKCFMEO_00212","WP_005620091.1",TRUE
"DAKCFMEO_00219","WP_005620106.1",TRUE
"DAKCFMEO_00297","WP_005620205.1",TRUE
"DAKCFMEO_00299","WP_005620206.1",TRUE
"DAKCFMEO_00375","WP_005620274.1",TRUE
"DAKCFMEO_00405","WP_005620303.1",TRUE
"DAKCFMEO_00409","WP_005620308.1",TRUE
"DAKCFMEO_00422","WP_005620321.1",TRUE
"DAKCFMEO_00437","WP_005620333.1",TRUE
"DAKCFMEO_00442","WP_005620338.1",TRUE
"DAKCFMEO_01683","WP_005620402.1",TRUE
"DAKCFMEO_01691","WP_005620411.1",TRUE
"DAKCFMEO_01704","WP_005620437.1",TRUE
"DAKCFMEO_01808","WP_005620479.1",TRUE
"DAKCFMEO_04814","WP_005620645.1",TRUE
"DAKCFMEO_04868","WP_005620804.1",TRUE
"DAKCFMEO_04870","WP_005620808.1",TRUE
"DAKCFMEO_04879","WP_005620823.1",TRUE
"DAKCFMEO_04882","WP_005620859.1",TRUE
"DAKCFMEO_04982","WP_005620970.1",TRUE
"DAKCFMEO_04999","WP_005621029.1",TRUE
"DAKCFMEO_05016","WP_005621066.1",TRUE
"DAKCFMEO_05100","WP_005621194.1",TRUE
"DAKCFMEO_05062","WP_005621218.1",TRUE
"DAKCFMEO_01973","WP_005621372.1",TRUE
"DAKCFMEO_01949","WP_005621407.1",TRUE
"DAKCFMEO_05199","WP_005621582.1",TRUE
"DAKCFMEO_05200","WP_005621585.1",TRUE
"DAKCFMEO_01577","WP_005621857.1",TRUE
"DAKCFMEO_01550","WP_005621919.1",TRUE
"DAKCFMEO_02399","WP_005731386.1",TRUE
"DAKCFMEO_03157","WP_005736179.1",TRUE
"DAKCFMEO_03167","WP_005736188.1",TRUE
"DAKCFMEO_03330","WP_005736309.1",TRUE
"DAKCFMEO_02982","WP_005736419.1",TRUE
"DAKCFMEO_02978","WP_005736422.1",TRUE
"DAKCFMEO_02726","WP_005736458.1",TRUE
"DAKCFMEO_02790","WP_005736511.1",TRUE
"DAKCFMEO_03376","WP_005736521.1",TRUE
"DAKCFMEO_03402","WP_005736538.1",TRUE
"DAKCFMEO_03409","WP_005736543.1",TRUE
"DAKCFMEO_03417","WP_005736551.1",TRUE
"DAKCFMEO_03426","WP_005736559.1",TRUE
"DAKCFMEO_00546","WP_005736691.1",TRUE
"DAKCFMEO_03607","WP_005736753.1",TRUE
"DAKCFMEO_04867","WP_005736842.1",TRUE
"DAKCFMEO_04891","WP_005736856.1",TRUE
"DAKCFMEO_04926","WP_005736885.1",TRUE
"DAKCFMEO_04936","WP_005736892.1",TRUE
"DAKCFMEO_05004","WP_005736950.1",TRUE
"DAKCFMEO_05007","WP_005736951.1",TRUE
"DAKCFMEO_05008","WP_005736952.1",TRUE
"DAKCFMEO_05147","WP_005737007.1",TRUE
"DAKCFMEO_01959","WP_005737044.1",TRUE
"DAKCFMEO_02024","WP_005737104.1",TRUE
"DAKCFMEO_05225","WP_005737150.1",TRUE
"DAKCFMEO_05227","WP_005737152.1",TRUE
"DAKCFMEO_05112","WP_005737390.1",TRUE
"DAKCFMEO_02139","WP_005737391.1",TRUE
"DAKCFMEO_04963","WP_005737430.1",TRUE
"DAKCFMEO_05041","WP_005737440.1",TRUE
"DAKCFMEO_04972","WP_005737465.1",TRUE
"DAKCFMEO_01187","WP_005737718.1",TRUE
"DAKCFMEO_01121","WP_005737770.1",TRUE
"DAKCFMEO_04094","WP_005737860.1",TRUE
"DAKCFMEO_04021","WP_005737926.1",TRUE
"DAKCFMEO_04019","WP_005737927.1",TRUE
"DAKCFMEO_00769","WP_005737978.1",TRUE
"DAKCFMEO_00738","WP_005738001.1",TRUE
"DAKCFMEO_00693","WP_005738027.1",TRUE
"DAKCFMEO_00643","WP_005738085.1",TRUE
"DAKCFMEO_00610","WP_005738107.1",TRUE
"DAKCFMEO_01407","WP_005738213.1",TRUE
"DAKCFMEO_02632","WP_005738376.1",TRUE
"DAKCFMEO_01381","WP_005738493.1",TRUE
"DAKCFMEO_01933","WP_005738602.1",TRUE
"DAKCFMEO_00773","WP_005738807.1",TRUE
"DAKCFMEO_00811","WP_005738829.1",TRUE
"DAKCFMEO_02254","WP_005739010.1",TRUE
"DAKCFMEO_02244","WP_005739017.1",TRUE
"DAKCFMEO_00403","WP_005739040.1",TRUE
"DAKCFMEO_00431","WP_005739059.1",TRUE
"DAKCFMEO_01687","WP_005739097.1",TRUE
"DAKCFMEO_00149","WP_005739136.1",TRUE
"DAKCFMEO_00233","WP_005739198.1",TRUE
"DAKCFMEO_03977","WP_005739341.1",TRUE
"DAKCFMEO_03950","WP_005739372.1",TRUE
"DAKCFMEO_00284","WP_005739483.1",TRUE
"DAKCFMEO_00366","WP_005739535.1",TRUE
"DAKCFMEO_05067","WP_005739559.1",TRUE
"DAKCFMEO_02180","WP_005739631.1",TRUE
"DAKCFMEO_01571","WP_005739655.1",TRUE
"DAKCFMEO_01220","WP_005739694.1",TRUE
"DAKCFMEO_04125","WP_005739770.1",TRUE
"DAKCFMEO_02832","WP_005739807.1",TRUE
"DAKCFMEO_02842","WP_005739815.1",TRUE
"DAKCFMEO_02039","WP_005739842.1",TRUE
"DAKCFMEO_02036","WP_005739846.1",TRUE
"DAKCFMEO_01910","WP_005739890.1",TRUE
"DAKCFMEO_01907","WP_005739893.1",TRUE
"DAKCFMEO_04331","WP_005740056.1",TRUE
"DAKCFMEO_04335","WP_005740060.1",TRUE
"DAKCFMEO_04339","WP_005740065.1",TRUE
"DAKCFMEO_00089","WP_005740131.1",TRUE
"DAKCFMEO_00088","WP_005740134.1",TRUE
"DAKCFMEO_04478","WP_005740210.1",TRUE
"DAKCFMEO_02675","WP_005740380.1",TRUE
"DAKCFMEO_00047","WP_005740539.1",TRUE
"DAKCFMEO_04512","WP_005740596.1",TRUE
"DAKCFMEO_04508","WP_005740602.1",TRUE
"DAKCFMEO_04505","WP_005740605.1",TRUE
"DAKCFMEO_04745","WP_005760598.1",TRUE
"DAKCFMEO_01549","WP_005760695.1",TRUE
"DAKCFMEO_04275","WP_005760710.1",TRUE
"DAKCFMEO_03819","WP_005762368.1",TRUE
"DAKCFMEO_03807","WP_005762396.1",TRUE
"DAKCFMEO_03803","WP_005762406.1",TRUE
"DAKCFMEO_03802","WP_005762408.1",TRUE
"DAKCFMEO_03800","WP_005762416.1",TRUE
"DAKCFMEO_03792","WP_005762418.1",TRUE
"DAKCFMEO_03778","WP_005762447.1",TRUE
"DAKCFMEO_03771","WP_005762461.1",TRUE
"DAKCFMEO_03770","WP_005762465.1",TRUE
"DAKCFMEO_03767","WP_005762472.1",TRUE
"DAKCFMEO_03766","WP_005762474.1",TRUE
"DAKCFMEO_03765","WP_005762476.1",TRUE
"DAKCFMEO_03764","WP_005762478.1",TRUE
"DAKCFMEO_03759","WP_005762486.1",TRUE
"DAKCFMEO_03758","WP_005762487.1",TRUE
"DAKCFMEO_03754","WP_005762491.1",TRUE
"DAKCFMEO_03740","WP_005762514.1",TRUE
"DAKCFMEO_03735","WP_005762525.1",TRUE
"DAKCFMEO_03730","WP_005762534.1",TRUE
"DAKCFMEO_03726","WP_005762543.1",TRUE
"DAKCFMEO_03725","WP_005762545.1",TRUE
"DAKCFMEO_03722","WP_005762555.1",TRUE
"DAKCFMEO_03716","WP_005762564.1",TRUE
"DAKCFMEO_03712","WP_005762569.1",TRUE
"DAKCFMEO_03709","WP_005762572.1",TRUE
"DAKCFMEO_01193","WP_005762574.1",TRUE
"DAKCFMEO_01192","WP_005762577.1",TRUE
"DAKCFMEO_01190","WP_005762579.1",TRUE
"DAKCFMEO_01189","WP_005762581.1",TRUE
"DAKCFMEO_01186","WP_005762586.1",TRUE
"DAKCFMEO_01177","WP_005762602.1",TRUE
"DAKCFMEO_01176","WP_005762604.1",TRUE
"DAKCFMEO_01172","WP_005762606.1",TRUE
"DAKCFMEO_01171","WP_005762608.1",TRUE
"DAKCFMEO_01166","WP_005762615.1",TRUE
"DAKCFMEO_01165","WP_005762617.1",TRUE
"DAKCFMEO_01164","WP_005762619.1",TRUE
"DAKCFMEO_01163","WP_005762621.1",TRUE
"DAKCFMEO_01161","WP_005762626.1",TRUE
"DAKCFMEO_01159","WP_005762628.1",TRUE
"DAKCFMEO_04398","WP_005762629.1",TRUE
"DAKCFMEO_01125","WP_005762644.1",TRUE
"DAKCFMEO_01124","WP_005762646.1",TRUE
"DAKCFMEO_01114","WP_005762667.1",TRUE
"DAKCFMEO_01109","WP_005762680.1",TRUE
"DAKCFMEO_01107","WP_005762682.1",TRUE
"DAKCFMEO_01105","WP_005762684.1",TRUE
"DAKCFMEO_01102","WP_005762690.1",TRUE
"DAKCFMEO_01099","WP_005762697.1",TRUE
"DAKCFMEO_01098","WP_005762699.1",TRUE
"DAKCFMEO_01096","WP_005762701.1",TRUE
"DAKCFMEO_01095","WP_005762703.1",TRUE
"DAKCFMEO_01092","WP_005762709.1",TRUE
"DAKCFMEO_01091","WP_005762712.1",TRUE
"DAKCFMEO_01041","WP_005762776.1",TRUE
"DAKCFMEO_01036","WP_005762782.1",TRUE
"DAKCFMEO_01035","WP_005762784.1",TRUE
"DAKCFMEO_01108","WP_005762801.1",TRUE
"DAKCFMEO_01623","WP_005762812.1",TRUE
"DAKCFMEO_00885","WP_005762856.1",TRUE
"DAKCFMEO_00883","WP_005762859.1",TRUE
"DAKCFMEO_00880","WP_005762863.1",TRUE
"DAKCFMEO_00879","WP_005762866.1",TRUE
"DAKCFMEO_00878","WP_005762867.1",TRUE
"DAKCFMEO_00876","WP_005762869.1",TRUE
"DAKCFMEO_01380","WP_005762877.1",TRUE
"DAKCFMEO_01383","WP_005762883.1",TRUE
"DAKCFMEO_01384","WP_005762885.1",TRUE
"DAKCFMEO_01385","WP_005762887.1",TRUE
"DAKCFMEO_01386","WP_005762889.1",TRUE
"DAKCFMEO_01388","WP_005762891.1",TRUE
"DAKCFMEO_04987","WP_005762940.1",TRUE
"DAKCFMEO_04986","WP_005762942.1",TRUE
"DAKCFMEO_04985","WP_005762944.1",TRUE
"DAKCFMEO_04983","WP_005762949.1",TRUE
"DAKCFMEO_04981","WP_005762952.1",TRUE
"DAKCFMEO_04979","WP_005762954.1",TRUE
"DAKCFMEO_04978","WP_005762956.1",TRUE
"DAKCFMEO_04955","WP_005762959.1",TRUE
"DAKCFMEO_04949","WP_005762965.1",TRUE
"DAKCFMEO_04943","WP_005762970.1",TRUE
"DAKCFMEO_04940","WP_005762973.1",TRUE
"DAKCFMEO_04938","WP_005762975.1",TRUE
"DAKCFMEO_04932","WP_005762979.1",TRUE
"DAKCFMEO_04929","WP_005762981.1",TRUE
"DAKCFMEO_04911","WP_005762992.1",TRUE
"DAKCFMEO_04903","WP_005763001.1",TRUE
"DAKCFMEO_04902","WP_005763003.1",TRUE
"DAKCFMEO_04901","WP_005763005.1",TRUE
"DAKCFMEO_04900","WP_005763007.1",TRUE
"DAKCFMEO_04895","WP_005763015.1",TRUE
"DAKCFMEO_04889","WP_005763025.1",TRUE
"DAKCFMEO_04888","WP_005763027.1",TRUE
"DAKCFMEO_04876","WP_005763035.1",TRUE
"DAKCFMEO_04871","WP_005763045.1",TRUE
"DAKCFMEO_04869","WP_005763051.1",TRUE
"DAKCFMEO_04865","WP_005763054.1",TRUE
"DAKCFMEO_04862","WP_005763057.1",TRUE
"DAKCFMEO_04861","WP_005763059.1",TRUE
"DAKCFMEO_04857","WP_005763065.1",TRUE
"DAKCFMEO_04855","WP_005763069.1",TRUE
"DAKCFMEO_04851","WP_005763077.1",TRUE
"DAKCFMEO_04849","WP_005763080.1",TRUE
"DAKCFMEO_04844","WP_005763092.1",TRUE
"DAKCFMEO_04841","WP_005763096.1",TRUE
"DAKCFMEO_04840","WP_005763098.1",TRUE
"DAKCFMEO_04837","WP_005763104.1",TRUE
"DAKCFMEO_04836","WP_005763106.1",TRUE
"DAKCFMEO_04835","WP_005763108.1",TRUE
"DAKCFMEO_04832","WP_005763115.1",TRUE
"DAKCFMEO_04828","WP_005763119.1",TRUE
"DAKCFMEO_04826","WP_005763123.1",TRUE
"DAKCFMEO_03616","WP_005763127.1",TRUE
"DAKCFMEO_03618","WP_005763130.1",TRUE
"DAKCFMEO_03620","WP_005763134.1",TRUE
"DAKCFMEO_03621","WP_005763136.1",TRUE
"DAKCFMEO_03626","WP_005763150.1",TRUE
"DAKCFMEO_03631","WP_005763161.1",TRUE
"DAKCFMEO_03640","WP_005763178.1",TRUE
"DAKCFMEO_03642","WP_005763182.1",TRUE
"DAKCFMEO_03644","WP_005763186.1",TRUE
"DAKCFMEO_03646","WP_005763190.1",TRUE
"DAKCFMEO_03647","WP_005763193.1",TRUE
"DAKCFMEO_03655","WP_005763203.1",TRUE
"DAKCFMEO_03660","WP_005763213.1",TRUE
"DAKCFMEO_03661","WP_005763215.1",TRUE
"DAKCFMEO_03662","WP_005763217.1",TRUE
"DAKCFMEO_03600","WP_005763225.1",TRUE
"DAKCFMEO_03603","WP_005763231.1",TRUE
"DAKCFMEO_03611","WP_005763243.1",TRUE
"DAKCFMEO_03613","WP_005763246.1",TRUE
"DAKCFMEO_03614","WP_005763248.1",TRUE
"DAKCFMEO_04822","WP_005763254.1",TRUE
"DAKCFMEO_04815","WP_005763270.1",TRUE
"DAKCFMEO_04808","WP_005763279.1",TRUE
"DAKCFMEO_04806","WP_005763284.1",TRUE
"DAKCFMEO_04800","WP_005763294.1",TRUE
"DAKCFMEO_02052","WP_005763322.1",TRUE
"DAKCFMEO_05165","WP_005763415.1",TRUE
"DAKCFMEO_05160","WP_005763424.1",TRUE
"DAKCFMEO_01980","WP_005763440.1",TRUE
"DAKCFMEO_01983","WP_005763446.1",TRUE
"DAKCFMEO_01984","WP_005763448.1",TRUE
"DAKCFMEO_01986","WP_005763452.1",TRUE
"DAKCFMEO_01987","WP_005763453.1",TRUE
"DAKCFMEO_01988","WP_005763455.1",TRUE
"DAKCFMEO_01989","WP_005763456.1",TRUE
"DAKCFMEO_01990","WP_005763459.1",TRUE
"DAKCFMEO_01991","WP_005763462.1",TRUE
"DAKCFMEO_01993","WP_005763465.1",TRUE
"DAKCFMEO_01814","WP_005763472.1",TRUE
"DAKCFMEO_02185","WP_005763490.1",TRUE
"DAKCFMEO_02188","WP_005763493.1",TRUE
"DAKCFMEO_02190","WP_005763495.1",TRUE
"DAKCFMEO_05114","WP_005763515.1",TRUE
"DAKCFMEO_02141","WP_005763521.1",TRUE
"DAKCFMEO_02143","WP_005763524.1",TRUE
"DAKCFMEO_02148","WP_005763543.1",TRUE
"DAKCFMEO_02153","WP_005763550.1",TRUE
"DAKCFMEO_02158","WP_005763555.1",TRUE
"DAKCFMEO_02161","WP_005763560.1",TRUE
"DAKCFMEO_02165","WP_005763563.1",TRUE
"DAKCFMEO_02166","WP_005763565.1",TRUE
"DAKCFMEO_02167","WP_005763567.1",TRUE
"DAKCFMEO_02177","WP_005763583.1",TRUE
"DAKCFMEO_04962","WP_005763587.1",TRUE
"DAKCFMEO_04961","WP_005763589.1",TRUE
"DAKCFMEO_04960","WP_005763591.1",TRUE
"DAKCFMEO_04977","WP_005763597.1",TRUE
"DAKCFMEO_04975","WP_005763601.1",TRUE
"DAKCFMEO_05047","WP_005763607.1",TRUE
"DAKCFMEO_05044","WP_005763611.1",TRUE
"DAKCFMEO_05043","WP_005763613.1",TRUE
"DAKCFMEO_05042","WP_005763614.1",TRUE
"DAKCFMEO_05040","WP_005763618.1",TRUE
"DAKCFMEO_05039","WP_005763620.1",TRUE
"DAKCFMEO_05036","WP_005763630.1",TRUE
"DAKCFMEO_05035","WP_005763632.1",TRUE
"DAKCFMEO_05034","WP_005763634.1",TRUE
"DAKCFMEO_05031","WP_005763636.1",TRUE
"DAKCFMEO_05030","WP_005763638.1",TRUE
"DAKCFMEO_05029","WP_005763640.1",TRUE
"DAKCFMEO_05022","WP_005763645.1",TRUE
"DAKCFMEO_05052","WP_005763647.1",TRUE
"DAKCFMEO_05054","WP_005763651.1",TRUE
"DAKCFMEO_04973","WP_005763655.1",TRUE
"DAKCFMEO_04974","WP_005763658.1",TRUE
"DAKCFMEO_02945","WP_005763669.1",TRUE
"DAKCFMEO_02951","WP_005763674.1",TRUE
"DAKCFMEO_02953","WP_005763676.1",TRUE
"DAKCFMEO_02952","WP_005763678.1",FALSE
"DAKCFMEO_02959","WP_005763680.1",TRUE
"DAKCFMEO_02961","WP_005763685.1",TRUE
"DAKCFMEO_02963","WP_005763688.1",TRUE
"DAKCFMEO_02964","WP_005763690.1",TRUE
"DAKCFMEO_04970","WP_005763692.1",TRUE
"DAKCFMEO_04968","WP_005763694.1",TRUE
"DAKCFMEO_04967","WP_005763696.1",TRUE
"DAKCFMEO_04965","WP_005763699.1",TRUE
"DAKCFMEO_02939","WP_005763703.1",TRUE
"DAKCFMEO_02938","WP_005763705.1",TRUE
"DAKCFMEO_02937","WP_005763731.1",TRUE
"DAKCFMEO_02936","WP_005763732.1",TRUE
"DAKCFMEO_02935","WP_005763735.1",TRUE
"DAKCFMEO_02933","WP_005763737.1",TRUE
"DAKCFMEO_02932","WP_005763739.1",TRUE
"DAKCFMEO_02931","WP_005763742.1",TRUE
"DAKCFMEO_02930","WP_005763744.1",TRUE
"DAKCFMEO_02927","WP_005763753.1",TRUE
"DAKCFMEO_02925","WP_005763757.1",TRUE
"DAKCFMEO_02924","WP_005763760.1",TRUE
"DAKCFMEO_02923","WP_005763762.1",TRUE
"DAKCFMEO_02921","WP_005763768.1",TRUE
"DAKCFMEO_02919","WP_005763772.1",TRUE
"DAKCFMEO_02913","WP_005763797.1",TRUE
"DAKCFMEO_02912","WP_005763799.1",TRUE
"DAKCFMEO_02909","WP_005763801.1",TRUE
"DAKCFMEO_02907","WP_005763805.1",TRUE
"DAKCFMEO_02906","WP_005763807.1",TRUE
"DAKCFMEO_02904","WP_005763809.1",TRUE
"DAKCFMEO_03044","WP_005763843.1",TRUE
"DAKCFMEO_01464","WP_005763855.1",TRUE
"DAKCFMEO_01465","WP_005763862.1",TRUE
"DAKCFMEO_01471","WP_005763879.1",TRUE
"DAKCFMEO_01485","WP_005763897.1",TRUE
"DAKCFMEO_01486","WP_005763898.1",TRUE
"DAKCFMEO_01477","WP_005763915.1",TRUE
"DAKCFMEO_03315","WP_005763930.1",TRUE
"DAKCFMEO_04795","WP_005763938.1",TRUE
"DAKCFMEO_04479","WP_005763940.1",TRUE
"DAKCFMEO_01766","WP_005763950.1",TRUE
"DAKCFMEO_01767","WP_005763952.1",TRUE
"DAKCFMEO_01770","WP_005763959.1",TRUE
"DAKCFMEO_01771","WP_005763961.1",TRUE
"DAKCFMEO_01773","WP_005763967.1",TRUE
"DAKCFMEO_03019","WP_005763992.1",TRUE
"DAKCFMEO_03012","WP_005764019.1",TRUE
"DAKCFMEO_03007","WP_005764024.1",TRUE
"DAKCFMEO_03006","WP_005764026.1",TRUE
"DAKCFMEO_03002","WP_005764030.1",TRUE
"DAKCFMEO_02995","WP_005764038.1",TRUE
"DAKCFMEO_02992","WP_005764042.1",TRUE
"DAKCFMEO_02991","WP_005764043.1",TRUE
"DAKCFMEO_02988","WP_005764045.1",TRUE
"DAKCFMEO_02987","WP_005764046.1",TRUE
"DAKCFMEO_02986","WP_005764047.1",TRUE
"DAKCFMEO_02983","WP_005764048.1",TRUE
"DAKCFMEO_02981","WP_005764049.1",TRUE
"DAKCFMEO_02976","WP_005764051.1",TRUE
"DAKCFMEO_02975","WP_005764052.1",TRUE
"DAKCFMEO_02974","WP_005764053.1",TRUE
"DAKCFMEO_02971","WP_005764054.1",TRUE
"DAKCFMEO_02969","WP_005764059.1",TRUE
"DAKCFMEO_02966","WP_005764067.1",TRUE
"DAKCFMEO_03293","WP_005764071.1",TRUE
"DAKCFMEO_03295","WP_005764073.1",TRUE
"DAKCFMEO_03297","WP_005764078.1",TRUE
"DAKCFMEO_03299","WP_005764082.1",TRUE
"DAKCFMEO_03301","WP_005764084.1",TRUE
"DAKCFMEO_03304","WP_005764092.1",TRUE
"DAKCFMEO_03305","WP_005764094.1",TRUE
"DAKCFMEO_03290","WP_005764101.1",TRUE
"DAKCFMEO_03289","WP_005764104.1",TRUE
"DAKCFMEO_02716","WP_005764106.1",TRUE
"DAKCFMEO_02717","WP_005764108.1",TRUE
"DAKCFMEO_02718","WP_005764110.1",TRUE
"DAKCFMEO_02719","WP_005764112.1",TRUE
"DAKCFMEO_02721","WP_005764114.1",TRUE
"DAKCFMEO_02723","WP_005764116.1",TRUE
