Orthogroup	DC3000_protein_12_2025	plate25.C2.annotation
OG0004972		DAKCFMEO_01943
OG0004973		DAKCFMEO_01963
OG0004974		DAKCFMEO_01978
OG0004975		DAKCFMEO_02000
OG0004976		DAKCFMEO_02019
OG0004977		DAKCFMEO_02042
OG0004978		DAKCFMEO_02054
OG0004979		DAKCFMEO_02055
OG0004980		DAKCFMEO_02056
OG0004981		DAKCFMEO_02058
OG0004982		DAKCFMEO_02059
OG0004983		DAKCFMEO_02060
OG0004984		DAKCFMEO_02063
OG0004985		DAKCFMEO_02065
OG0004986		DAKCFMEO_02066
OG0004987		DAKCFMEO_02067
OG0004988		DAKCFMEO_02072
OG0004989		DAKCFMEO_02073
OG0004990		DAKCFMEO_02074
OG0004991		DAKCFMEO_02076
OG0004992		DAKCFMEO_02077
OG0004993		DAKCFMEO_02094
OG0004994		DAKCFMEO_02095
OG0004995		DAKCFMEO_02099
OG0004996		DAKCFMEO_02101
OG0004997		DAKCFMEO_02155
OG0004998		DAKCFMEO_02156
OG0004999		DAKCFMEO_02163
OG0005000		DAKCFMEO_02175
OG0005001		DAKCFMEO_02186
OG0005002		DAKCFMEO_02202
OG0005003		DAKCFMEO_02203
OG0005004		DAKCFMEO_02204
OG0005005		DAKCFMEO_02205
OG0005006		DAKCFMEO_02209
OG0005007		DAKCFMEO_02214
OG0005008		DAKCFMEO_02234
OG0005009		DAKCFMEO_02251
OG0005010		DAKCFMEO_02289
OG0005011		DAKCFMEO_02293
OG0005012		DAKCFMEO_02338
OG0005013		DAKCFMEO_02340
OG0005014		DAKCFMEO_02359
OG0005015		DAKCFMEO_02373
OG0005016		DAKCFMEO_02377
OG0005017		DAKCFMEO_02407
OG0005018		DAKCFMEO_02410
OG0005019		DAKCFMEO_02413
OG0005020		DAKCFMEO_02416
OG0005021		DAKCFMEO_02418
OG0005022		DAKCFMEO_02426
OG0005023		DAKCFMEO_02448
OG0005024		DAKCFMEO_02451
OG0005025		DAKCFMEO_02469
OG0005026		DAKCFMEO_02470
OG0005027		DAKCFMEO_02476
OG0005028		DAKCFMEO_02478
OG0005029		DAKCFMEO_02479
OG0005030		DAKCFMEO_02484
OG0005031		DAKCFMEO_02609
OG0005032		DAKCFMEO_02638
OG0005033		DAKCFMEO_02643
OG0005034		DAKCFMEO_02644
OG0005035		DAKCFMEO_02651
OG0005036		DAKCFMEO_02670
OG0005037		DAKCFMEO_02676
OG0005038		DAKCFMEO_02745
OG0005039		DAKCFMEO_02776
OG0005040		DAKCFMEO_02778
OG0005041		DAKCFMEO_02796
OG0005042		DAKCFMEO_02814
OG0005043		DAKCFMEO_02819
OG0005044		DAKCFMEO_02820
OG0005045		DAKCFMEO_02821
OG0005046		DAKCFMEO_02822
OG0005047		DAKCFMEO_02823
OG0005048		DAKCFMEO_02836
OG0005049		DAKCFMEO_02873
OG0005050		DAKCFMEO_02875
OG0005051		DAKCFMEO_02876
OG0005052		DAKCFMEO_02877
OG0005053		DAKCFMEO_02879
OG0005054		DAKCFMEO_02880
OG0005055		DAKCFMEO_02896
OG0005056		DAKCFMEO_02897
OG0005057		DAKCFMEO_02901
OG0005058		DAKCFMEO_02902
OG0005059		DAKCFMEO_02903
OG0005060		DAKCFMEO_02947
OG0005061		DAKCFMEO_02955
OG0005062		DAKCFMEO_02972
OG0005063		DAKCFMEO_03017
OG0005064		DAKCFMEO_03021
OG0005065		DAKCFMEO_03026
OG0005066		DAKCFMEO_03038
OG0005067		DAKCFMEO_03039
OG0005068		DAKCFMEO_03043
OG0005069		DAKCFMEO_03051
OG0005070		DAKCFMEO_03054
OG0005071		DAKCFMEO_03055
OG0005072		DAKCFMEO_03056
OG0005073		DAKCFMEO_03057
OG0005074		DAKCFMEO_03058
OG0005075		DAKCFMEO_03059
OG0005076		DAKCFMEO_03061
OG0005077		DAKCFMEO_03062
OG0005078		DAKCFMEO_03064
OG0005079		DAKCFMEO_03065
OG0005080		DAKCFMEO_03066
OG0005081		DAKCFMEO_03067
OG0005082		DAKCFMEO_03068
OG0005083		DAKCFMEO_03069
OG0005084		DAKCFMEO_03070
OG0005085		DAKCFMEO_03071
OG0005086		DAKCFMEO_03072
OG0005087		DAKCFMEO_03075
OG0005088		DAKCFMEO_03077
OG0005089		DAKCFMEO_03078
OG0005090		DAKCFMEO_03088
OG0005091		DAKCFMEO_03090
OG0005092		DAKCFMEO_03091
OG0005093		DAKCFMEO_03093
OG0005094		DAKCFMEO_03095
OG0005095		DAKCFMEO_03096
OG0005096		DAKCFMEO_03097
OG0005097		DAKCFMEO_03098
OG0005098		DAKCFMEO_03099
OG0005099		DAKCFMEO_03100
OG0005100		DAKCFMEO_03101
OG0005101		DAKCFMEO_03102
OG0005102		DAKCFMEO_03103
OG0005103		DAKCFMEO_03104
OG0005104		DAKCFMEO_03105
OG0005105		DAKCFMEO_03106
OG0005106		DAKCFMEO_03109
OG0005107		DAKCFMEO_03110
OG0005108		DAKCFMEO_03111
OG0005109		DAKCFMEO_03112
OG0005110		DAKCFMEO_03113
OG0005111		DAKCFMEO_03114
OG0005112		DAKCFMEO_03116
OG0005113		DAKCFMEO_03117
OG0005114		DAKCFMEO_03140
OG0005115		DAKCFMEO_03213
OG0005116		DAKCFMEO_03227
OG0005117		DAKCFMEO_03229
OG0005118		DAKCFMEO_03235
OG0005119		DAKCFMEO_03239
OG0005120		DAKCFMEO_03281
OG0005121		DAKCFMEO_03284
OG0005122		DAKCFMEO_03285
OG0005123		DAKCFMEO_03286
OG0005124		DAKCFMEO_03300
OG0005125		DAKCFMEO_03314
OG0005126		DAKCFMEO_03317
OG0005127		DAKCFMEO_03318
OG0005128		DAKCFMEO_03320
OG0005129		DAKCFMEO_03324
OG0005130		DAKCFMEO_03326
OG0005131		DAKCFMEO_03327
OG0005132		DAKCFMEO_03360
OG0005133		DAKCFMEO_03369
OG0005134		DAKCFMEO_03372
OG0005135		DAKCFMEO_03377
OG0005136		DAKCFMEO_03461
OG0005137		DAKCFMEO_03485
OG0005138		DAKCFMEO_03551
OG0005139		DAKCFMEO_03555
OG0005140		DAKCFMEO_03580
OG0005141		DAKCFMEO_03609
OG0005142		DAKCFMEO_03624
OG0005143		DAKCFMEO_03648
OG0005144		DAKCFMEO_03693
OG0005145		DAKCFMEO_03694
OG0005146		DAKCFMEO_03698
OG0005147		DAKCFMEO_03702
OG0005148		DAKCFMEO_03711
OG0005149		DAKCFMEO_03713
OG0005150		DAKCFMEO_03741
OG0005151		DAKCFMEO_03742
OG0005152		DAKCFMEO_03750
OG0005153		DAKCFMEO_03753
OG0005154		DAKCFMEO_03755
OG0005155		DAKCFMEO_03782
OG0005156		DAKCFMEO_03794
OG0005157		DAKCFMEO_03795
OG0005158		DAKCFMEO_03796
OG0005159		DAKCFMEO_03798
OG0005160		DAKCFMEO_03799
OG0005161		DAKCFMEO_03809
OG0005162		DAKCFMEO_03810
OG0005163		DAKCFMEO_03816
OG0005164		DAKCFMEO_03833
OG0005165		DAKCFMEO_03834
OG0005166		DAKCFMEO_03839
OG0005167		DAKCFMEO_03853
OG0005168		DAKCFMEO_03854
OG0005169		DAKCFMEO_03855
OG0005170		DAKCFMEO_03856
OG0005171		DAKCFMEO_03861
OG0005172		DAKCFMEO_03868
OG0005173		DAKCFMEO_03870
OG0005174		DAKCFMEO_03871
OG0005175		DAKCFMEO_03872
OG0005176		DAKCFMEO_03880
OG0005177		DAKCFMEO_03881
OG0005178		DAKCFMEO_03883
OG0005179		DAKCFMEO_03889
OG0005180		DAKCFMEO_03894
OG0005181		DAKCFMEO_03895
OG0005182		DAKCFMEO_03896
OG0005183		DAKCFMEO_03897
OG0005184		DAKCFMEO_03898
OG0005185		DAKCFMEO_03899
OG0005186		DAKCFMEO_03913
OG0005187		DAKCFMEO_03914
OG0005188		DAKCFMEO_03916
OG0005189		DAKCFMEO_03918
OG0005190		DAKCFMEO_03919
OG0005191		DAKCFMEO_03928
OG0005192		DAKCFMEO_03934
OG0005193		DAKCFMEO_03954
OG0005194		DAKCFMEO_03966
OG0005195		DAKCFMEO_03982
OG0005196		DAKCFMEO_03986
OG0005197		DAKCFMEO_03987
OG0005198		DAKCFMEO_03988
OG0005199		DAKCFMEO_03989
OG0005200		DAKCFMEO_03993
OG0005201		DAKCFMEO_04023
OG0005202		DAKCFMEO_04024
OG0005203		DAKCFMEO_04032
OG0005204		DAKCFMEO_04045
OG0005205		DAKCFMEO_04046
OG0005206		DAKCFMEO_04049
OG0005207		DAKCFMEO_04053
OG0005208		DAKCFMEO_04070
OG0005209		DAKCFMEO_04073
OG0005210		DAKCFMEO_04135
OG0005211		DAKCFMEO_04142
OG0005212		DAKCFMEO_04143
OG0005213		DAKCFMEO_04147
OG0005214		DAKCFMEO_04151
OG0005215		DAKCFMEO_04178
OG0005216		DAKCFMEO_04179
OG0005217		DAKCFMEO_04180
OG0005218		DAKCFMEO_04262
OG0005219		DAKCFMEO_04277
OG0005220		DAKCFMEO_04324
OG0005221		DAKCFMEO_04326
OG0005222		DAKCFMEO_04381
OG0005223		DAKCFMEO_04384
OG0005224		DAKCFMEO_04396
OG0005225		DAKCFMEO_04397
OG0005226		DAKCFMEO_04400
OG0005227		DAKCFMEO_04401
OG0005228		DAKCFMEO_04402
OG0005229		DAKCFMEO_04407
OG0005230		DAKCFMEO_04416
OG0005231		DAKCFMEO_04424
OG0005232		DAKCFMEO_04425
OG0005233		DAKCFMEO_04426
OG0005234		DAKCFMEO_04429
OG0005235		DAKCFMEO_04437
OG0005236		DAKCFMEO_04441
OG0005237		DAKCFMEO_04455
OG0005238		DAKCFMEO_04456
OG0005239		DAKCFMEO_04457
OG0005240		DAKCFMEO_04458
OG0005241		DAKCFMEO_04462
OG0005242		DAKCFMEO_04463
OG0005243		DAKCFMEO_04466
OG0005244		DAKCFMEO_04470
OG0005245		DAKCFMEO_04489
OG0005246		DAKCFMEO_04530
OG0005247		DAKCFMEO_04569
OG0005248		DAKCFMEO_04573
OG0005249		DAKCFMEO_04574
OG0005250		DAKCFMEO_04579
OG0005251		DAKCFMEO_04580
OG0005252		DAKCFMEO_04583
OG0005253		DAKCFMEO_04584
OG0005254		DAKCFMEO_04590
OG0005255		DAKCFMEO_04611
OG0005256		DAKCFMEO_04612
OG0005257		DAKCFMEO_04620
OG0005258		DAKCFMEO_04621
OG0005259		DAKCFMEO_04622
OG0005260		DAKCFMEO_04623
OG0005261		DAKCFMEO_04668
OG0005262		DAKCFMEO_04687
OG0005263		DAKCFMEO_04700
OG0005264		DAKCFMEO_04752
OG0005265		DAKCFMEO_04756
OG0005266		DAKCFMEO_04774
OG0005267		DAKCFMEO_04775
OG0005268		DAKCFMEO_04796
OG0005269		DAKCFMEO_04805
OG0005270		DAKCFMEO_04830
OG0005271		DAKCFMEO_04842
OG0005272		DAKCFMEO_04850
OG0005273		DAKCFMEO_04854
OG0005274		DAKCFMEO_04872
OG0005275		DAKCFMEO_04905
OG0005276		DAKCFMEO_04919
OG0005277		DAKCFMEO_04920
OG0005278		DAKCFMEO_04921
OG0005279		DAKCFMEO_04923
OG0005280		DAKCFMEO_04930
OG0005281		DAKCFMEO_04931
OG0005282		DAKCFMEO_04946
OG0005283		DAKCFMEO_04990
OG0005284		DAKCFMEO_04996
OG0005285		DAKCFMEO_05018
OG0005286		DAKCFMEO_05027
OG0005287		DAKCFMEO_05046
OG0005288		DAKCFMEO_05048
OG0005289		DAKCFMEO_05049
OG0005290		DAKCFMEO_05056
OG0005291		DAKCFMEO_05070
OG0005292		DAKCFMEO_05071
OG0005293		DAKCFMEO_05086
OG0005294		DAKCFMEO_05095
OG0005295		DAKCFMEO_05099
OG0005296		DAKCFMEO_05125
OG0005297		DAKCFMEO_05136
OG0005298		DAKCFMEO_05168
OG0005299		DAKCFMEO_05185
OG0005300		DAKCFMEO_05191
OG0005301		DAKCFMEO_05216
OG0005302		DAKCFMEO_05221
OG0005303		DAKCFMEO_05222
OG0005304		DAKCFMEO_05237
OG0005305		DAKCFMEO_05244
OG0005306		DAKCFMEO_05267
OG0005307		DAKCFMEO_05268
OG0005308		DAKCFMEO_05269
OG0005309		DAKCFMEO_05270
OG0005310		DAKCFMEO_05271
OG0005311		DAKCFMEO_05272
OG0005312		DAKCFMEO_05274
OG0005313		DAKCFMEO_05277
OG0005314		DAKCFMEO_05278
OG0005315		DAKCFMEO_05279
OG0005316		DAKCFMEO_05280
OG0005317		DAKCFMEO_05283
OG0005318		DAKCFMEO_05291
OG0005319		DAKCFMEO_05294
OG0005320		DAKCFMEO_05295
